frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m
1308,44.887,2.21,2.908,pose,15.924,12.066,17.131,12.511,3.5101,6.6976
1309,44.921,2.9,2.9,bbox,15.924,12.066,17.131,12.511,3.5401,6.7228
1310,44.955,2.889,2.9,bbox,15.984,12.066,17.131,12.511,3.5537,6.7314
1311,44.99,2.221,2.889,pose,15.984,12.066,17.131,12.543,3.5526,6.7278
1312,45.024,2.896,2.889,bbox,16.027,12.066,17.131,12.543,3.5543,6.7342
1313,45.058,2.889,2.889,bbox,16.027,12.066,17.131,12.543,3.5667,6.7474
1314,45.093,2.243,2.889,pose,16.027,12.066,17.131,12.543,3.5628,6.7518
1315,45.127,2.896,2.889,bbox,16.027,12.066,17.131,12.543,3.5543,6.738
1316,45.161,2.909,2.896,bbox,16.027,12.066,17.131,12.543,3.5544,6.756
1317,45.196,2.291,2.889,pose,16.027,12.066,17.131,12.543,3.5629,6.7669
1318,45.23,2.925,2.896,bbox,16.027,12.066,17.131,12.576,3.5666,6.8055
1319,45.264,2.961,2.909,bbox,16.027,12.066,17.131,12.576,3.5616,6.8416
1320,45.299,2.225,2.909,pose,16.027,12.066,17.131,12.625,3.5451,6.8997
1321,45.333,3.148,2.925,bbox,16.027,12.066,17.131,12.662,3.5391,6.9812
1322,45.367,3.15,2.961,bbox,16.027,12.066,17.131,12.72,3.5341,6.9385
1323,45.402,2.376,2.961,pose,16.027,12.066,17.131,12.758,3.5321,6.9388
1324,45.436,3.198,3.148,bbox,16.027,12.066,17.131,12.758,3.5399,6.9284
1325,45.47,3.186,3.15,bbox,16.027,12.066,17.131,12.758,3.5514,6.9311
1326,45.504,2.359,3.15,pose,16.027,12.066,17.131,12.758,3.5607,6.9605
1327,45.539,3.146,3.146,bbox,16.027,12.066,17.131,12.758,3.592,6.9757
1328,45.573,3.099,3.146,bbox,16.027,12.066,17.131,12.758,3.6149,6.9985
1329,45.607,2.322,3.099,pose,16.066,12.066,17.131,12.796,3.6164,6.998
1330,45.642,3.062,3.062,bbox,16.066,12.066,17.131,12.796,3.6041,6.9982
1331,45.676,3.058,3.062,bbox,16.066,12.066,17.131,12.796,3.6027,6.9947
1332,45.71,2.358,3.058,pose,16.066,12.066,17.131,12.796,3.6015,6.9953
1333,45.745,3.081,3.058,bbox,16.066,12.066,17.131,12.796,3.5996,7.0007
1334,45.779,3.117,3.062,bbox,16.066,12.066,17.131,12.796,3.5974,7.0045
1335,45.813,2.427,3.058,pose,16.066,12.066,17.131,12.796,3.5869,6.9987
1336,45.848,3.205,3.081,bbox,16.066,12.066,17.131,12.796,3.5784,6.9864
1337,45.882,3.203,3.117,bbox,16.066,12.066,17.131,12.796,3.5862,6.9994
1338,45.916,2.481,3.117,pose,16.066,12.066,17.131,12.796,3.6004,7.0193
1339,45.951,3.201,3.201,bbox,16.066,12.066,17.131,12.796,3.6116,7.0398
1340,45.985,3.153,3.201,bbox,16.066,12.066,17.131,12.839,3.6251,7.0603
1341,46.019,2.396,3.153,pose,16.066,12.066,17.131,12.839,3.6492,7.0765
1342,46.054,3.091,3.091,bbox,16.099,12.066,17.131,12.88,3.6719,7.0941
1343,46.088,3.058,3.091,bbox,16.099,12.066,17.131,12.88,3.6791,7.0734
1344,46.122,2.383,3.058,pose,16.146,12.066,17.131,12.88,3.6854,7.0745
1345,46.156,3.041,3.041,bbox,16.146,12.066,17.131,12.88,3.6945,7.0784
1346,46.191,3.078,3.058,bbox,16.146,12.066,17.131,12.88,3.7008,7.0897
1347,46.225,2.437,3.041,pose,16.146,12.066,17.131,12.88,3.6917,7.0838
1348,46.259,3.096,3.041,bbox,16.146,12.066,17.131,12.88,3.6821,7.0464
1349,46.294,3.098,3.078,bbox,16.146,12.066,17.131,12.88,3.7023,7.0312
1350,46.328,2.364,3.078,pose,16.146,12.066,17.131,12.88,3.7198,7.0031
1351,46.362,3.122,3.096,bbox,16.176,12.066,17.131,12.88,3.7083,6.9556
1352,46.397,3.153,3.098,bbox,16.176,12.066,17.189,12.88,3.6848,6.9061
1353,46.431,3.155,3.122,bbox,16.176,12.066,17.236,12.88,3.6744,6.8507
1354,46.465,3.051,3.122,bbox,16.176,12.066,17.286,12.88,3.6648,6.7709
1355,46.5,2.928,3.122,bbox,16.176,12.066,17.341,12.88,3.6599,6.6327
1356,46.534,2.777,3.051,bbox,16.176,12.066,17.421,12.88,3.6874,6.4877
1357,46.568,2.7,2.928,bbox,16.176,12.066,17.559,12.88,3.6858,6.361
1358,46.603,2.644,2.777,bbox,16.176,12.104,17.704,12.88,3.6379,6.2795
1359,46.637,2.774,2.774,bbox,16.176,12.104,17.831,12.88,3.5867,6.303
1360,46.671,2.885,2.774,bbox,16.176,12.104,17.872,12.88,3.5009,6.3195
1361,46.706,2.901,2.774,bbox,16.176,12.182,17.872,12.88,3.4165,6.245
1362,46.74,3.022,2.885,pose,16.176,12.268,17.912,12.88,3.3519,6.1918
1363,46.774,2.846,2.885,bbox,16.176,12.352,17.947,12.88,3.2979,6.1121
1364,46.809,2.605,2.885,bbox,16.176,12.417,18.0,12.88,3.2231,5.8077
1365,46.843,2.393,2.846,pose,16.176,12.471,18.08,12.88,3.2186,5.9791
1366,46.877,2.356,2.605,bbox,16.176,12.527,18.213,12.88,3.2415,5.632
1367,46.911,2.348,2.393,bbox,16.176,12.527,18.363,12.88,3.2179,5.5817
1368,46.946,2.327,2.356,pose,16.176,12.527,18.513,12.88,3.1354,5.5587
1369,46.98,2.51,2.356,bbox,16.176,12.527,18.563,12.88,3.093,5.569
1370,47.014,2.588,2.356,bbox,16.176,12.633,18.563,12.88,3.0635,5.5701
1371,47.049,2.328,2.348,pose,16.176,12.676,18.563,12.88,3.0585,5.6247
1372,47.083,2.593,2.51,bbox,16.176,12.676,18.563,12.88,3.0738,5.6031
1373,47.117,2.66,2.588,bbox,16.176,12.676,18.563,12.88,3.0925,5.6762
1374,47.152,2.458,2.588,pose,16.176,12.676,18.563,12.923,3.1589,5.6481
1375,47.186,2.499,2.499,bbox,16.176,12.676,18.563,12.923,3.2166,5.6091
1376,47.22,2.39,2.499,bbox,16.242,12.676,18.563,12.923,3.3204,5.5985
1377,47.255,2.211,2.458,bbox,16.3,12.676,18.563,12.923,3.4996,5.6074
1378,47.289,2.152,2.39,bbox,16.404,12.676,18.563,12.923,3.5692,5.639
1379,47.323,2.098,2.211,bbox,16.554,12.676,18.563,12.923,3.6372,5.6708
1380,47.358,2.084,2.152,bbox,16.623,12.676,18.563,12.923,3.7053,5.7305
1381,47.392,2.043,2.098,bbox,16.691,12.676,18.563,12.969,3.7551,5.7794
1382,47.426,2.077,2.084,bbox,16.759,12.676,18.563,13.029,3.8431,5.8575
1383,47.461,2.02,2.077,bbox,16.809,12.676,18.563,13.078,3.8579,5.9117
1384,47.495,1.868,2.043,bbox,16.897,12.676,18.563,13.156,4.0843,5.9881
1385,47.529,1.943,2.02,bbox,16.897,12.676,18.563,13.21,4.1616,6.1053
1386,47.563,1.895,1.943,bbox,17.062,12.676,18.563,13.287,4.2598,6.1491
1387,47.598,,,,17.062,12.676,18.563,13.287,,
1388,47.632,1.773,1.895,bbox,17.139,12.676,18.563,13.404,4.4853,6.3093
1389,47.666,1.718,1.868,bbox,17.237,12.676,18.563,13.448,4.5681,6.3745
1390,47.701,1.777,1.777,bbox,17.387,12.676,18.563,13.598,4.6503,6.4893
1391,47.735,1.85,1.777,bbox,17.47,12.676,18.563,13.663,4.7335,6.6591
1392,47.769,1.784,1.777,bbox,17.552,12.676,18.563,13.778,4.811,6.6992
1393,47.804,1.768,1.777,bbox,17.636,12.676,18.563,13.928,4.8879,6.8427
1394,47.838,1.918,1.784,bbox,17.713,12.676,18.563,13.968,4.9346,7.0548
1395,47.872,1.413,1.784,pose,17.79,12.676,18.563,14.111,5.0023,7.1932
1396,47.907,1.746,1.768,bbox,17.837,12.676,18.563,14.247,5.0652,6.9784
1397,47.941,1.849,1.768,bbox,17.904,12.676,18.563,14.323,5.0613,7.0898
1398,47.975,1.739,1.746,pose,17.904,12.676,18.563,14.358,5.0224,7.2241
1399,48.01,2.218,1.746,bbox,17.904,12.676,18.563,14.462,5.0208,7.4055
1400,48.044,2.374,1.849,bbox,17.904,12.676,18.563,14.493,5.0292,7.5866
1401,48.078,2.059,2.059,pose,17.904,12.676,18.563,14.643,4.9906,7.5924
1402,48.113,2.53,2.218,bbox,17.904,12.676,18.563,14.793,4.8997,7.7071
1403,48.147,2.605,2.374,bbox,17.904,12.676,18.563,14.793,4.8674,7.8016
1404,48.181,2.738,2.53,bbox,17.904,12.778,18.563,14.913,4.8417,7.8868
1405,48.216,2.86,2.605,bbox,17.904,12.81,18.563,15.008,4.8489,8.0253
1406,48.25,2.932,2.738,bbox,17.904,12.81,18.563,15.093,4.8171,8.0931
1407,48.284,3.028,2.86,bbox,17.904,12.81,18.563,15.231,4.7971,8.2681
1408,48.318,3.069,2.932,bbox,17.904,12.861,18.563,15.299,4.7665,8.3051
1409,48.353,3.312,3.028,bbox,17.904,12.861,18.563,15.449,4.7231,8.3904
1410,48.387,3.379,3.069,bbox,17.904,12.911,18.563,15.486,4.6719,8.3881
1411,48.421,3.599,3.312,bbox,17.904,12.955,18.563,15.569,4.6298,8.5704
1412,48.456,3.708,3.379,bbox,17.904,13.006,18.563,15.569,4.5874,8.6275
1413,48.49,,,,17.904,13.006,18.563,15.569,,
1414,48.524,,,,17.904,13.006,18.563,15.569,,
1415,48.559,,,,17.904,13.006,18.563,15.569,,
1416,48.593,,,,17.904,13.006,18.563,15.569,,
1417,48.627,,,,17.904,13.006,18.563,15.569,,
1418,48.662,,,,17.904,13.006,18.563,15.569,,
1419,48.696,,,,17.904,13.006,18.563,15.569,,
1420,48.73,3.699,3.599,bbox,17.904,13.048,18.563,15.69,4.1094,8.5087
1421,48.765,3.916,3.699,bbox,17.904,13.09,18.563,15.752,4.1063,8.6614
1422,48.799,3.812,3.708,bbox,17.904,13.24,18.563,15.809,4.0966,8.6738
1423,48.833,,,,17.904,13.24,18.563,15.809,,
1424,48.868,,,,17.904,13.24,18.563,15.809,,
1425,48.902,,,,17.904,13.24,18.563,15.809,,
1426,48.936,,,,17.904,13.24,18.563,15.809,,
1427,48.97,,,,17.904,13.24,18.563,15.809,,
1428,49.005,,,,17.904,13.24,18.563,15.809,,
1429,49.039,,,,17.904,13.24,18.563,15.809,,
1430,49.073,3.144,3.708,bbox,17.904,13.24,18.563,15.809,2.7381,6.1862
1431,49.108,2.396,3.699,pose,17.904,13.24,18.682,15.809,2.7741,6.191
1432,49.142,3.161,3.161,bbox,17.904,13.403,18.832,15.809,2.7811,6.1792
1433,49.176,3.15,3.15,bbox,17.904,13.403,18.832,15.809,2.7802,6.1943
1434,49.211,2.357,3.144,pose,17.904,13.403,18.832,15.809,2.7926,6.2038
1435,49.245,3.119,3.119,bbox,17.904,13.403,18.832,15.809,2.7851,6.2073
1436,49.279,3.071,3.119,bbox,17.904,13.403,18.832,15.809,2.8142,6.2011
1437,49.314,2.334,3.071,pose,17.904,13.403,18.832,15.809,2.82,6.1901
1438,49.348,3.063,3.063,bbox,17.935,13.403,18.832,15.809,2.812,6.181
1439,49.382,3.055,3.063,bbox,17.935,13.403,18.832,15.809,2.8119,6.1713
1440,49.417,2.336,3.055,pose,17.935,13.403,18.832,15.809,2.8207,6.1646
1441,49.451,3.035,3.035,bbox,17.935,13.403,18.832,15.809,2.8265,6.1724
1442,49.485,3.038,3.038,bbox,17.935,13.403,18.832,15.809,2.8275,6.178
1443,49.52,2.355,3.035,pose,17.935,13.403,18.832,15.809,2.8279,6.178
1444,49.554,3.069,3.035,bbox,17.935,13.403,18.832,15.809,2.8279,6.1872
1445,49.588,3.107,3.038,bbox,17.935,13.403,18.832,15.809,2.8285,6.1964
1446,49.623,2.409,3.038,pose,17.935,13.403,18.832,15.809,2.8324,6.2156
1447,49.657,3.164,3.069,bbox,17.935,13.403,18.832,15.809,2.834,6.2155
1448,49.691,3.153,3.107,bbox,17.935,13.403,18.832,15.809,2.8402,6.2172
1449,49.725,2.403,3.107,pose,17.935,13.403,18.832,15.809,2.8397,6.2175
1450,49.76,3.137,3.137,bbox,17.935,13.403,18.832,15.809,2.8372,6.2065
1451,49.794,3.112,3.137,bbox,17.935,13.403,18.832,15.809,2.8438,6.1954
1452,49.828,2.401,3.112,pose,17.935,13.403,18.832,15.809,2.8548,6.1902
1453,49.863,3.111,3.111,bbox,17.967,13.403,18.832,15.809,2.891,6.1982
1454,49.897,3.102,3.111,bbox,17.967,13.403,18.832,15.809,2.9024,6.1942
1455,49.931,2.465,3.102,pose,18.014,13.403,18.832,15.809,2.9173,6.1899
1456,49.966,3.067,3.067,bbox,18.014,13.403,18.832,15.809,2.9326,6.1781
1457,50.0,3.079,3.079,bbox,18.014,13.403,18.832,15.809,2.9447,6.175
1458,50.034,2.412,3.067,pose,18.056,13.403,18.832,15.809,2.9955,6.193
1459,50.069,2.981,2.981,bbox,18.056,13.403,18.832,15.809,3.0209,6.2075
1460,50.103,2.964,2.981,bbox,18.119,13.403,18.832,15.809,3.0331,6.2002
1461,50.137,2.363,2.964,pose,18.119,13.403,18.832,15.809,3.0273,6.1565
1462,50.172,2.907,2.907,bbox,18.119,13.403,18.832,15.809,3.0172,6.1367
1463,50.206,2.9,2.907,bbox,18.119,13.403,18.866,15.809,3.0169,6.1375
1464,50.24,2.37,2.9,pose,18.119,13.403,18.866,15.809,3.0213,6.1363
1465,50.275,2.945,2.9,bbox,18.119,13.403,18.866,15.809,3.0018,6.1191
1466,50.309,2.97,2.907,bbox,18.119,13.403,18.866,15.809,2.9644,6.0963
1467,50.343,2.408,2.9,pose,18.119,13.403,18.904,15.809,2.9153,6.057
1468,50.377,3.064,2.945,bbox,18.119,13.434,18.904,15.809,2.8934,6.0745
1469,50.412,3.078,2.97,bbox,18.119,13.483,18.904,15.809,2.8977,6.1178
1470,50.446,2.37,2.97,pose,18.119,13.483,18.904,15.809,2.886,6.1155
1471,50.48,3.038,3.038,bbox,18.119,13.483,18.904,15.809,2.8575,6.1114
1472,50.515,3.059,3.059,bbox,18.119,13.483,18.904,15.809,2.8283,6.1205
1473,50.549,2.338,3.038,pose,18.119,13.541,18.904,15.809,2.8039,6.1275
1474,50.583,3.079,3.038,bbox,18.119,13.541,18.904,15.809,2.763,6.1274
1475,50.618,3.086,3.059,bbox,18.119,13.595,18.904,15.809,2.7723,6.1389
1476,50.652,2.359,3.059,pose,18.119,13.626,18.904,15.809,2.7631,6.1663
1477,50.686,3.148,3.079,bbox,18.119,13.626,18.904,15.809,2.7456,6.1534
1478,50.721,3.203,3.086,bbox,18.119,13.626,18.904,15.843,2.7352,6.177
1479,50.755,2.415,3.086,pose,18.119,13.626,18.904,15.843,2.7179,6.178
1480,50.789,3.247,3.148,bbox,18.119,13.664,18.904,15.843,2.7137,6.1723
1481,50.824,3.254,3.203,bbox,18.119,13.664,18.904,15.843,2.7274,6.1824
1482,50.858,2.385,3.203,pose,18.119,13.664,18.904,15.843,2.7276,6.1761
1483,50.892,3.156,3.156,bbox,18.119,13.664,18.904,15.843,2.7413,6.1576
1484,50.927,3.098,3.156,bbox,18.119,13.664,18.904,15.843,2.7565,6.1235
1485,50.961,2.307,3.098,pose,18.119,13.664,18.904,15.843,2.7664,6.0939
1486,50.995,3.024,3.024,bbox,18.119,13.664,18.904,15.843,2.7775,6.07
1487,51.03,2.993,3.024,bbox,18.15,13.664,18.963,15.843,2.7918,6.0561
1488,51.064,2.289,2.993,pose,18.15,13.664,18.963,15.843,2.8024,6.0643
1489,51.098,2.99,2.99,bbox,18.15,13.664,18.963,15.843,2.8088,6.0682
1490,51.132,3.03,2.993,bbox,18.186,13.664,18.963,15.843,2.8192,6.0937
1491,51.167,2.331,2.99,pose,18.186,13.664,18.963,15.843,2.8253,6.1024
1492,51.201,3.052,2.99,bbox,18.186,13.664,18.963,15.843,2.8245,6.0986
1493,51.235,3.055,3.03,bbox,18.186,13.664,18.963,15.843,2.8281,6.1124
1494,51.27,2.342,3.03,pose,18.186,13.664,18.963,15.843,2.8327,6.1089
1495,51.304,3.036,3.036,bbox,18.186,13.664,18.963,15.843,2.8311,6.1291
1496,51.338,3.045,3.045,bbox,18.186,13.664,18.963,15.843,2.831,6.1388
1497,51.373,2.324,3.036,pose,18.186,13.664,18.963,15.878,2.8345,6.1584
1498,51.407,3.05,3.036,bbox,18.216,13.664,18.963,15.878,2.8327,6.1698
1499,51.441,3.078,3.045,bbox,18.216,13.664,18.963,15.878,2.8153,6.1859
1500,51.476,2.371,3.045,pose,18.216,13.664,18.963,15.919,2.8065,6.1947
1501,51.51,3.115,3.05,bbox,18.216,13.664,18.963,15.919,2.7953,6.2032
1502,51.544,3.14,3.078,bbox,18.216,13.664,18.963,15.919,2.7729,6.1992
1503,51.579,2.372,3.078,pose,18.216,13.701,18.963,15.919,2.7581,6.193
1504,51.613,3.2,3.115,bbox,18.216,13.701,18.963,15.919,2.7549,6.2024
1505,51.647,3.196,3.14,bbox,18.216,13.738,18.963,15.951,2.7543,6.2044
1506,51.682,2.357,3.14,pose,18.216,13.738,18.963,15.951,2.7625,6.1989
1507,51.716,3.14,3.14,bbox,18.216,13.738,18.963,15.951,2.7704,6.1869
1508,51.75,3.098,3.14,bbox,18.216,13.738,18.963,15.951,2.7739,6.1667
1509,51.784,2.344,3.098,pose,18.216,13.738,18.963,15.951,2.7652,6.1668
1510,51.819,3.094,3.094,bbox,18.216,13.738,18.995,15.951,2.7762,6.1705
1511,51.853,3.091,3.094,bbox,18.216,13.738,18.995,15.951,2.7836,6.1656
1512,51.887,2.374,3.091,pose,18.216,13.738,18.995,15.951,2.7866,6.1624
1513,51.922,3.095,3.091,bbox,18.216,13.738,18.995,15.951,2.7866,6.1559
1514,51.956,3.133,3.094,bbox,18.216,13.738,18.995,15.951,2.7797,6.1581
1515,51.99,2.393,3.091,pose,18.216,13.738,18.995,15.951,2.7687,6.1661
1516,52.025,3.168,3.095,bbox,18.216,13.738,18.995,15.951,2.7618,6.1679
1517,52.059,3.158,3.133,bbox,18.216,13.738,18.995,15.951,2.7483,6.1632
1518,52.093,2.37,3.133,pose,18.216,13.738,18.995,15.951,2.756,6.154
1519,52.128,3.136,3.136,bbox,18.216,13.738,18.995,15.951,2.7544,6.155
1520,52.162,3.129,3.136,bbox,18.216,13.738,18.995,15.951,2.7476,6.158
1521,52.196,2.402,3.129,pose,18.216,13.738,18.995,15.951,2.7373,6.164
1522,52.231,3.154,3.129,bbox,18.216,13.738,18.995,15.951,2.74,6.1715
1523,52.265,3.167,3.136,bbox,18.216,13.738,18.995,15.951,2.7353,6.1641
1524,52.299,2.476,3.129,pose,18.216,13.738,18.995,15.951,2.7257,6.1662
1525,52.334,3.293,3.154,bbox,18.216,13.738,18.995,15.951,2.704,6.1483
1526,52.368,3.327,3.167,bbox,18.216,13.77,18.995,15.951,2.6941,6.1325
1527,52.402,2.304,3.167,pose,18.216,13.77,18.995,15.951,2.6945,6.0643
1528,52.437,3.206,3.206,bbox,18.216,13.77,19.033,15.951,2.71,6.0297
1529,52.471,3.153,3.206,bbox,18.216,13.77,19.101,15.951,2.7175,5.9993
1530,52.505,2.016,3.153,pose,18.216,13.77,19.136,15.951,2.738,5.9387
1531,52.539,2.968,2.968,bbox,18.216,13.77,19.166,15.951,2.7452,5.8474
1532,52.574,2.881,2.968,bbox,18.216,13.77,19.227,15.951,2.751,5.7438
1533,52.608,2.026,2.881,pose,18.216,13.77,19.318,15.951,2.7187,5.6007
1534,52.642,2.848,2.848,bbox,18.216,13.77,19.422,15.951,2.6908,5.5487
1535,52.677,2.829,2.848,bbox,18.216,13.77,19.565,15.951,2.6741,5.5133
1536,52.711,1.919,2.829,pose,18.216,13.805,19.617,15.951,2.6666,5.4723
1537,52.745,2.802,2.802,bbox,18.216,13.805,19.652,15.951,2.6596,5.4345
1538,52.78,2.748,2.802,bbox,18.216,13.805,19.693,15.951,2.6607,5.3693
1539,52.814,1.939,2.748,pose,18.216,13.835,19.731,15.951,2.6547,5.3517
1540,52.848,2.749,2.748,bbox,18.216,13.835,19.796,15.951,2.5943,5.3447
1541,52.883,2.696,2.748,bbox,18.216,13.835,19.796,15.951,2.5802,5.3009
1542,52.917,2.219,2.696,pose,18.216,13.902,19.796,15.951,2.5237,5.2711
1543,52.951,2.801,2.696,bbox,18.216,13.902,19.865,15.951,2.4345,5.2487
1544,52.986,2.805,2.749,bbox,18.216,13.972,19.865,15.951,2.4187,5.3076
1545,53.02,2.288,2.696,pose,18.216,14.062,19.865,15.951,2.3965,5.2997
1546,53.054,2.797,2.797,bbox,18.216,14.062,19.865,15.951,2.3826,5.3142
1547,53.089,2.84,2.801,bbox,18.216,14.1,19.865,15.951,2.3503,5.3166
1548,53.123,2.332,2.797,pose,18.216,14.1,19.865,15.951,2.3201,5.3374
1549,53.157,3.008,2.797,bbox,18.216,14.146,19.865,15.951,2.281,5.3705
1550,53.191,3.134,2.84,bbox,18.216,14.176,19.865,15.988,2.2656,5.4565
1551,53.226,2.382,2.84,pose,18.216,14.215,19.865,16.021,2.2688,5.5156
1552,53.26,3.254,3.008,bbox,18.216,14.215,19.865,16.107,2.2709,5.5264
1553,53.294,3.267,3.134,bbox,18.216,14.215,19.865,16.166,2.2683,5.518
1554,53.329,2.384,3.134,pose,18.216,14.215,19.865,16.166,2.2623,5.5168
1555,53.363,3.165,3.165,bbox,18.216,14.215,19.865,16.166,2.2731,5.4816
1556,53.397,3.08,3.165,bbox,18.216,14.215,19.865,16.166,2.2759,5.4207
1557,53.432,2.604,3.08,pose,18.216,14.215,19.899,16.166,2.2234,5.3669
1558,53.466,2.955,2.955,bbox,18.216,14.215,19.96,16.166,2.2004,5.3269
1559,53.5,2.89,2.955,bbox,18.216,14.273,20.013,16.166,2.1931,5.2552
1560,53.535,2.403,2.89,pose,18.216,14.273,20.053,16.166,2.1856,5.1952
1561,53.569,2.804,2.804,bbox,18.216,14.303,20.125,16.166,2.1752,5.143
1562,53.603,2.775,2.804,bbox,18.216,14.303,20.185,16.166,2.1584,5.06
1563,53.638,2.303,2.775,pose,18.216,14.303,20.237,16.166,2.1699,5.0395
1564,53.672,2.752,2.752,bbox,18.216,14.303,20.32,16.166,2.1777,5.0076
1565,53.706,2.735,2.752,bbox,18.216,14.303,20.32,16.166,2.1853,5.0158
1566,53.741,2.12,2.735,pose,18.216,14.303,20.32,16.166,2.1959,5.0641
1567,53.775,2.635,2.635,bbox,18.216,14.303,20.364,16.166,2.2084,4.9327
1568,53.809,2.661,2.661,bbox,18.216,14.303,20.364,16.166,2.2106,4.9454
1569,53.844,1.909,2.635,pose,18.216,14.303,20.435,16.166,2.1932,4.8645
1570,53.878,2.597,2.597,bbox,18.216,14.303,20.435,16.166,2.1985,4.8125
1571,53.912,2.502,2.597,bbox,18.216,14.303,20.516,16.166,2.2872,4.796
1572,53.946,2.021,2.502,pose,18.216,14.303,20.568,16.166,2.2738,4.7268
1573,53.981,2.414,2.414,bbox,18.285,14.303,20.568,16.166,2.2617,4.6072
1574,54.015,2.326,2.414,bbox,18.285,14.303,20.653,16.166,2.2324,4.4988
1575,54.049,1.82,2.326,pose,18.285,14.303,20.773,16.166,2.2633,4.4308
1576,54.084,2.202,2.202,bbox,18.285,14.303,20.881,16.166,2.2523,4.4255
1577,54.118,2.203,2.203,bbox,18.285,14.303,20.949,16.166,2.2503,4.4103
1578,54.152,1.602,2.202,pose,18.285,14.303,20.949,16.166,2.2069,4.3954
1579,54.187,2.279,2.202,bbox,18.285,14.303,20.949,16.166,2.1596,4.3705
1580,54.221,2.245,2.203,bbox,18.285,14.358,20.985,16.166,2.1334,4.3089
1581,54.255,2.162,2.203,bbox,18.285,14.405,20.985,16.166,2.1346,4.2601
1582,54.29,2.1,2.162,bbox,18.285,14.405,21.071,16.166,2.1088,4.2014
1583,54.324,2.064,2.162,bbox,18.285,14.405,21.12,16.166,2.0977,4.1509
1584,54.358,1.08,2.1,pose,18.285,14.405,21.179,16.166,2.1513,4.1421
1585,54.393,1.945,2.064,bbox,18.285,14.405,21.229,16.166,2.1761,4.1051
1586,54.427,1.821,1.945,bbox,18.285,14.456,21.229,16.166,2.0793,3.875
1587,54.461,1.851,1.851,bbox,18.285,14.456,21.275,16.166,1.9965,3.8364
1588,54.496,1.804,1.821,bbox,18.285,14.456,21.425,16.166,1.9439,3.7664
1589,54.53,1.796,1.821,bbox,18.285,14.568,21.464,16.166,1.9162,3.7224
1590,54.564,,,,18.285,14.568,21.464,16.166,,
1591,54.598,1.917,1.821,bbox,18.285,14.621,21.534,16.166,1.7135,3.668
1592,54.633,,,,18.285,14.621,21.534,16.166,,
1593,54.667,,,,18.285,14.621,21.534,16.166,,
1594,54.701,2.138,1.851,bbox,18.285,14.621,21.578,16.166,1.5663,3.6612
1595,54.736,,,,18.285,14.621,21.578,16.166,,
1596,54.77,,,,18.285,14.621,21.578,16.166,,
1597,54.804,2.388,1.917,bbox,18.285,14.799,21.632,16.166,1.2578,3.5645
1598,54.839,2.417,2.138,bbox,18.285,14.946,21.632,16.166,1.2065,3.4999
1599,54.873,2.488,2.388,bbox,18.285,15.096,21.736,16.166,1.0789,3.4425
1600,54.907,2.573,2.417,bbox,18.285,15.147,21.8,16.166,0.9809,3.4198
1601,54.942,2.662,2.488,bbox,18.285,15.275,21.858,16.166,0.9342,3.4196
1602,54.976,2.698,2.573,bbox,18.285,15.373,21.858,16.166,0.9195,3.3947
1603,55.01,2.751,2.662,bbox,18.285,15.419,21.858,16.166,0.8709,3.3828
1604,55.045,2.762,2.698,bbox,18.285,15.419,21.905,16.166,0.8356,3.3704
1605,55.079,2.789,2.751,bbox,18.285,15.483,21.905,16.166,0.7925,3.3687
1606,55.113,2.843,2.762,bbox,18.285,15.518,21.905,16.166,0.753,3.3869
1607,55.148,2.892,2.789,bbox,18.285,15.561,21.905,16.166,0.7345,3.4349
1608,55.182,2.861,2.843,bbox,18.285,15.6,21.905,16.166,0.7296,3.4188
1609,55.216,2.771,2.843,bbox,18.285,15.6,21.905,16.166,0.7422,3.3875
1610,55.251,2.788,2.843,bbox,18.285,15.6,21.905,16.166,0.666,3.3307
1611,55.285,3.4,2.861,pose,18.285,15.6,21.905,16.166,0.6653,3.2859
1612,55.319,2.701,2.788,bbox,18.285,15.68,21.969,16.166,0.6731,3.2398
1613,55.353,2.738,2.771,bbox,18.285,15.68,22.014,16.166,0.6869,3.1898
1614,55.388,2.605,2.738,bbox,18.285,15.68,22.06,16.166,0.7593,3.1928
1615,55.422,2.623,2.701,bbox,18.285,15.68,22.06,16.166,0.8061,3.2231
1616,55.456,2.578,2.623,bbox,18.371,15.68,22.06,16.166,0.8445,3.232
1617,55.491,2.667,2.623,bbox,18.418,15.68,22.06,16.166,0.9035,3.3018
1618,55.525,2.615,2.615,bbox,18.456,15.68,22.06,16.166,0.9704,3.2929
1619,55.559,2.547,2.615,bbox,18.515,15.68,22.06,16.213,1.0139,3.2866
1620,55.594,2.499,2.578,bbox,18.582,15.68,22.06,16.213,1.0719,3.2765
1621,55.628,2.431,2.547,bbox,18.626,15.68,22.06,16.213,1.1303,3.2675
1622,55.662,2.344,2.499,bbox,18.684,15.68,22.06,16.213,1.2395,3.2898
1623,55.697,2.291,2.431,bbox,18.742,15.68,22.06,16.213,1.3967,3.3402
1624,55.731,2.215,2.344,bbox,18.851,15.68,22.06,16.213,1.5495,3.4152
1625,55.765,2.091,2.291,bbox,19.001,15.68,22.06,16.266,1.6851,3.4413
1626,55.8,2.038,2.215,bbox,19.151,15.68,22.06,16.341,1.7998,3.4885
