frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
93,3.1,,,,0.434,0.15,0.482,0.0,,,,,,
94,3.133,,,,0.434,0.15,0.482,0.0,,,,,,
95,3.167,,,,0.434,0.15,0.482,0.0,,,,,,
96,3.2,,,,0.434,0.15,0.482,0.0,,,,,,
97,3.233,1.963,4.498,bbox,0.582,0.15,0.482,0.0,6.8942,8.1772,,,,
98,3.267,1.942,1.963,bbox,0.732,0.15,0.482,0.0,6.8942,8.1687,,,,
99,3.3,1.935,1.942,bbox,0.732,0.15,0.513,0.0,6.8961,8.1664,0.0984,,0.0886,
100,3.333,1.884,1.935,bbox,0.732,0.15,0.513,0.0,6.8986,8.1817,,,,
101,3.367,1.855,1.935,bbox,0.732,0.15,0.513,0.0,6.8972,8.1954,,,,
102,3.4,,,,0.732,0.15,0.513,0.0,,,,,,
103,3.433,,,,0.732,0.15,0.513,0.0,,,,,,
104,3.467,,,,0.732,0.15,0.513,0.0,,,,,,
105,3.5,,,,0.732,0.15,0.513,0.0,,,,,,
106,3.533,,,,0.732,0.15,0.513,0.0,,,,,,
107,3.567,,,,0.732,0.15,0.513,0.0,,,,,,
108,3.6,,,,0.732,0.15,0.513,0.0,,,,,,
109,3.633,,,,0.732,0.15,0.513,0.0,,,,,,
110,3.667,,,,0.732,0.15,0.513,0.0,,,,,,
111,3.7,,,,0.732,0.15,0.513,0.0,,,,,,
112,3.733,,,,0.732,0.15,0.513,0.0,,,,,,
113,3.767,,,,0.732,0.15,0.513,0.0,,,,,,
114,3.8,,,,0.732,0.15,0.513,0.0,,,,,,
115,3.833,,,,0.732,0.15,0.513,0.0,,,,,,
116,3.867,,,,0.732,0.15,0.513,0.0,,,,,,
117,3.9,,,,0.732,0.15,0.513,0.0,,,,,,
118,3.933,,,,0.732,0.15,0.513,0.0,,,,,,
119,3.967,,,,0.732,0.15,0.513,0.0,,,,,,
120,4.0,,,,0.732,0.15,0.513,0.0,,,,,,
121,4.033,,,,0.732,0.15,0.513,0.0,,,,,,
122,4.067,,,,0.732,0.15,0.513,0.0,,,,,,
123,4.1,,,,0.732,0.15,0.513,0.0,,,,,,
124,4.133,,,,0.732,0.15,0.513,0.0,,,,,,
125,4.167,,,,0.732,0.15,0.513,0.0,,,,,,
126,4.2,,,,0.732,0.15,0.513,0.0,,,,,,
127,4.233,,,,0.732,0.15,0.513,0.0,,,,,,
128,4.267,,,,0.732,0.15,0.513,0.0,,,,,,
129,4.3,,,,0.732,0.15,0.513,0.0,,,,,,
130,4.333,,,,0.732,0.15,0.513,0.0,,,,,,
131,4.367,,,,0.732,0.15,0.513,0.0,,,,,,
132,4.4,4.612,1.935,bbox,0.732,0.15,0.513,0.0,3.5847,8.1335,0.2991,,0.7021,
133,4.433,4.588,1.935,bbox,0.732,0.15,0.513,0.0,3.6075,8.1324,,,,
134,4.467,4.506,4.506,bbox,0.732,0.298,0.546,0.0,3.6307,8.086,,,,
135,4.5,4.487,4.506,bbox,0.732,0.298,0.546,0.0,3.6221,8.0549,0.1394,,0.7243,
136,4.533,,,,0.732,0.298,0.546,0.0,,,,,,
137,4.567,4.407,4.506,bbox,0.732,0.298,0.593,0.0,3.6204,8.0007,,,,
138,4.6,4.368,4.487,bbox,0.732,0.298,0.625,0.0,3.6285,7.9576,0.5672,,0.5516,
139,4.633,4.387,4.407,bbox,0.732,0.298,0.679,0.0,3.6375,7.9383,,,,
140,4.667,,,,0.732,0.298,0.679,0.0,,,,,,
141,4.7,4.321,4.387,bbox,0.732,0.298,0.722,0.0,3.6691,7.9175,0.5733,,0.6453,
142,4.733,4.258,4.368,bbox,0.732,0.298,0.722,0.0,3.6965,7.8976,,,,
