time_s,confidence,min_distance_m,separation_m,audio_support,signals
19.66,1.0,0.72,3.22,0,approach+separated
35.9,0.474,1.58,1.42,0,approach+separated
43.75,0.415,2.02,1.24,0,approach+separated
48.04,0.423,1.85,1.27,0,approach+separated
64.0,0.654,1.38,1.96,0,approach+separated
89.77,0.981,1.52,2.94,0,approach+separated
99.38,0.421,2.45,1.26,0,approach+separated
102.27,0.307,2.97,0.92,0,approach+separated
107.14,0.313,2.22,0.94,0,approach+separated
112.97,0.704,1.34,2.11,0,approach+separated
131.06,0.306,0.76,0.92,0,approach+separated
140.63,1.0,0.36,3.82,0,approach+separated
155.32,0.787,1.27,2.36,0,approach+separated
172.17,1.0,1.08,3.31,0,approach+separated
