frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
54,1.853,3.942,4.328,4.424,pose,0.032,0.155,0.665,0.039,1.7674,6.8334,0.6578,0.9216,0.7115,0.9995
55,1.887,4.448,4.376,4.448,bbox,0.032,0.155,0.665,0.039,1.7465,6.8302,,,,
56,1.922,4.478,4.407,4.478,bbox,0.032,0.155,0.665,0.039,1.7289,6.8265,,,,
57,1.956,3.961,4.407,4.522,pose,0.032,0.155,0.665,0.039,1.7178,6.8499,0.6677,0.9409,0.6814,0.9615
58,1.99,4.532,4.448,4.532,bbox,0.032,0.155,0.665,0.039,1.7098,6.8732,,,,
59,2.025,4.569,4.478,4.569,bbox,0.032,0.192,0.665,0.081,1.7117,6.9177,,,,
60,2.059,3.931,4.478,4.533,pose,0.032,0.192,0.665,0.081,1.718,6.9028,0.6692,0.9357,0.6969,0.988
61,2.093,4.481,4.481,4.481,bbox,0.032,0.192,0.665,0.128,1.7353,6.8972,,,,
62,2.128,4.42,4.481,4.42,bbox,0.032,0.192,0.665,0.128,1.7685,6.8717,,,,
63,2.162,3.9,4.42,4.366,pose,0.032,0.192,0.665,0.128,1.8299,6.8524,0.5334,0.9288,0.6664,1.0109
64,2.196,4.316,4.316,4.316,bbox,0.083,0.192,0.665,0.128,1.8723,6.8404,,,,
65,2.231,4.278,4.316,4.278,bbox,0.144,0.192,0.71,0.128,1.9102,6.8246,,,,
66,2.265,4.192,4.278,4.192,bbox,0.186,0.192,0.71,0.128,1.9752,6.8152,,0.936,,0.9744
67,2.299,4.126,4.192,4.126,bbox,0.224,0.192,0.71,0.128,2.0373,6.8066,,,,
68,2.334,4.048,4.192,4.048,bbox,0.289,0.192,0.747,0.128,2.0966,6.7937,,,,
69,2.368,3.86,4.126,3.999,pose,0.351,0.192,0.747,0.128,2.1363,6.7878,0.1346,0.9304,0.6343,0.9588
70,2.402,3.949,4.048,3.949,bbox,0.411,0.192,0.747,0.128,2.1705,6.7812,,,,
71,2.437,3.925,3.949,3.925,bbox,0.45,0.192,0.747,0.128,2.1865,6.7734,,,,
72,2.471,3.668,3.925,3.899,pose,0.485,0.192,0.781,0.128,2.1911,6.7653,0.1435,0.9538,0.7606,0.946
73,2.505,3.863,3.863,3.863,bbox,0.485,0.192,0.781,0.128,2.2078,6.7553,,,,
74,2.539,3.864,3.864,3.864,bbox,0.485,0.192,0.781,0.128,2.2172,6.7488,,,,
75,2.574,3.501,3.863,3.885,pose,0.522,0.192,0.781,0.128,2.2115,6.7411,0.392,0.9303,0.7306,0.9779
76,2.608,3.832,3.832,3.832,bbox,0.522,0.192,0.814,0.128,2.2066,6.7042,,,,
77,2.642,3.923,3.863,3.923,bbox,0.522,0.192,0.814,0.128,2.1324,6.699,,,,
78,2.677,3.42,3.832,3.906,pose,0.522,0.192,0.858,0.128,2.0948,6.674,0.4258,0.9338,0.7364,0.9722
79,2.711,3.867,3.832,3.867,bbox,0.522,0.264,0.858,0.128,2.1355,6.6536,,,,
80,2.745,,,,,0.522,0.264,0.858,0.128,,,,,,
81,2.78,3.391,3.832,3.805,pose,0.522,0.264,0.889,0.128,2.2186,6.5994,0.3397,1.0556,0.6837,0.9217
82,2.814,3.693,3.693,3.693,bbox,0.522,0.264,0.889,0.128,2.3274,6.5634,,,,
83,2.848,3.636,3.636,3.636,bbox,0.605,0.264,0.963,0.128,2.3951,6.5387,,,,
84,2.883,3.625,3.636,3.625,bbox,0.714,0.264,0.999,0.128,2.4097,6.5324,,1.2194,,0.8303
85,2.917,3.708,3.636,3.708,bbox,0.777,0.264,0.999,0.128,2.3908,6.5272,,,,
86,2.951,3.65,3.65,3.65,bbox,0.777,0.264,1.03,0.128,2.4509,6.5141,,,,
87,2.986,3.622,3.636,3.622,bbox,0.777,0.264,1.03,0.128,2.4708,6.5102,,1.2427,,0.846
88,3.02,3.578,3.625,3.578,bbox,0.837,0.264,1.03,0.128,2.4935,6.5035,,,,
89,3.054,3.538,3.622,3.538,bbox,0.837,0.264,1.03,0.128,2.5121,6.4861,,,,
90,3.089,2.564,3.578,3.351,pose,0.88,0.264,1.03,0.128,2.6295,6.4541,0.748,1.1501,0.6389,0.9
91,3.123,3.254,3.538,3.254,bbox,0.88,0.264,1.077,0.128,2.719,6.406,,,,
92,3.157,3.157,3.254,3.157,bbox,1.016,0.264,1.108,0.128,2.7397,6.3057,,,,
93,3.191,2.392,3.157,3.065,pose,1.105,0.264,1.157,0.128,2.7784,6.2156,0.914,1.0484,0.6063,0.9311
94,3.226,3.014,3.014,3.014,bbox,1.105,0.264,1.257,0.128,2.8012,6.1605,,,,
95,3.26,3.006,3.014,3.006,bbox,1.165,0.264,1.347,0.128,2.7906,6.1055,,,,
96,3.294,2.294,3.006,2.954,pose,1.165,0.264,1.402,0.128,2.8095,6.0701,0.9795,0.9999,0.5351,0.9327
97,3.329,2.918,2.918,2.918,bbox,1.165,0.264,1.457,0.128,2.8338,6.0432,,,,
98,3.363,2.927,2.927,2.927,bbox,1.196,0.264,1.492,0.128,2.8511,6.0314,,,,
99,3.397,2.341,2.918,2.941,pose,1.196,0.264,1.492,0.128,2.8515,6.0562,0.944,0.9969,0.565,0.8694
100,3.432,2.926,2.918,2.926,bbox,1.234,0.264,1.492,0.128,2.8475,6.0564,,,,
101,3.466,2.966,2.926,2.966,bbox,1.234,0.264,1.492,0.128,2.8075,6.0768,,,,
102,3.5,2.326,2.926,2.935,pose,1.234,0.264,1.492,0.128,2.7933,6.0502,0.9121,0.9689,0.6313,0.9124
103,3.535,2.956,2.926,2.956,bbox,1.234,0.304,1.492,0.128,2.7824,6.0817,,,,
104,3.569,2.963,2.956,2.963,bbox,1.234,0.304,1.492,0.128,2.7677,6.0891,,,,
105,3.603,2.313,2.956,2.987,pose,1.234,0.304,1.492,0.128,2.7574,6.106,0.9257,0.9667,0.6395,0.9262
106,3.638,3.074,2.956,3.074,bbox,1.234,0.344,1.492,0.128,2.7449,6.1653,,,,
107,3.672,3.096,2.963,3.096,bbox,1.234,0.344,1.492,0.164,2.7258,6.1132,,,,
108,3.706,2.409,2.963,3.113,pose,1.234,0.344,1.492,0.164,2.7145,6.0869,0.9579,1.0369,0.6013,0.8601
109,3.741,3.118,3.074,3.118,bbox,1.234,0.386,1.492,0.164,2.7164,6.0958,,,,
110,3.775,3.12,3.096,3.12,bbox,1.234,0.386,1.492,0.164,2.7165,6.0985,,,,
111,3.809,2.374,3.096,3.09,pose,1.234,0.386,1.492,0.164,2.7297,6.1098,0.984,1.0286,0.609,0.8636
112,3.844,3.072,3.072,3.072,bbox,1.234,0.386,1.492,0.164,2.7576,6.1283,,,,
113,3.878,3.054,3.072,3.054,bbox,1.234,0.386,1.492,0.164,2.7649,6.1263,,,,
114,3.912,2.31,3.054,3.028,pose,1.266,0.386,1.492,0.164,2.7679,6.1333,0.9537,0.9949,0.6502,0.9014
115,3.946,3.002,3.002,3.002,bbox,1.266,0.386,1.492,0.164,2.77,6.1187,,,,
116,3.981,2.973,3.002,2.973,bbox,1.266,0.386,1.492,0.164,2.7728,6.0993,,,,
117,4.015,2.288,2.973,2.968,pose,1.266,0.386,1.492,0.164,2.7696,6.082,0.9366,0.9868,0.6705,0.9184
118,4.049,2.978,2.973,2.978,bbox,1.266,0.386,1.492,0.164,2.7683,6.0738,,,,
119,4.084,2.987,2.978,2.987,bbox,1.266,0.386,1.492,0.164,2.7694,6.0542,,,,
120,4.118,2.321,2.973,2.993,pose,1.266,0.386,1.525,0.164,2.7618,6.0443,0.9487,1.0118,0.6055,0.8667
121,4.152,3.009,2.978,3.009,bbox,1.266,0.386,1.525,0.164,2.7574,6.0431,,,,
122,4.187,3.014,2.987,3.014,bbox,1.266,0.386,1.525,0.164,2.7589,6.0608,,,,
123,4.221,2.352,2.987,3.008,pose,1.266,0.386,1.525,0.164,2.7505,6.0729,0.9337,1.0011,0.6419,0.8958
124,4.255,3.008,3.008,3.008,bbox,1.266,0.386,1.525,0.164,2.7567,6.0969,,,,
125,4.29,3.028,3.009,3.028,bbox,1.266,0.386,1.525,0.164,2.7673,6.0951,,,,
126,4.324,2.417,3.008,3.054,pose,1.266,0.386,1.525,0.164,2.7704,6.1139,0.9012,0.9901,0.6939,0.9352
127,4.358,3.101,3.008,3.101,bbox,1.266,0.386,1.525,0.164,2.7623,6.1391,,,,
128,4.393,3.123,3.028,3.123,bbox,1.266,0.386,1.525,0.204,2.7587,6.1742,,,,
129,4.427,2.505,3.028,3.136,pose,1.266,0.386,1.525,0.204,2.7592,6.1655,0.9076,1.0288,0.6419,0.9087
130,4.461,3.14,3.101,3.14,bbox,1.266,0.386,1.525,0.256,2.7868,6.1826,,,,
131,4.496,3.14,3.123,3.14,bbox,1.266,0.386,1.525,0.256,2.7909,6.2236,,,,
132,4.53,2.491,3.123,3.174,pose,1.266,0.386,1.525,0.256,2.7977,6.2464,0.9296,1.045,0.62,0.8594
133,4.564,3.152,3.14,3.152,bbox,1.296,0.386,1.525,0.314,2.7885,6.2513,,,,
134,4.598,3.114,3.14,3.114,bbox,1.296,0.386,1.525,0.314,2.8392,6.2834,,,,
135,4.633,2.426,3.114,3.086,pose,1.296,0.386,1.525,0.314,2.8808,6.307,0.8147,1.0355,0.6476,0.9127
136,4.667,3.024,3.024,3.024,bbox,1.347,0.386,1.525,0.374,2.9175,6.3062,,,,
137,4.701,2.946,3.024,2.946,bbox,1.389,0.386,1.525,0.374,2.9773,6.3084,,,,
138,4.736,2.363,2.946,2.877,pose,1.425,0.386,1.525,0.374,3.0286,6.3049,0.5904,1.0172,0.6935,0.9136
139,4.77,2.876,2.876,2.876,bbox,1.485,0.386,1.525,0.374,3.0223,6.3018,,,,
140,4.804,2.875,2.876,2.875,bbox,1.53,0.386,1.525,0.374,3.0351,6.2861,,,,
141,4.839,2.249,2.875,2.873,pose,1.53,0.386,1.525,0.374,3.0785,6.2891,0.8302,1.0285,0.6498,0.843
142,4.873,2.847,2.847,2.847,bbox,1.53,0.386,1.525,0.374,3.1406,6.286,,,,
143,4.907,2.904,2.875,2.904,bbox,1.586,0.386,1.525,0.374,3.1824,6.3236,,,,
144,4.942,2.075,2.847,2.925,pose,1.649,0.386,1.525,0.374,3.2205,6.3135,1.058,1.0933,0.6184,0.7437
145,4.976,2.891,2.847,2.891,bbox,1.69,0.386,1.525,0.374,3.2347,6.2806,,,,
146,5.01,2.841,2.847,2.841,bbox,1.728,0.386,1.525,0.374,3.2828,6.2646,,,,
147,5.045,2.696,2.841,2.696,bbox,1.728,0.386,1.525,0.374,3.3078,6.1369,,0.1863,,0.7009
148,5.079,2.68,2.696,2.68,bbox,1.791,0.386,1.525,0.374,3.3411,6.0727,,,,
149,5.113,2.555,2.696,2.555,bbox,1.791,0.386,1.671,0.374,3.3469,5.9552,,,,
150,5.148,1.509,2.68,2.486,pose,1.791,0.386,1.735,0.374,3.3101,5.8572,1.0188,1.3684,0.5164,0.6609
151,5.182,2.421,2.555,2.421,bbox,1.791,0.386,1.853,0.374,3.2616,5.7752,,,,
152,5.216,2.398,2.421,2.398,bbox,1.791,0.386,1.951,0.374,3.2085,5.7172,,,,
153,5.251,2.337,2.398,2.337,bbox,1.791,0.386,2.033,0.374,3.1609,5.6065,,1.3255,,0.665
154,5.285,2.293,2.337,2.293,bbox,1.791,0.46,2.091,0.374,3.1275,5.5111,,,,
155,5.319,2.261,2.337,2.261,bbox,1.791,0.508,2.202,0.374,3.0562,5.3963,,,,
156,5.353,1.656,2.293,2.283,pose,1.791,0.541,2.297,0.374,2.9796,5.33,1.0082,1.0556,0.6049,0.7319
157,5.388,2.314,2.293,2.314,bbox,1.791,0.612,2.412,0.374,2.8768,5.2511,,,,
158,5.422,2.236,2.261,2.236,bbox,1.791,0.689,2.478,0.374,2.8397,5.1486,,,,
159,5.456,1.844,2.236,2.168,pose,1.791,0.792,2.557,0.374,2.8536,5.1161,0.7675,0.7586,0.5721,0.7467
160,5.491,2.151,2.151,2.151,bbox,1.791,0.792,2.659,0.374,2.835,5.094,,,,
161,5.525,2.149,2.151,2.149,bbox,1.791,0.829,2.692,0.374,2.8198,5.0891,,,,
162,5.559,2.167,2.151,2.167,bbox,1.791,0.829,2.692,0.374,2.7892,5.0798,,0.8032,,0.7316
163,5.594,2.187,2.151,2.187,bbox,1.791,0.829,2.692,0.374,2.7599,5.0701,,,,
164,5.628,2.238,2.167,2.238,bbox,1.791,0.879,2.728,0.374,2.7285,5.0686,,,,
165,5.662,2.3,2.187,2.3,bbox,1.791,0.879,2.728,0.374,2.6934,5.0801,,1.1224,,0.7788
166,5.697,2.444,2.238,2.444,bbox,1.791,0.94,2.728,0.374,2.5826,5.0918,,,,
167,5.731,2.592,2.3,2.592,bbox,1.791,0.975,2.728,0.374,2.4553,5.0913,,,,
168,5.765,2.697,2.444,2.697,bbox,1.791,1.086,2.728,0.374,2.3546,5.082,,1.0906,,0.6816
169,5.8,2.767,2.592,2.767,bbox,1.791,1.213,2.728,0.374,2.272,5.0658,,,,
170,5.834,2.834,2.697,2.834,bbox,1.791,1.314,2.728,0.374,2.2224,5.0513,,,,
171,5.868,2.871,2.767,2.871,bbox,1.791,1.396,2.728,0.374,2.1972,5.0266,,1.1193,,0.7255
172,5.903,2.915,2.834,2.915,bbox,1.791,1.446,2.728,0.374,2.1483,5.0099,,,,
173,5.937,2.856,2.856,2.856,bbox,1.791,1.446,2.782,0.374,2.0993,4.9475,,,,
174,5.971,2.818,2.856,2.818,bbox,1.791,1.52,2.782,0.374,2.0404,4.9034,,0.9401,,0.8036
175,6.005,2.788,2.856,2.788,bbox,1.791,1.569,2.861,0.374,2.0217,4.8735,,,,
176,6.04,2.72,2.818,2.72,bbox,1.791,1.628,2.905,0.374,1.991,4.835,,,,
177,6.074,2.114,2.788,2.658,pose,1.791,1.628,2.905,0.374,1.978,4.8125,0.8989,0.8378,0.6733,0.8698
178,6.108,2.609,2.72,2.609,bbox,1.791,1.677,2.973,0.374,1.9765,4.7664,,,,
179,6.143,2.604,2.609,2.604,bbox,1.791,1.677,2.973,0.374,1.9653,4.7647,,,,
180,6.177,2.256,2.604,2.602,pose,1.791,1.677,3.042,0.374,1.9564,4.7445,0.6502,0.8638,0.7207,0.8718
181,6.211,2.623,2.604,2.623,bbox,1.791,1.677,3.042,0.374,1.9367,4.7323,,,,
182,6.246,2.678,2.609,2.678,bbox,1.791,1.712,3.042,0.374,1.9142,4.7449,,,,
183,6.28,2.302,2.604,2.856,pose,1.791,1.712,3.042,0.374,1.7478,4.7533,0.7469,0.8731,0.6814,0.8069
184,6.314,2.806,2.623,2.806,bbox,1.791,1.754,3.042,0.374,1.8364,4.7692,,,,
185,6.349,2.904,2.678,2.904,bbox,1.791,1.832,3.042,0.374,1.7569,4.7832,,,,
186,6.383,2.341,2.678,2.922,pose,1.791,1.884,3.042,0.374,1.784,4.8111,0.8067,0.859,0.5975,0.8375
187,6.417,2.933,2.806,2.933,bbox,1.791,1.884,3.042,0.374,1.8286,4.8775,,,,
188,6.452,2.893,2.893,2.893,bbox,1.835,1.884,3.042,0.419,1.8545,4.9008,,,,
189,6.486,2.295,2.893,2.881,pose,1.835,1.884,3.042,0.485,1.8535,4.9151,0.8017,0.8565,0.612,0.8924
190,6.52,2.872,2.872,2.872,bbox,1.835,1.884,3.042,0.485,1.8148,4.9012,,,,
191,6.555,2.865,2.872,2.865,bbox,1.835,1.884,3.042,0.485,1.8028,4.8758,,,,
192,6.589,2.317,2.865,2.862,pose,1.835,1.884,3.042,0.485,1.809,4.8668,0.7595,0.8521,0.6875,0.8538
193,6.623,2.86,2.86,2.86,bbox,1.835,1.884,3.042,0.485,1.8249,4.8548,,,,
194,6.658,2.865,2.865,2.865,bbox,1.835,1.884,3.042,0.485,1.8423,4.8612,,,,
195,6.692,2.367,2.86,2.856,pose,1.835,1.884,3.042,0.485,1.8497,4.856,0.6899,0.8607,0.7109,0.827
