frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
49,1.682,3.88,3.896,pose,0.032,0.155,0.665,0.039,1.776,6.8018,0.6747,0.9627,0.7209,0.9849
50,1.716,3.896,3.896,pose,0.032,0.155,0.665,0.039,1.7948,6.8034,0.6719,0.9785,0.7114,0.9982
51,1.75,3.896,3.896,pose,0.032,0.155,0.665,0.039,1.7866,6.8031,0.6782,0.9627,0.7182,0.9913
52,1.784,3.911,3.896,pose,0.032,0.155,0.665,0.039,1.7711,6.7973,0.6585,0.9716,0.7339,0.9915
53,1.819,3.922,3.896,pose,0.032,0.155,0.665,0.039,1.7627,6.8132,0.675,0.935,0.7219,0.9877
54,1.853,3.942,3.911,pose,0.032,0.155,0.665,0.039,1.7674,6.8334,0.6578,0.9216,0.7115,0.9995
55,1.887,3.941,3.922,pose,0.032,0.155,0.665,0.039,1.7465,6.8302,0.6645,0.9135,0.6872,0.9713
56,1.922,3.955,3.941,pose,0.032,0.155,0.665,0.039,1.7289,6.8265,0.6585,0.9325,0.6832,0.9626
57,1.956,3.961,3.942,pose,0.032,0.155,0.665,0.039,1.7178,6.8499,0.6677,0.9409,0.6814,0.9615
58,1.99,3.936,3.942,pose,0.032,0.155,0.665,0.039,1.7098,6.8732,0.6717,0.9466,0.6908,0.9592
59,2.025,3.957,3.955,pose,0.032,0.192,0.665,0.081,1.7117,6.9177,0.6766,0.9258,0.6848,0.974
60,2.059,3.931,3.955,pose,0.032,0.192,0.665,0.081,1.718,6.9028,0.6692,0.9357,0.6969,0.988
61,2.093,3.896,3.936,pose,0.032,0.192,0.665,0.128,1.7353,6.8972,0.6388,0.9305,0.6866,0.9796
62,2.128,3.88,3.931,pose,0.032,0.192,0.665,0.128,1.7685,6.8717,0.6117,0.9306,0.6758,0.9932
63,2.162,3.9,3.9,pose,0.032,0.192,0.665,0.128,1.8299,6.8524,0.5334,0.9288,0.6664,1.0109
64,2.196,3.889,3.896,pose,0.083,0.192,0.665,0.128,1.8723,6.8404,0.4872,0.9293,0.6791,0.999
65,2.231,3.901,3.896,pose,0.144,0.192,0.71,0.128,1.9102,6.8246,0.417,0.9279,0.701,1.0079
66,2.265,4.192,3.9,bbox,0.186,0.192,0.71,0.128,1.9752,6.8152,,0.936,,0.9744
67,2.299,4.126,3.901,bbox,0.224,0.192,0.71,0.128,2.0373,6.8066,,0.9561,,0.9856
68,2.334,3.877,3.901,pose,0.289,0.192,0.747,0.128,2.0966,6.7937,0.1693,0.9457,0.6373,0.9698
69,2.368,3.86,3.901,pose,0.351,0.192,0.747,0.128,2.1363,6.7878,0.1346,0.9304,0.6343,0.9588
70,2.402,3.809,3.877,pose,0.411,0.192,0.747,0.128,2.1705,6.7812,0.0205,0.9435,0.7249,0.9547
71,2.437,3.801,3.86,pose,0.45,0.192,0.747,0.128,2.1865,6.7734,0.0202,0.9424,0.6753,0.9559
72,2.471,3.668,3.809,pose,0.485,0.192,0.781,0.128,2.1911,6.7653,0.1435,0.9538,0.7606,0.946
73,2.505,3.575,3.801,pose,0.485,0.192,0.781,0.128,2.2078,6.7553,0.2698,0.915,0.7352,0.9448
74,2.539,3.514,3.668,pose,0.485,0.192,0.781,0.128,2.2172,6.7488,0.3558,0.9396,0.7363,0.9561
75,2.574,3.501,3.575,pose,0.522,0.192,0.781,0.128,2.2115,6.7411,0.392,0.9303,0.7306,0.9779
76,2.608,3.456,3.514,pose,0.522,0.192,0.814,0.128,2.2066,6.7042,0.427,0.918,0.7331,0.9843
77,2.642,3.466,3.501,pose,0.522,0.192,0.814,0.128,2.1324,6.699,0.4346,0.9359,0.7258,0.9971
78,2.677,3.42,3.466,pose,0.522,0.192,0.858,0.128,2.0948,6.674,0.4258,0.9338,0.7364,0.9722
79,2.711,3.403,3.456,pose,0.522,0.264,0.858,0.128,2.1355,6.6536,0.409,0.9424,0.7253,0.9695
80,2.745,,,,0.522,0.264,0.858,0.128,,,,,,
81,2.78,3.391,3.42,pose,0.522,0.264,0.889,0.128,2.2186,6.5994,0.3397,1.0556,0.6837,0.9217
82,2.814,3.327,3.403,pose,0.522,0.264,0.889,0.128,2.3274,6.5634,0.1538,1.1108,0.7235,0.8954
83,2.848,3.184,3.391,pose,0.605,0.264,0.963,0.128,2.3951,6.5387,0.0063,1.1815,0.6153,0.8606
84,2.883,3.625,3.391,bbox,0.714,0.264,0.999,0.128,2.4097,6.5324,,1.2194,,0.8303
85,2.917,3.708,3.391,bbox,0.777,0.264,0.999,0.128,2.3908,6.5272,,1.2339,,0.8449
86,2.951,3.143,3.327,pose,0.777,0.264,1.03,0.128,2.4509,6.5141,0.1806,1.236,0.7059,0.8226
87,2.986,3.622,3.622,bbox,0.777,0.264,1.03,0.128,2.4708,6.5102,,1.2427,,0.846
88,3.02,3.578,3.622,bbox,0.837,0.264,1.03,0.128,2.4935,6.5035,,1.205,,0.8524
89,3.054,3.071,3.578,pose,0.837,0.264,1.03,0.128,2.5121,6.4861,0.16,1.2109,0.6392,0.8632
90,3.089,2.564,3.143,pose,0.88,0.264,1.03,0.128,2.6295,6.4541,0.748,1.1501,0.6389,0.9
91,3.123,3.254,3.254,bbox,0.88,0.264,1.077,0.128,2.719,6.406,,1.1057,,0.9159
92,3.157,2.459,3.071,pose,1.016,0.264,1.108,0.128,2.7397,6.3057,0.8787,1.1289,0.604,0.897
93,3.191,2.392,2.564,pose,1.105,0.264,1.157,0.128,2.7784,6.2156,0.914,1.0484,0.6063,0.9311
94,3.226,2.371,2.459,pose,1.105,0.264,1.257,0.128,2.8012,6.1605,0.952,1.0198,0.5766,0.9114
95,3.26,2.345,2.392,pose,1.165,0.264,1.347,0.128,2.7906,6.1055,0.9585,0.982,0.5381,0.8985
96,3.294,2.294,2.371,pose,1.165,0.264,1.402,0.128,2.8095,6.0701,0.9795,0.9999,0.5351,0.9327
97,3.329,2.31,2.345,pose,1.165,0.264,1.457,0.128,2.8338,6.0432,0.951,0.9497,0.5456,0.8988
98,3.363,2.347,2.345,pose,1.196,0.264,1.492,0.128,2.8511,6.0314,0.9384,0.9406,0.5363,0.8755
99,3.397,2.341,2.341,pose,1.196,0.264,1.492,0.128,2.8515,6.0562,0.944,0.9969,0.565,0.8694
100,3.432,2.314,2.314,pose,1.234,0.264,1.492,0.128,2.8475,6.0564,0.937,1.0211,0.5805,0.8722
101,3.466,2.333,2.333,pose,1.234,0.264,1.492,0.128,2.8075,6.0768,0.9153,0.9732,0.6079,0.8785
102,3.5,2.326,2.333,pose,1.234,0.264,1.492,0.128,2.7933,6.0502,0.9121,0.9689,0.6313,0.9124
103,3.535,2.317,2.326,pose,1.234,0.304,1.492,0.128,2.7824,6.0817,0.9144,0.9886,0.6571,0.9302
104,3.569,2.301,2.317,pose,1.234,0.304,1.492,0.128,2.7677,6.0891,0.9262,0.9556,0.6399,0.9391
105,3.603,2.313,2.317,pose,1.234,0.304,1.492,0.128,2.7574,6.106,0.9257,0.9667,0.6395,0.9262
106,3.638,2.33,2.317,pose,1.234,0.344,1.492,0.128,2.7449,6.1653,0.9489,0.9931,0.6369,0.9278
107,3.672,2.367,2.317,pose,1.234,0.344,1.492,0.164,2.7258,6.1132,0.9598,1.0189,0.6184,0.8988
108,3.706,2.409,2.33,pose,1.234,0.344,1.492,0.164,2.7145,6.0869,0.9579,1.0369,0.6013,0.8601
109,3.741,2.406,2.367,pose,1.234,0.386,1.492,0.164,2.7164,6.0958,0.97,1.0559,0.6044,0.8638
110,3.775,2.405,2.405,pose,1.234,0.386,1.492,0.164,2.7165,6.0985,0.964,1.0311,0.5819,0.8499
111,3.809,2.374,2.405,pose,1.234,0.386,1.492,0.164,2.7297,6.1098,0.984,1.0286,0.609,0.8636
112,3.844,2.349,2.405,pose,1.234,0.386,1.492,0.164,2.7576,6.1283,0.9979,1.0516,0.6247,0.8702
113,3.878,2.319,2.374,pose,1.234,0.386,1.492,0.164,2.7649,6.1263,0.9868,1.0289,0.6385,0.8953
114,3.912,2.31,2.349,pose,1.266,0.386,1.492,0.164,2.7679,6.1333,0.9537,0.9949,0.6502,0.9014
115,3.946,2.312,2.319,pose,1.266,0.386,1.492,0.164,2.77,6.1187,0.9479,1.0131,0.6588,0.947
116,3.981,2.276,2.312,pose,1.266,0.386,1.492,0.164,2.7728,6.0993,0.9453,1.0002,0.667,0.9309
117,4.015,2.288,2.31,pose,1.266,0.386,1.492,0.164,2.7696,6.082,0.9366,0.9868,0.6705,0.9184
118,4.049,2.301,2.301,pose,1.266,0.386,1.492,0.164,2.7683,6.0738,0.9343,0.9777,0.6342,0.9095
119,4.084,2.314,2.301,pose,1.266,0.386,1.492,0.164,2.7694,6.0542,0.9455,0.9934,0.6053,0.8911
120,4.118,2.321,2.301,pose,1.266,0.386,1.525,0.164,2.7618,6.0443,0.9487,1.0118,0.6055,0.8667
121,4.152,2.342,2.314,pose,1.266,0.386,1.525,0.164,2.7574,6.0431,0.954,0.9869,0.6078,0.8591
122,4.187,2.356,2.321,pose,1.266,0.386,1.525,0.164,2.7589,6.0608,0.9456,0.9854,0.6157,0.8481
123,4.221,2.352,2.342,pose,1.266,0.386,1.525,0.164,2.7505,6.0729,0.9337,1.0011,0.6419,0.8958
124,4.255,2.331,2.342,pose,1.266,0.386,1.525,0.164,2.7567,6.0969,0.9409,1.0103,0.6675,0.9157
125,4.29,2.384,2.352,pose,1.266,0.386,1.525,0.164,2.7673,6.0951,0.9193,1.0004,0.6753,0.9296
126,4.324,2.417,2.356,pose,1.266,0.386,1.525,0.164,2.7704,6.1139,0.9012,0.9901,0.6939,0.9352
127,4.358,2.464,2.384,pose,1.266,0.386,1.525,0.164,2.7623,6.1391,0.8992,1.0011,0.6857,0.947
128,4.393,2.471,2.417,pose,1.266,0.386,1.525,0.204,2.7587,6.1742,0.9204,1.0121,0.6676,0.93
129,4.427,2.505,2.464,pose,1.266,0.386,1.525,0.204,2.7592,6.1655,0.9076,1.0288,0.6419,0.9087
130,4.461,2.518,2.471,pose,1.266,0.386,1.525,0.256,2.7868,6.1826,0.9321,0.9811,0.621,0.877
131,4.496,2.473,2.473,pose,1.266,0.386,1.525,0.256,2.7909,6.2236,0.9483,1.0359,0.6197,0.8484
132,4.53,2.491,2.491,pose,1.266,0.386,1.525,0.256,2.7977,6.2464,0.9296,1.045,0.62,0.8594
133,4.564,2.456,2.491,pose,1.296,0.386,1.525,0.314,2.7885,6.2513,0.9137,1.0492,0.625,0.8717
134,4.598,2.44,2.473,pose,1.296,0.386,1.525,0.314,2.8392,6.2834,0.8738,1.0359,0.6542,0.8879
135,4.633,2.426,2.456,pose,1.296,0.386,1.525,0.314,2.8808,6.307,0.8147,1.0355,0.6476,0.9127
136,4.667,2.382,2.44,pose,1.347,0.386,1.525,0.374,2.9175,6.3062,0.7659,1.0699,0.6752,0.9332
137,4.701,2.377,2.426,pose,1.389,0.386,1.525,0.374,2.9773,6.3084,0.6069,1.0524,0.6584,0.9327
138,4.736,2.363,2.382,pose,1.425,0.386,1.525,0.374,3.0286,6.3049,0.5904,1.0172,0.6935,0.9136
139,4.77,2.345,2.377,pose,1.485,0.386,1.525,0.374,3.0223,6.3018,0.6389,1.0103,0.6863,0.9147
140,4.804,2.312,2.363,pose,1.53,0.386,1.525,0.374,3.0351,6.2861,0.7264,1.0183,0.6804,0.8861
141,4.839,2.249,2.345,pose,1.53,0.386,1.525,0.374,3.0785,6.2891,0.8302,1.0285,0.6498,0.843
142,4.873,2.156,2.312,pose,1.53,0.386,1.525,0.374,3.1406,6.286,0.9672,1.0467,0.6424,0.8186
143,4.907,2.123,2.249,pose,1.586,0.386,1.525,0.374,3.1824,6.3236,1.012,1.0684,0.6187,0.7935
144,4.942,2.075,2.156,pose,1.649,0.386,1.525,0.374,3.2205,6.3135,1.058,1.0933,0.6184,0.7437
145,4.976,2.279,2.156,pose,1.69,0.386,1.525,0.374,3.2347,6.2806,0.36,1.1599,0.5688,0.7089
146,5.01,1.902,2.123,pose,1.728,0.386,1.525,0.374,3.2828,6.2646,1.0426,1.1954,0.5758,0.6758
147,5.045,2.696,2.123,bbox,1.728,0.386,1.525,0.374,3.3078,6.1369,,0.1863,,0.7009
148,5.079,2.68,2.279,bbox,1.791,0.386,1.525,0.374,3.3411,6.0727,,,,
149,5.113,1.519,2.279,pose,1.791,0.386,1.671,0.374,3.3469,5.9552,1.0248,1.5142,0.4896,0.6685
150,5.148,1.509,1.902,pose,1.791,0.386,1.735,0.374,3.3101,5.8572,1.0188,1.3684,0.5164,0.6609
151,5.182,2.421,2.421,bbox,1.791,0.386,1.853,0.374,3.2616,5.7752,,1.3327,,0.7112
152,5.216,2.398,2.398,bbox,1.791,0.386,1.951,0.374,3.2085,5.7172,,1.2995,,0.6594
153,5.251,2.337,2.337,bbox,1.791,0.386,2.033,0.374,3.1609,5.6065,,1.3255,,0.665
154,5.285,1.496,2.337,pose,1.791,0.46,2.091,0.374,3.1275,5.5111,1.0632,1.2316,0.6031,0.6757
155,5.319,1.855,2.337,pose,1.791,0.508,2.202,0.374,3.0562,5.3963,1.0366,1.2193,0.5969,-0.0037
156,5.353,1.656,1.855,pose,1.791,0.541,2.297,0.374,2.9796,5.33,1.0082,1.0556,0.6049,0.7319
157,5.388,2.314,1.855,bbox,1.791,0.612,2.412,0.374,2.8768,5.2511,,0.9393,,0.735
158,5.422,2.236,1.855,bbox,1.791,0.689,2.478,0.374,2.8397,5.1486,,0.8404,,0.754
159,5.456,1.844,1.855,pose,1.791,0.792,2.557,0.374,2.8536,5.1161,0.7675,0.7586,0.5721,0.7467
160,5.491,2.151,2.151,bbox,1.791,0.792,2.659,0.374,2.835,5.094,,0.7217,,0.7844
161,5.525,2.149,2.151,bbox,1.791,0.829,2.692,0.374,2.8198,5.0891,,0.7346,,0.7737
162,5.559,2.167,2.151,bbox,1.791,0.829,2.692,0.374,2.7892,5.0798,,0.8032,,0.7316
163,5.594,2.187,2.151,bbox,1.791,0.829,2.692,0.374,2.7599,5.0701,,0.8849,,0.7494
164,5.628,2.238,2.167,bbox,1.791,0.879,2.728,0.374,2.7285,5.0686,,0.9942,,0.7466
165,5.662,2.3,2.187,bbox,1.791,0.879,2.728,0.374,2.6934,5.0801,,1.1224,,0.7788
166,5.697,2.071,2.187,pose,1.791,0.94,2.728,0.374,2.5826,5.0918,0.3226,1.0806,0.5398,0.7445
167,5.731,2.592,2.238,bbox,1.791,0.975,2.728,0.374,2.4553,5.0913,,1.056,,0.7519
168,5.765,2.697,2.3,bbox,1.791,1.086,2.728,0.374,2.3546,5.082,,1.0906,,0.6816
169,5.8,2.007,2.3,pose,1.791,1.213,2.728,0.374,2.272,5.0658,0.8775,1.1439,0.5176,0.697
170,5.834,2.088,2.088,pose,1.791,1.314,2.728,0.374,2.2224,5.0513,0.9477,1.0984,0.5003,0.7232
171,5.868,2.871,2.592,bbox,1.791,1.396,2.728,0.374,2.1972,5.0266,,1.1193,,0.7255
172,5.903,2.915,2.697,bbox,1.791,1.446,2.728,0.374,2.1483,5.0099,,1.0842,,0.7426
173,5.937,2.856,2.856,bbox,1.791,1.446,2.782,0.374,2.0993,4.9475,,1.0214,,0.7453
174,5.971,2.818,2.856,bbox,1.791,1.52,2.782,0.374,2.0404,4.9034,,0.9401,,0.8036
175,6.005,2.788,2.856,bbox,1.791,1.569,2.861,0.374,2.0217,4.8735,,0.9092,,0.8104
176,6.04,2.133,2.818,pose,1.791,1.628,2.905,0.374,1.991,4.835,0.9549,0.8646,0.6183,0.8434
177,6.074,2.114,2.788,pose,1.791,1.628,2.905,0.374,1.978,4.8125,0.8989,0.8378,0.6733,0.8698
178,6.108,2.172,2.172,pose,1.791,1.677,2.973,0.374,1.9765,4.7664,0.7793,0.8451,0.6863,0.8987
179,6.143,2.227,2.172,pose,1.791,1.677,2.973,0.374,1.9653,4.7647,0.6812,0.8555,0.7357,0.8918
180,6.177,2.256,2.172,pose,1.791,1.677,3.042,0.374,1.9564,4.7445,0.6502,0.8638,0.7207,0.8718
181,6.211,2.281,2.227,pose,1.791,1.677,3.042,0.374,1.9367,4.7323,0.6804,0.8593,0.707,0.8456
182,6.246,2.304,2.256,pose,1.791,1.712,3.042,0.374,1.9142,4.7449,0.7103,0.8669,0.6956,0.8001
183,6.28,2.302,2.281,pose,1.791,1.712,3.042,0.374,1.7478,4.7533,0.7469,0.8731,0.6814,0.8069
184,6.314,2.806,2.302,bbox,1.791,1.754,3.042,0.374,1.8364,4.7692,,0.8507,,0.8191
185,6.349,2.904,2.304,bbox,1.791,1.832,3.042,0.374,1.7569,4.7832,,0.843,,0.836
186,6.383,2.341,2.341,pose,1.791,1.884,3.042,0.374,1.784,4.8111,0.8067,0.859,0.5975,0.8375
187,6.417,2.322,2.341,pose,1.791,1.884,3.042,0.374,1.8286,4.8775,0.7873,0.8648,0.6039,0.8513
188,6.452,2.282,2.341,pose,1.835,1.884,3.042,0.419,1.8545,4.9008,0.7959,0.8647,0.6016,0.8809
189,6.486,2.295,2.322,pose,1.835,1.884,3.042,0.485,1.8535,4.9151,0.8017,0.8565,0.612,0.8924
190,6.52,2.872,2.322,bbox,1.835,1.884,3.042,0.485,1.8148,4.9012,,0.8292,,0.894
191,6.555,2.305,2.305,pose,1.835,1.884,3.042,0.485,1.8028,4.8758,0.7684,0.8487,0.6656,0.8766
192,6.589,2.317,2.305,pose,1.835,1.884,3.042,0.485,1.809,4.8668,0.7595,0.8521,0.6875,0.8538
193,6.623,2.335,2.317,pose,1.835,1.884,3.042,0.485,1.8249,4.8548,0.7532,0.8604,0.6885,0.8355
194,6.658,2.351,2.335,pose,1.835,1.884,3.042,0.485,1.8423,4.8612,0.7234,0.8709,0.695,0.8244
