frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,4.235,4.235,pose,0.0,0.0,0.0,0.0
1,0.034,4.758,4.496,bbox,0.058,0.0,0.104,0.0
2,0.069,4.751,4.751,bbox,0.113,0.0,0.208,0.0
3,0.103,4.194,4.493,pose,0.113,0.048,0.208,0.082
4,0.137,4.775,4.751,bbox,0.161,0.048,0.29,0.082
5,0.172,4.71,4.751,bbox,0.161,0.048,0.29,0.082
6,0.206,4.102,4.71,pose,0.161,0.048,0.29,0.082
7,0.24,4.703,4.703,bbox,0.161,0.048,0.29,0.082
8,0.275,4.709,4.709,bbox,0.161,0.048,0.349,0.082
9,0.309,4.202,4.703,pose,0.161,0.048,0.349,0.082
10,0.343,4.667,4.667,bbox,0.161,0.048,0.349,0.082
11,0.377,4.602,4.667,bbox,0.161,0.048,0.349,0.082
12,0.412,3.988,4.602,pose,0.161,0.048,0.425,0.082
13,0.446,4.562,4.562,bbox,0.161,0.048,0.472,0.082
14,0.48,4.613,4.602,bbox,0.161,0.048,0.472,0.082
15,0.515,3.977,4.562,pose,0.161,0.048,0.472,0.082
16,0.549,4.678,4.562,bbox,0.161,0.088,0.472,0.082
17,0.583,4.686,4.613,bbox,0.161,0.088,0.472,0.082
18,0.618,4.067,4.613,pose,0.161,0.088,0.472,0.082
19,0.652,4.716,4.678,bbox,0.161,0.121,0.515,0.082
20,0.686,4.626,4.678,bbox,0.161,0.121,0.582,0.082
21,0.721,4.085,4.626,pose,0.161,0.121,0.582,0.082
22,0.755,4.643,4.626,bbox,0.161,0.121,0.582,0.082
23,0.789,4.584,4.626,bbox,0.161,0.121,0.632,0.082
24,0.824,4.097,4.584,pose,0.161,0.121,0.632,0.082
25,0.858,4.578,4.578,bbox,0.161,0.121,0.685,0.082
26,0.892,4.553,4.578,bbox,0.161,0.121,0.685,0.082
27,0.927,4.026,4.553,pose,0.161,0.121,0.685,0.082
28,0.961,4.562,4.553,bbox,0.161,0.121,0.685,0.082
29,0.995,4.596,4.562,bbox,0.161,0.121,0.685,0.082
30,1.03,4.002,4.553,pose,0.161,0.121,0.685,0.082
31,1.064,4.549,4.549,bbox,0.161,0.121,0.685,0.082
32,1.098,4.536,4.549,bbox,0.161,0.121,0.685,0.082
33,1.132,3.986,4.536,pose,0.161,0.121,0.685,0.082
34,1.167,4.599,4.536,bbox,0.161,0.121,0.685,0.12
35,1.201,4.546,4.546,bbox,0.161,0.121,0.685,0.12
36,1.235,3.95,4.536,pose,0.161,0.121,0.685,0.12
37,1.27,4.556,4.546,bbox,0.161,0.121,0.685,0.12
38,1.304,4.558,4.556,bbox,0.161,0.121,0.685,0.12
39,1.338,3.943,4.546,pose,0.161,0.121,0.685,0.12
40,1.373,4.488,4.488,bbox,0.161,0.121,0.685,0.12
41,1.407,4.454,4.488,bbox,0.161,0.121,0.685,0.12
42,1.441,3.896,4.454,pose,0.161,0.121,0.685,0.12
43,1.476,4.445,4.445,bbox,0.161,0.121,0.717,0.12
44,1.51,4.417,4.445,bbox,0.161,0.121,0.717,0.12
45,1.544,3.911,4.417,pose,0.161,0.121,0.717,0.12
46,1.579,4.396,4.396,bbox,0.161,0.121,0.717,0.12
47,1.613,4.387,4.396,bbox,0.161,0.121,0.717,0.12
48,1.647,3.89,4.387,pose,0.161,0.121,0.717,0.12
49,1.682,4.336,4.336,bbox,0.161,0.121,0.76,0.12
50,1.716,4.332,4.336,bbox,0.161,0.121,0.76,0.12
51,1.75,3.908,4.332,pose,0.161,0.121,0.76,0.12
52,1.784,4.358,4.332,bbox,0.161,0.121,0.76,0.12
53,1.819,4.38,4.336,bbox,0.161,0.121,0.76,0.12
54,1.853,3.912,4.332,pose,0.161,0.121,0.76,0.12
55,1.887,4.439,4.358,bbox,0.161,0.121,0.76,0.158
56,1.922,4.446,4.38,bbox,0.161,0.121,0.76,0.158
57,1.956,3.944,4.38,pose,0.161,0.121,0.76,0.158
58,1.99,4.528,4.439,bbox,0.161,0.121,0.76,0.204
59,2.025,4.566,4.446,bbox,0.161,0.121,0.76,0.204
