frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,4.184,4.184,pose,0.0,0.0,0.0,0.0
1,0.034,4.708,4.446,bbox,0.061,0.0,0.109,0.0
2,0.069,4.694,4.694,bbox,0.12,0.0,0.219,0.0
3,0.103,4.669,4.681,bbox,0.12,0.0,0.219,0.0
4,0.137,4.71,4.694,bbox,0.12,0.0,0.219,0.0
5,0.172,4.775,4.708,bbox,0.12,0.0,0.219,0.0
6,0.206,4.727,4.71,bbox,0.12,0.0,0.219,0.0
7,0.24,4.742,4.727,bbox,0.12,0.0,0.219,0.0
8,0.275,4.765,4.742,bbox,0.12,0.0,0.219,0.0
9,0.309,4.706,4.742,bbox,0.12,0.0,0.219,0.0
10,0.343,4.625,4.727,bbox,0.12,0.0,0.219,0.0
11,0.377,4.575,4.706,bbox,0.12,0.0,0.255,0.0
12,0.412,4.602,4.625,bbox,0.12,0.0,0.327,0.0
13,0.446,4.563,4.602,bbox,0.12,0.0,0.327,0.0
14,0.48,4.582,4.582,bbox,0.12,0.0,0.327,0.0
15,0.515,4.568,4.575,bbox,0.12,0.0,0.327,0.0
16,0.549,4.637,4.582,bbox,0.12,0.0,0.327,0.0
17,0.583,4.62,4.582,bbox,0.12,0.0,0.374,0.0
18,0.618,4.7,4.62,bbox,0.12,0.0,0.416,0.0
19,0.652,4.623,4.623,bbox,0.12,0.0,0.467,0.0
20,0.686,4.659,4.637,bbox,0.12,0.0,0.553,0.0
21,0.721,4.63,4.63,bbox,0.12,0.0,0.553,0.0
22,0.755,4.64,4.64,bbox,0.12,0.0,0.553,0.0
23,0.789,4.551,4.63,bbox,0.12,0.0,0.553,0.0
24,0.824,4.531,4.63,bbox,0.12,0.0,0.553,0.0
25,0.858,4.522,4.551,bbox,0.12,0.0,0.595,0.0
26,0.892,4.533,4.533,bbox,0.12,0.0,0.595,0.0
27,0.927,4.561,4.533,bbox,0.12,0.0,0.595,0.0
28,0.961,4.588,4.533,bbox,0.12,0.0,0.595,0.0
29,0.995,4.564,4.561,bbox,0.12,0.0,0.595,0.0
30,1.03,4.57,4.564,bbox,0.12,0.0,0.595,0.0
31,1.064,4.596,4.57,bbox,0.12,0.0,0.595,0.066
32,1.098,4.627,4.588,bbox,0.12,0.0,0.595,0.066
33,1.132,3.984,4.57,pose,0.12,0.0,0.595,0.066
34,1.167,4.653,4.596,bbox,0.12,0.0,0.595,0.066
35,1.201,4.628,4.627,bbox,0.12,0.0,0.595,0.066
36,1.235,3.941,4.627,pose,0.12,0.0,0.595,0.066
37,1.27,4.561,4.561,bbox,0.12,0.0,0.595,0.066
38,1.304,4.529,4.561,bbox,0.12,0.0,0.595,0.066
39,1.338,3.906,4.529,pose,0.12,0.0,0.595,0.066
40,1.373,4.521,4.521,bbox,0.12,0.0,0.595,0.066
41,1.407,4.511,4.521,bbox,0.12,0.0,0.595,0.066
42,1.441,4.503,4.511,bbox,0.12,0.0,0.595,0.066
43,1.476,4.535,4.511,bbox,0.12,0.0,0.595,0.066
44,1.51,4.532,4.521,bbox,0.12,0.0,0.595,0.066
45,1.544,3.906,4.511,pose,0.12,0.0,0.595,0.066
46,1.579,4.366,4.503,bbox,0.12,0.0,0.595,0.066
47,1.613,4.353,4.366,bbox,0.12,0.0,0.627,0.066
48,1.647,3.874,4.353,pose,0.12,0.0,0.672,0.066
49,1.682,4.33,4.33,bbox,0.12,0.0,0.759,0.066
50,1.716,4.319,4.33,bbox,0.12,0.0,0.759,0.066
51,1.75,4.306,4.319,bbox,0.12,0.0,0.759,0.066
52,1.784,4.345,4.319,bbox,0.12,0.0,0.759,0.066
53,1.819,4.339,4.33,bbox,0.12,0.0,0.759,0.066
54,1.853,3.908,4.319,pose,0.12,0.0,0.759,0.066
55,1.887,4.441,4.339,bbox,0.12,0.0,0.759,0.12
56,1.922,4.429,4.345,bbox,0.12,0.0,0.759,0.12
57,1.956,4.493,4.429,bbox,0.12,0.0,0.759,0.12
58,1.99,4.57,4.441,bbox,0.12,0.0,0.759,0.19
59,2.025,4.574,4.493,bbox,0.12,0.0,0.759,0.228
60,2.059,4.568,4.568,bbox,0.12,0.0,0.759,0.228
61,2.093,4.565,4.568,bbox,0.12,0.0,0.759,0.228
62,2.128,4.477,4.568,bbox,0.12,0.0,0.759,0.228
63,2.162,4.436,4.565,bbox,0.12,0.0,0.759,0.228
64,2.196,4.326,4.477,bbox,0.154,0.0,0.759,0.228
65,2.231,4.277,4.436,bbox,0.189,0.0,0.759,0.228
66,2.265,4.256,4.326,bbox,0.229,0.0,0.759,0.228
67,2.299,4.204,4.277,bbox,0.272,0.0,0.759,0.228
68,2.334,4.09,4.256,bbox,0.334,0.0,0.814,0.228
69,2.368,4.097,4.204,bbox,0.398,0.0,0.814,0.284
70,2.402,4.041,4.097,bbox,0.443,0.0,0.814,0.284
71,2.437,4.034,4.09,bbox,0.443,0.0,0.847,0.284
72,2.471,3.99,4.041,bbox,0.483,0.0,0.847,0.284
73,2.505,3.904,4.034,bbox,0.483,0.0,0.847,0.284
74,2.539,3.889,3.99,bbox,0.483,0.0,0.847,0.284
75,2.574,3.845,3.904,bbox,0.483,0.0,0.847,0.284
76,2.608,3.898,3.898,bbox,0.483,0.0,0.847,0.284
77,2.642,3.92,3.898,bbox,0.483,0.0,0.847,0.284
78,2.677,3.901,3.898,bbox,0.483,0.0,0.847,0.284
79,2.711,,,,0.483,0.0,0.847,0.284
