frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,4.244,4.244,pose,0.0,0.0,0.0,0.0
1,0.034,4.748,4.496,bbox,0.057,0.0,0.099,0.0
2,0.069,4.777,4.748,bbox,0.11,0.0,0.198,0.0
3,0.103,4.726,4.737,bbox,0.11,0.041,0.198,0.0
4,0.137,4.751,4.748,bbox,0.151,0.041,0.198,0.0
5,0.172,4.702,4.748,bbox,0.151,0.041,0.247,0.0
6,0.206,4.207,4.726,pose,0.151,0.041,0.247,0.0
7,0.24,4.72,4.72,bbox,0.151,0.041,0.247,0.0
8,0.275,4.737,4.72,bbox,0.151,0.041,0.247,0.0
9,0.309,4.476,4.702,pose,0.151,0.041,0.247,0.0
10,0.343,4.694,4.694,bbox,0.151,0.041,0.247,0.0
11,0.377,4.578,4.694,bbox,0.151,0.041,0.323,0.0
12,0.412,3.96,4.578,pose,0.151,0.041,0.383,0.0
13,0.446,4.566,4.566,bbox,0.151,0.041,0.383,0.0
14,0.48,4.63,4.578,bbox,0.151,0.041,0.383,0.0
15,0.515,3.98,4.566,pose,0.151,0.041,0.416,0.0
16,0.549,4.67,4.566,bbox,0.151,0.081,0.416,0.0
17,0.583,4.697,4.63,bbox,0.151,0.081,0.416,0.0
18,0.618,4.041,4.63,pose,0.151,0.081,0.416,0.0
19,0.652,4.671,4.67,bbox,0.151,0.117,0.468,0.0
20,0.686,4.598,4.67,bbox,0.151,0.117,0.539,0.0
21,0.721,4.097,4.598,pose,0.151,0.117,0.539,0.0
22,0.755,4.635,4.598,bbox,0.151,0.117,0.539,0.0
23,0.789,4.569,4.598,bbox,0.151,0.117,0.59,0.0
24,0.824,4.071,4.569,pose,0.151,0.117,0.59,0.0
25,0.858,4.541,4.541,bbox,0.151,0.117,0.59,0.0
26,0.892,4.532,4.541,bbox,0.151,0.117,0.59,0.0
27,0.927,4.028,4.532,pose,0.151,0.117,0.59,0.0
28,0.961,4.57,4.532,bbox,0.151,0.117,0.59,0.0
29,0.995,4.601,4.541,bbox,0.151,0.117,0.59,0.0
30,1.03,4.007,4.532,pose,0.151,0.117,0.59,0.0
31,1.064,4.543,4.543,bbox,0.151,0.117,0.59,0.0
32,1.098,4.586,4.57,bbox,0.151,0.117,0.59,0.0
33,1.132,3.993,4.543,pose,0.151,0.117,0.59,0.063
34,1.167,4.624,4.543,bbox,0.151,0.117,0.59,0.063
35,1.201,4.579,4.579,bbox,0.151,0.117,0.59,0.063
36,1.235,3.958,4.579,pose,0.151,0.117,0.59,0.063
37,1.27,4.564,4.564,bbox,0.151,0.117,0.59,0.063
38,1.304,4.522,4.564,bbox,0.151,0.117,0.59,0.063
39,1.338,3.932,4.522,pose,0.151,0.117,0.59,0.063
40,1.373,4.505,4.505,bbox,0.151,0.117,0.59,0.063
41,1.407,4.454,4.505,bbox,0.151,0.117,0.622,0.063
42,1.441,3.881,4.454,pose,0.151,0.117,0.622,0.063
43,1.476,4.463,4.454,bbox,0.151,0.117,0.622,0.063
44,1.51,4.424,4.454,bbox,0.151,0.117,0.622,0.063
45,1.544,3.9,4.424,pose,0.151,0.117,0.622,0.063
46,1.579,4.395,4.395,bbox,0.151,0.117,0.622,0.063
47,1.613,4.378,4.395,bbox,0.151,0.117,0.622,0.063
48,1.647,3.91,4.378,pose,0.151,0.117,0.622,0.063
49,1.682,4.336,4.336,bbox,0.151,0.117,0.667,0.063
50,1.716,4.358,4.358,bbox,0.151,0.117,0.667,0.063
51,1.75,3.925,4.336,pose,0.151,0.117,0.667,0.063
52,1.784,4.374,4.336,bbox,0.151,0.117,0.667,0.063
53,1.819,4.387,4.358,bbox,0.151,0.117,0.667,0.063
54,1.853,3.909,4.358,pose,0.151,0.117,0.667,0.063
55,1.887,4.44,4.374,bbox,0.151,0.117,0.667,0.096
56,1.922,4.463,4.387,bbox,0.151,0.117,0.667,0.096
57,1.956,3.949,4.387,pose,0.151,0.117,0.667,0.096
58,1.99,4.52,4.44,bbox,0.151,0.117,0.667,0.131
59,2.025,4.534,4.463,bbox,0.151,0.117,0.667,0.131
60,2.059,3.93,4.463,pose,0.151,0.117,0.667,0.131
61,2.093,4.492,4.492,bbox,0.151,0.117,0.667,0.131
62,2.128,4.414,4.492,bbox,0.151,0.117,0.667,0.131
63,2.162,3.9,4.414,pose,0.151,0.117,0.667,0.131
64,2.196,4.321,4.321,bbox,0.151,0.117,0.667,0.131
65,2.231,4.271,4.321,bbox,0.151,0.117,0.667,0.131
66,2.265,3.887,4.271,pose,0.198,0.117,0.667,0.131
67,2.299,4.109,4.109,bbox,0.198,0.117,0.667,0.131
68,2.334,4.057,4.109,bbox,0.243,0.117,0.667,0.131
69,2.368,3.852,4.057,pose,0.243,0.117,0.667,0.131
70,2.402,3.975,3.975,bbox,0.336,0.117,0.667,0.131
71,2.437,3.934,3.975,bbox,0.388,0.117,0.667,0.131
72,2.471,3.65,3.934,pose,0.388,0.117,0.667,0.131
73,2.505,3.898,3.898,bbox,0.448,0.117,0.667,0.163
74,2.539,3.909,3.909,bbox,0.48,0.117,0.667,0.163
75,2.574,3.474,3.898,pose,0.48,0.117,0.667,0.198
76,2.608,3.891,3.891,bbox,0.517,0.117,0.667,0.198
77,2.642,3.929,3.898,bbox,0.517,0.117,0.667,0.198
78,2.677,3.449,3.891,pose,0.517,0.117,0.667,0.198
79,2.711,3.898,3.891,bbox,0.517,0.117,0.667,0.198
80,2.745,3.83,3.891,bbox,0.517,0.117,0.667,0.198
81,2.78,3.356,3.83,pose,0.517,0.117,0.667,0.198
82,2.814,3.697,3.697,bbox,0.557,0.117,0.667,0.198
83,2.848,3.638,3.697,bbox,0.602,0.117,0.667,0.198
84,2.883,2.993,3.638,pose,0.649,0.117,0.667,0.198
85,2.917,3.728,3.638,bbox,0.706,0.117,0.74,0.198
86,2.951,3.697,3.697,bbox,0.758,0.117,0.74,0.198
87,2.986,3.236,3.638,pose,0.758,0.117,0.74,0.198
88,3.02,3.58,3.58,bbox,0.758,0.117,0.74,0.198
89,3.054,3.536,3.58,bbox,0.758,0.117,0.74,0.198
90,3.089,3.018,3.536,pose,0.845,0.117,0.74,0.198
91,3.123,3.265,3.265,bbox,0.845,0.117,0.74,0.198
92,3.157,3.189,3.265,bbox,0.845,0.117,0.793,0.198
93,3.191,3.076,3.189,bbox,0.845,0.117,0.793,0.198
94,3.226,3.032,3.076,bbox,0.887,0.117,0.833,0.198
95,3.26,3.002,3.076,bbox,0.929,0.117,0.872,0.198
96,3.294,2.295,3.032,pose,0.929,0.117,0.932,0.198
97,3.329,2.941,3.002,bbox,0.929,0.117,0.98,0.198
98,3.363,2.927,2.941,bbox,0.929,0.117,1.031,0.198
99,3.397,2.338,2.927,pose,0.929,0.117,1.031,0.198
100,3.432,2.91,2.91,bbox,0.963,0.117,1.065,0.198
101,3.466,2.948,2.927,bbox,0.963,0.117,1.065,0.198
102,3.5,2.318,2.91,pose,0.963,0.117,1.065,0.233
103,3.535,2.948,2.91,bbox,0.963,0.117,1.065,0.233
104,3.569,2.966,2.948,bbox,0.963,0.117,1.065,0.233
105,3.603,2.322,2.948,pose,0.963,0.117,1.065,0.233
106,3.638,3.107,2.948,bbox,0.963,0.117,1.065,0.284
107,3.672,3.116,2.966,bbox,0.963,0.117,1.065,0.284
108,3.706,2.394,2.966,pose,0.963,0.117,1.065,0.284
109,3.741,3.129,3.107,bbox,0.963,0.117,1.065,0.284
110,3.775,3.127,3.116,bbox,0.963,0.117,1.065,0.284
111,3.809,2.378,3.116,pose,0.963,0.117,1.065,0.284
112,3.844,3.081,3.081,bbox,0.963,0.117,1.065,0.284
113,3.878,3.088,3.088,bbox,0.963,0.117,1.065,0.284
114,3.912,2.317,3.081,pose,0.963,0.117,1.065,0.284
115,3.946,3.003,3.003,bbox,0.963,0.117,1.065,0.284
116,3.981,2.979,3.003,bbox,0.963,0.117,1.065,0.284
117,4.015,2.291,2.979,pose,0.963,0.117,1.065,0.284
118,4.049,2.992,2.979,bbox,0.963,0.117,1.065,0.284
119,4.084,3.004,2.992,bbox,0.963,0.117,1.065,0.284
120,4.118,2.338,2.979,pose,0.963,0.117,1.065,0.284
121,4.152,3.025,2.992,bbox,0.963,0.117,1.065,0.284
122,4.187,3.022,3.004,bbox,0.963,0.117,1.065,0.284
123,4.221,2.345,3.004,pose,0.963,0.117,1.065,0.284
124,4.255,3.021,3.021,bbox,0.963,0.117,1.065,0.284
125,4.29,3.035,3.022,bbox,0.963,0.117,1.065,0.284
126,4.324,2.402,3.021,pose,0.963,0.117,1.065,0.284
127,4.358,3.112,3.021,bbox,0.963,0.117,1.065,0.336
128,4.393,3.119,3.035,bbox,0.963,0.117,1.065,0.336
129,4.427,2.485,3.035,pose,0.963,0.117,1.065,0.336
130,4.461,3.146,3.112,bbox,0.963,0.117,1.065,0.336
131,4.496,3.147,3.119,bbox,0.963,0.117,1.065,0.336
132,4.53,2.477,3.119,pose,0.963,0.117,1.065,0.336
133,4.564,3.15,3.146,bbox,0.963,0.117,1.065,0.336
134,4.598,3.117,3.146,bbox,0.963,0.117,1.065,0.336
135,4.633,2.411,3.117,pose,0.963,0.117,1.065,0.336
136,4.667,3.062,3.062,bbox,0.963,0.117,1.065,0.336
137,4.701,2.97,3.062,bbox,0.963,0.117,1.065,0.336
138,4.736,2.371,2.97,pose,1.028,0.117,1.065,0.336
139,4.77,2.878,2.878,bbox,1.028,0.117,1.065,0.336
140,4.804,2.876,2.878,bbox,1.065,0.117,1.065,0.336
141,4.839,2.265,2.876,pose,1.117,0.117,1.065,0.336
142,4.873,2.882,2.876,bbox,1.117,0.117,1.065,0.336
143,4.907,2.969,2.878,bbox,1.117,0.117,1.065,0.336
144,4.942,2.47,2.876,pose,1.189,0.117,1.065,0.378
145,4.976,2.931,2.882,bbox,1.226,0.117,1.065,0.378
146,5.01,2.854,2.882,bbox,1.277,0.117,1.065,0.378
147,5.045,2.798,2.854,bbox,1.352,0.117,1.065,0.378
148,5.079,2.687,2.798,bbox,1.407,0.117,1.065,0.378
149,5.113,2.601,2.798,bbox,1.407,0.117,1.099,0.378
150,5.148,2.515,2.687,bbox,1.469,0.117,1.208,0.378
151,5.182,2.381,2.601,bbox,1.469,0.117,1.32,0.378
152,5.216,2.361,2.515,bbox,1.469,0.117,1.387,0.378
153,5.251,2.338,2.381,bbox,1.469,0.117,1.504,0.378
154,5.285,2.306,2.361,bbox,1.469,0.164,1.554,0.378
155,5.319,2.259,2.338,bbox,1.469,0.164,1.554,0.378
156,5.353,1.654,2.306,pose,1.469,0.164,1.662,0.378
157,5.388,2.271,2.271,bbox,1.469,0.218,1.662,0.378
158,5.422,2.195,2.259,bbox,1.469,0.353,1.781,0.378
159,5.456,1.831,2.195,pose,1.469,0.392,1.781,0.378
160,5.491,2.154,2.154,bbox,1.469,0.424,1.781,0.378
161,5.525,2.151,2.154,bbox,1.469,0.424,1.866,0.378
162,5.559,2.182,2.154,bbox,1.469,0.424,1.866,0.378
163,5.594,2.183,2.154,bbox,1.469,0.424,1.898,0.378
164,5.628,2.236,2.182,bbox,1.469,0.424,1.898,0.378
165,5.662,2.282,2.183,bbox,1.469,0.424,1.898,0.378
166,5.697,2.458,2.236,bbox,1.469,0.464,1.898,0.378
