time_s,confidence,min_distance_m,separation_m,audio_support,signals
19.7,1.0,0.72,3.23,0,approach+separated
36.1,0.484,1.49,1.45,0,approach+separated
43.79,0.402,2.0,1.2,0,approach+separated
48.01,0.374,2.0,1.12,0,approach+separated
64.0,0.652,1.36,1.96,0,approach+separated
89.77,0.979,1.5,2.94,0,approach+separated
99.38,0.427,2.45,1.28,0,approach+separated
102.44,0.314,2.98,0.94,0,approach+separated
107.1,0.305,2.26,0.92,0,approach+separated
112.97,0.692,1.35,2.08,0,approach+separated
131.09,0.298,0.83,0.89,0,approach+separated
140.63,1.0,0.38,3.8,0,approach+separated
155.32,0.785,1.26,2.36,0,approach+separated
172.2,1.0,1.09,3.32,0,approach+separated
