frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
93,3.191,3.088,3.209,bbox,0.819,0.114,0.728,0.291
94,3.226,3.032,3.088,bbox,0.819,0.114,0.728,0.291
95,3.26,3.002,3.032,bbox,0.867,0.114,0.782,0.291
96,3.294,2.284,3.032,pose,0.867,0.114,0.832,0.291
97,3.329,2.915,3.002,bbox,0.867,0.114,0.873,0.291
98,3.363,2.94,2.94,bbox,0.867,0.114,0.923,0.291
99,3.397,2.339,2.915,pose,0.867,0.114,0.923,0.291
100,3.432,2.9,2.9,bbox,0.91,0.114,0.983,0.291
101,3.466,2.909,2.909,bbox,0.91,0.114,0.983,0.291
102,3.5,2.303,2.9,pose,0.91,0.114,0.983,0.291
103,3.535,2.956,2.9,bbox,0.91,0.114,0.983,0.338
104,3.569,3.017,2.909,bbox,0.91,0.114,0.983,0.338
105,3.603,2.305,2.909,pose,0.91,0.114,0.983,0.38
106,3.638,3.109,2.956,bbox,0.91,0.114,0.983,0.38
107,3.672,3.167,3.017,bbox,0.91,0.114,0.983,0.38
108,3.706,2.395,3.017,pose,0.91,0.114,0.983,0.38
109,3.741,3.164,3.109,bbox,0.91,0.114,0.983,0.38
110,3.775,3.218,3.164,bbox,0.91,0.114,0.983,0.415
111,3.809,2.365,3.164,pose,0.91,0.114,0.983,0.415
112,3.844,3.086,3.086,bbox,0.91,0.114,0.983,0.415
113,3.878,3.054,3.086,bbox,0.91,0.114,0.983,0.415
114,3.912,2.317,3.054,pose,0.91,0.114,0.983,0.415
115,3.946,2.983,2.983,bbox,0.91,0.114,0.983,0.415
116,3.981,2.953,2.983,bbox,0.91,0.114,0.983,0.415
117,4.015,2.283,2.953,pose,0.91,0.114,0.983,0.415
118,4.049,2.961,2.953,bbox,0.91,0.114,0.983,0.415
119,4.084,2.974,2.961,bbox,0.91,0.114,0.983,0.415
120,4.118,2.332,2.953,pose,0.91,0.114,0.983,0.415
121,4.152,3.005,2.961,bbox,0.91,0.114,0.983,0.415
122,4.187,3.025,2.974,bbox,0.91,0.114,0.983,0.415
123,4.221,2.333,2.974,pose,0.91,0.114,0.983,0.415
124,4.255,2.995,2.995,bbox,0.91,0.114,0.983,0.415
125,4.29,3.034,3.005,bbox,0.91,0.114,0.983,0.415
126,4.324,2.387,2.995,pose,0.91,0.114,0.983,0.415
127,4.358,3.08,2.995,bbox,0.91,0.114,0.983,0.475
128,4.393,3.112,3.034,bbox,0.91,0.114,0.983,0.475
129,4.427,2.471,3.034,pose,0.91,0.114,0.983,0.475
130,4.461,3.141,3.08,bbox,0.91,0.114,0.983,0.475
131,4.496,3.153,3.112,bbox,0.91,0.114,0.983,0.475
132,4.53,2.475,3.112,pose,0.91,0.114,0.983,0.475
133,4.564,3.162,3.141,bbox,0.91,0.114,0.983,0.506
134,4.598,3.124,3.141,bbox,0.91,0.114,0.983,0.506
135,4.633,2.441,3.124,pose,0.91,0.114,0.983,0.506
136,4.667,3.081,3.081,bbox,0.91,0.114,0.983,0.549
137,4.701,2.997,3.081,bbox,0.91,0.114,0.983,0.549
138,4.736,2.371,2.997,pose,0.989,0.114,0.983,0.549
139,4.77,2.925,2.925,bbox,0.989,0.114,0.983,0.549
140,4.804,2.897,2.925,bbox,1.047,0.114,0.983,0.549
141,4.839,2.662,2.897,pose,1.047,0.114,0.983,0.549
142,4.873,2.897,2.897,bbox,1.089,0.114,0.983,0.549
143,4.907,2.936,2.897,bbox,1.089,0.114,0.983,0.549
144,4.942,2.682,2.897,pose,1.195,0.114,0.983,0.596
145,4.976,2.933,2.897,bbox,1.195,0.114,0.983,0.596
146,5.01,2.902,2.902,bbox,1.248,0.114,0.983,0.596
147,5.045,2.825,2.902,bbox,1.327,0.114,0.983,0.596
148,5.079,2.694,2.825,bbox,1.383,0.114,0.983,0.596
149,5.113,2.541,2.825,bbox,1.415,0.114,1.019,0.596
150,5.148,2.524,2.694,bbox,1.462,0.114,1.125,0.596
151,5.182,2.395,2.541,bbox,1.462,0.114,1.267,0.596
152,5.216,2.373,2.524,bbox,1.462,0.114,1.309,0.596
153,5.251,2.297,2.395,bbox,1.462,0.114,1.409,0.596
154,5.285,2.304,2.373,bbox,1.462,0.149,1.451,0.596
155,5.319,2.248,2.304,bbox,1.462,0.149,1.556,0.596
156,5.353,2.262,2.297,bbox,1.462,0.192,1.623,0.596
