time_s,confidence,min_distance_m,separation_m,audio_support,signals
19.66,1.0,0.72,3.24,0,approach+separated
35.93,0.478,1.59,1.44,0,approach+separated
43.75,0.399,2.03,1.2,0,approach+separated
47.94,0.42,1.81,1.26,0,approach+separated
64.0,0.657,1.35,1.97,0,approach+separated
89.77,0.981,1.51,2.94,0,approach+separated
99.38,0.421,2.46,1.26,0,approach+separated
102.4,0.315,2.97,0.95,0,approach+separated
107.1,0.315,2.13,0.95,0,approach+separated
112.97,0.695,1.36,2.08,0,approach+separated
131.02,0.303,0.62,0.91,0,approach+separated
140.63,1.0,0.36,3.64,0,approach+separated
155.32,0.791,1.26,2.37,0,approach+separated
172.17,1.0,1.09,3.31,0,approach+separated
