frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
109,3.633,4.718,4.631,bbox,0.737,0.189,1.175,0.2
110,3.667,4.801,4.633,bbox,0.737,0.189,1.175,0.2
111,3.7,,,,0.737,0.189,1.175,0.2
112,3.733,,,,0.737,0.189,1.175,0.2
113,3.767,,,,0.737,0.189,1.175,0.2
114,3.8,,,,0.737,0.189,1.175,0.2
115,3.833,,,,0.737,0.189,1.175,0.2
116,3.867,,,,0.737,0.189,1.175,0.2
117,3.9,,,,0.737,0.189,1.175,0.2
118,3.933,,,,0.737,0.189,1.175,0.2
119,3.967,,,,0.737,0.189,1.175,0.2
120,4.0,,,,0.737,0.189,1.175,0.2
121,4.033,,,,0.737,0.189,1.175,0.2
122,4.067,,,,0.737,0.189,1.175,0.2
123,4.1,,,,0.737,0.189,1.175,0.2
124,4.133,,,,0.737,0.189,1.175,0.2
125,4.167,,,,0.737,0.189,1.175,0.2
126,4.2,,,,0.737,0.189,1.175,0.2
127,4.233,,,,0.737,0.189,1.175,0.2
128,4.267,4.721,4.718,bbox,0.737,0.189,1.175,0.2
129,4.3,4.957,4.721,bbox,0.737,0.189,1.175,0.2
130,4.333,4.976,4.801,bbox,0.737,0.189,1.175,0.2
131,4.367,4.747,4.801,bbox,0.768,0.189,1.175,0.2
132,4.4,4.604,4.747,bbox,0.821,0.189,1.175,0.2
133,4.433,4.503,4.747,bbox,0.854,0.189,1.175,0.2
134,4.467,,,,0.854,0.189,1.175,0.2
135,4.5,4.458,4.604,bbox,0.854,0.189,1.175,0.2
136,4.533,4.444,4.503,bbox,0.913,0.189,1.213,0.2
137,4.567,4.395,4.458,bbox,0.957,0.189,1.271,0.2
138,4.6,4.347,4.444,bbox,0.957,0.189,1.271,0.2
139,4.633,4.351,4.395,bbox,1.018,0.189,1.271,0.2
140,4.667,,,,1.018,0.189,1.271,0.2
141,4.7,4.282,4.351,bbox,1.055,0.189,1.271,0.2
142,4.733,4.262,4.347,bbox,1.055,0.189,1.271,0.2
143,4.767,4.246,4.282,bbox,1.097,0.189,1.271,0.2
144,4.8,4.223,4.262,bbox,1.097,0.189,1.271,0.2
145,4.833,4.21,4.246,bbox,1.097,0.189,1.361,0.2
146,4.867,4.227,4.227,bbox,1.097,0.189,1.361,0.2
147,4.9,4.22,4.223,bbox,1.097,0.189,1.361,0.2
148,4.933,4.191,4.22,bbox,1.097,0.189,1.361,0.2
149,4.967,4.129,4.21,bbox,1.097,0.189,1.361,0.2
150,5.0,,,,1.097,0.189,1.361,0.2
151,5.033,,,,1.097,0.189,1.361,0.2
152,5.067,,,,1.097,0.189,1.361,0.2
153,5.1,4.238,4.22,bbox,1.097,0.189,1.361,0.2
154,5.133,4.28,4.22,bbox,1.097,0.189,1.423,0.2
155,5.167,4.218,4.218,bbox,1.097,0.236,1.423,0.2
156,5.2,4.022,4.218,pose,1.097,0.236,1.423,0.2
157,5.233,4.155,4.218,bbox,1.097,0.277,1.423,0.2
158,5.267,4.184,4.184,bbox,1.097,0.325,1.423,0.2
159,5.3,,,,1.097,0.325,1.423,0.2
160,5.333,,,,1.097,0.325,1.423,0.2
161,5.367,4.287,4.184,bbox,1.097,0.325,1.423,0.2
162,5.4,5.263,4.184,pose,1.097,0.392,1.423,0.2
163,5.433,4.356,4.287,bbox,1.097,0.392,1.423,0.2
164,5.467,4.375,4.356,bbox,1.097,0.392,1.423,0.2
165,5.5,,,,1.097,0.392,1.423,0.2
166,5.533,,,,1.097,0.392,1.423,0.2
167,5.567,4.437,4.375,bbox,1.097,0.426,1.423,0.2
168,5.6,4.448,4.437,bbox,1.097,0.426,1.423,0.2
169,5.633,4.456,4.437,bbox,1.097,0.426,1.423,0.2
170,5.667,4.439,4.439,bbox,1.097,0.426,1.423,0.236
171,5.7,4.457,4.448,bbox,1.097,0.426,1.423,0.236
172,5.733,4.404,4.448,bbox,1.097,0.426,1.423,0.236
173,5.767,4.367,4.439,bbox,1.097,0.426,1.423,0.236
174,5.8,4.405,4.405,bbox,1.097,0.426,1.423,0.236
175,5.833,4.383,4.404,bbox,1.097,0.426,1.423,0.236
176,5.867,4.338,4.383,bbox,1.149,0.426,1.423,0.236
177,5.9,4.296,4.367,bbox,1.149,0.426,1.423,0.236
178,5.933,4.262,4.338,bbox,1.201,0.426,1.423,0.236
179,5.967,4.227,4.296,bbox,1.201,0.426,1.423,0.236
180,6.0,4.196,4.262,bbox,1.236,0.426,1.423,0.236
181,6.033,4.178,4.227,bbox,1.236,0.426,1.423,0.236
182,6.067,4.128,4.196,bbox,1.282,0.426,1.423,0.236
183,6.1,4.104,4.178,bbox,1.282,0.426,1.423,0.236
184,6.133,4.097,4.128,bbox,1.33,0.426,1.423,0.236
185,6.167,4.088,4.104,bbox,1.33,0.426,1.423,0.236
186,6.2,4.076,4.097,bbox,1.373,0.426,1.423,0.236
187,6.233,4.066,4.088,bbox,1.373,0.426,1.423,0.236
188,6.267,4.056,4.076,bbox,1.407,0.426,1.423,0.236
189,6.3,4.015,4.066,pose,1.407,0.426,1.423,0.236
190,6.333,4.016,4.056,bbox,1.407,0.426,1.423,0.236
