frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
93,1.552,1.976,2.531,pose,0.451,0.373,0.707,0.175
94,1.568,2.545,2.531,bbox,0.451,0.373,0.767,0.175
95,1.585,2.55,2.535,bbox,0.451,0.373,0.767,0.175
96,1.602,1.953,2.531,pose,0.451,0.373,0.767,0.175
97,1.618,2.552,2.545,bbox,0.451,0.412,0.804,0.175
98,1.635,2.558,2.55,bbox,0.451,0.412,0.804,0.175
99,1.652,1.932,2.55,pose,0.451,0.412,0.804,0.175
100,1.668,2.568,2.552,bbox,0.451,0.412,0.842,0.175
101,1.685,2.563,2.558,bbox,0.451,0.412,0.842,0.175
102,1.702,1.876,2.558,pose,0.451,0.412,0.842,0.175
103,1.718,2.519,2.519,bbox,0.451,0.412,0.842,0.175
104,1.735,2.478,2.519,bbox,0.451,0.412,0.842,0.175
105,1.752,1.797,2.478,pose,0.451,0.412,0.842,0.175
106,1.768,2.444,2.444,bbox,0.451,0.412,0.842,0.175
107,1.785,2.431,2.444,bbox,0.5,0.412,0.842,0.175
108,1.802,1.729,2.431,pose,0.5,0.412,0.842,0.175
109,1.818,2.372,2.372,bbox,0.5,0.412,0.899,0.175
110,1.835,2.359,2.372,bbox,0.5,0.412,0.899,0.175
111,1.852,1.716,2.359,pose,0.5,0.412,0.899,0.175
112,1.869,2.319,2.319,bbox,0.536,0.412,0.938,0.175
113,1.885,2.3,2.319,bbox,0.536,0.412,0.938,0.175
114,1.902,1.719,2.3,pose,0.536,0.412,0.938,0.175
115,1.919,2.265,2.265,bbox,0.536,0.412,0.938,0.175
116,1.935,2.257,2.265,bbox,0.568,0.412,0.938,0.175
117,1.952,1.721,2.257,pose,0.568,0.412,0.975,0.175
118,1.969,2.269,2.257,bbox,0.568,0.412,0.975,0.175
119,1.985,2.272,2.265,bbox,0.568,0.412,0.975,0.175
120,2.002,1.728,2.257,pose,0.568,0.412,0.975,0.175
121,2.019,2.307,2.269,bbox,0.568,0.412,0.975,0.175
122,2.035,2.342,2.272,bbox,0.568,0.412,1.007,0.175
123,2.052,1.711,2.272,pose,0.568,0.453,1.007,0.175
124,2.069,2.314,2.307,bbox,0.568,0.453,1.007,0.175
125,2.085,2.292,2.307,bbox,0.568,0.453,1.007,0.175
126,2.102,1.72,2.292,pose,0.568,0.453,1.007,0.175
127,2.119,2.231,2.231,bbox,0.568,0.453,1.007,0.175
128,2.135,2.218,2.231,bbox,0.605,0.453,1.007,0.175
129,2.152,1.722,2.218,pose,0.605,0.453,1.007,0.175
130,2.169,2.235,2.218,bbox,0.647,0.453,1.007,0.175
