frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
93,3.191,2.392,3.157,pose,1.223,0.355,1.554,0.247
94,3.226,3.014,3.014,bbox,1.324,0.355,1.664,0.247
95,3.26,3.006,3.014,bbox,1.324,0.355,1.664,0.247
96,3.294,2.294,3.006,pose,1.324,0.355,1.733,0.247
97,3.329,2.918,2.918,bbox,1.396,0.355,1.809,0.247
98,3.363,2.927,2.927,bbox,1.396,0.355,1.864,0.247
99,3.397,2.341,2.918,pose,1.396,0.355,1.864,0.247
100,3.432,2.926,2.918,bbox,1.439,0.355,1.913,0.247
101,3.466,2.966,2.926,bbox,1.439,0.355,1.913,0.247
102,3.5,2.326,2.926,pose,1.439,0.355,1.913,0.247
103,3.535,2.956,2.926,bbox,1.439,0.407,1.913,0.247
104,3.569,2.963,2.956,bbox,1.439,0.407,1.913,0.247
105,3.603,2.313,2.956,pose,1.439,0.407,1.913,0.28
106,3.638,3.074,2.956,bbox,1.439,0.444,1.913,0.335
107,3.672,3.096,2.963,bbox,1.439,0.444,1.944,0.335
108,3.706,2.409,2.963,pose,1.439,0.444,1.944,0.385
109,3.741,3.118,3.074,bbox,1.439,0.444,1.944,0.385
110,3.775,3.12,3.096,bbox,1.439,0.444,1.994,0.385
111,3.809,2.374,3.096,pose,1.439,0.444,1.994,0.385
112,3.844,3.072,3.072,bbox,1.439,0.444,1.994,0.385
113,3.878,3.054,3.072,bbox,1.439,0.444,1.994,0.385
114,3.912,2.31,3.054,pose,1.439,0.444,1.994,0.385
115,3.946,3.002,3.002,bbox,1.439,0.444,1.994,0.385
116,3.981,2.973,3.002,bbox,1.439,0.444,1.994,0.385
117,4.015,2.288,2.973,pose,1.439,0.444,1.994,0.385
118,4.049,2.978,2.973,bbox,1.439,0.444,1.994,0.385
119,4.084,2.987,2.978,bbox,1.439,0.444,1.994,0.385
120,4.118,2.321,2.973,pose,1.439,0.444,1.994,0.385
121,4.152,3.009,2.978,bbox,1.439,0.444,2.033,0.385
122,4.187,3.014,2.987,bbox,1.439,0.444,2.033,0.385
123,4.221,2.352,2.987,pose,1.439,0.444,2.033,0.385
124,4.255,3.008,3.008,bbox,1.439,0.444,2.033,0.385
125,4.29,3.028,3.009,bbox,1.439,0.444,2.033,0.385
126,4.324,2.417,3.008,pose,1.439,0.444,2.033,0.385
127,4.358,3.101,3.008,bbox,1.439,0.444,2.033,0.45
128,4.393,3.123,3.028,bbox,1.439,0.444,2.033,0.45
129,4.427,2.505,3.028,pose,1.439,0.444,2.033,0.485
130,4.461,3.14,3.101,bbox,1.439,0.444,2.033,0.485
131,4.496,3.14,3.123,bbox,1.439,0.444,2.033,0.485
132,4.53,2.491,3.123,pose,1.439,0.444,2.033,0.535
133,4.564,3.152,3.14,bbox,1.481,0.444,2.033,0.535
134,4.598,3.114,3.14,bbox,1.481,0.444,2.033,0.535
135,4.633,2.426,3.114,pose,1.481,0.444,2.033,0.594
136,4.667,3.024,3.024,bbox,1.533,0.444,2.033,0.594
137,4.701,2.946,3.024,bbox,1.533,0.444,2.033,0.594
138,4.736,2.363,2.946,pose,1.61,0.444,2.033,0.594
139,4.77,2.876,2.876,bbox,1.61,0.444,2.033,0.594
140,4.804,2.875,2.876,bbox,1.671,0.444,2.033,0.594
141,4.839,2.249,2.875,pose,1.671,0.444,2.033,0.594
142,4.873,2.847,2.847,bbox,1.716,0.444,2.033,0.594
143,4.907,2.904,2.875,bbox,1.716,0.444,2.033,0.594
144,4.942,2.075,2.847,pose,1.759,0.444,2.033,0.635
145,4.976,2.891,2.847,bbox,1.835,0.444,2.033,0.635
146,5.01,2.841,2.847,bbox,1.876,0.444,2.071,0.635
147,5.045,2.696,2.841,bbox,1.929,0.444,2.071,0.635
148,5.079,2.68,2.696,bbox,1.977,0.444,2.071,0.635
149,5.113,2.555,2.696,bbox,1.977,0.444,2.185,0.635
150,5.148,1.509,2.68,pose,1.977,0.444,2.284,0.635
151,5.182,2.421,2.555,bbox,1.977,0.444,2.402,0.635
152,5.216,2.398,2.421,bbox,1.977,0.444,2.457,0.635
153,5.251,2.337,2.398,bbox,1.977,0.519,2.582,0.635
154,5.285,2.293,2.337,bbox,1.977,0.553,2.64,0.635
155,5.319,2.261,2.337,bbox,1.977,0.553,2.696,0.635
156,5.353,1.656,2.293,pose,1.977,0.6,2.815,0.635
157,5.388,2.314,2.293,bbox,1.977,0.671,2.846,0.635
158,5.422,2.236,2.261,bbox,1.977,0.807,2.961,0.635
159,5.456,1.844,2.236,pose,1.977,0.85,2.961,0.635
160,5.491,2.151,2.151,bbox,1.977,0.887,3.106,0.635
161,5.525,2.149,2.151,bbox,1.977,0.887,3.208,0.635
162,5.559,2.167,2.151,bbox,1.977,0.887,3.208,0.635
163,5.594,2.187,2.151,bbox,1.977,0.938,3.263,0.635
164,5.628,2.238,2.167,bbox,1.977,0.938,3.263,0.635
165,5.662,2.3,2.187,bbox,1.977,0.938,3.263,0.635
166,5.697,2.444,2.238,bbox,1.977,0.999,3.263,0.635
167,5.731,2.592,2.3,bbox,1.977,1.034,3.263,0.635
168,5.765,2.697,2.444,bbox,1.977,1.144,3.263,0.635
169,5.8,2.767,2.592,bbox,1.977,1.272,3.263,0.635
170,5.834,2.834,2.697,bbox,1.977,1.372,3.263,0.635
171,5.868,2.871,2.767,bbox,1.977,1.455,3.263,0.635
172,5.903,2.915,2.834,bbox,1.977,1.505,3.298,0.635
173,5.937,2.856,2.856,bbox,1.977,1.505,3.298,0.635
174,5.971,2.818,2.856,bbox,1.977,1.579,3.347,0.635
175,6.005,2.788,2.856,bbox,1.977,1.628,3.391,0.635
176,6.04,2.72,2.818,bbox,1.977,1.687,3.391,0.635
177,6.074,2.114,2.788,pose,1.977,1.687,3.423,0.635
178,6.108,2.609,2.72,bbox,1.977,1.736,3.483,0.635
179,6.143,2.604,2.609,bbox,1.977,1.736,3.522,0.635
180,6.177,2.256,2.604,pose,1.977,1.736,3.522,0.635
181,6.211,2.623,2.604,bbox,1.977,1.79,3.591,0.635
182,6.246,2.678,2.609,bbox,1.977,1.79,3.591,0.635
183,6.28,2.302,2.604,pose,1.977,1.79,3.591,0.635
184,6.314,2.806,2.623,bbox,1.977,1.891,3.591,0.635
185,6.349,2.904,2.678,bbox,1.977,1.891,3.591,0.635
186,6.383,2.341,2.678,pose,1.977,1.964,3.591,0.635
187,6.417,2.933,2.806,bbox,1.977,1.964,3.591,0.721
188,6.452,2.893,2.893,bbox,2.043,1.964,3.591,0.721
189,6.486,2.295,2.893,pose,2.043,1.964,3.591,0.721
190,6.52,2.872,2.872,bbox,2.043,1.964,3.591,0.769
191,6.555,2.865,2.872,bbox,2.043,1.964,3.591,0.769
192,6.589,2.317,2.865,pose,2.043,1.964,3.591,0.769
193,6.623,2.86,2.86,bbox,2.043,1.964,3.591,0.769
194,6.658,2.865,2.865,bbox,2.043,1.964,3.591,0.769
195,6.692,2.367,2.86,pose,2.043,1.964,3.591,0.769
196,6.726,2.87,2.86,bbox,2.043,1.964,3.622,0.769
197,6.76,2.88,2.865,bbox,2.043,1.964,3.622,0.769
198,6.795,2.362,2.865,pose,2.043,1.964,3.622,0.769
199,6.829,2.907,2.87,bbox,2.043,1.964,3.622,0.802
200,6.863,2.917,2.88,bbox,2.043,1.964,3.622,0.802
201,6.898,2.283,2.88,pose,2.043,1.964,3.622,0.802
202,6.932,2.905,2.905,bbox,2.043,1.964,3.622,0.899
203,6.966,2.888,2.905,bbox,2.043,1.964,3.622,0.899
204,7.001,2.257,2.888,pose,2.122,1.964,3.622,0.934
205,7.035,2.908,2.888,bbox,2.122,1.964,3.622,0.972
206,7.069,2.872,2.888,bbox,2.167,1.964,3.622,0.972
207,7.104,2.871,2.872,bbox,2.283,1.964,3.622,0.972
208,7.138,2.914,2.872,bbox,2.365,1.964,3.622,1.043
209,7.172,2.919,2.908,bbox,2.475,1.964,3.622,1.124
210,7.207,2.784,2.872,bbox,2.531,1.964,3.622,1.124
211,7.241,2.75,2.871,bbox,2.589,1.964,3.622,1.124
212,7.275,2.745,2.784,bbox,2.643,1.964,3.622,1.124
213,7.31,2.769,2.769,bbox,2.643,1.964,3.622,1.154
214,7.344,2.805,2.769,bbox,2.643,1.964,3.732,1.154
215,7.378,2.84,2.769,bbox,2.643,1.964,3.765,1.154
216,7.412,2.465,2.769,pose,2.643,1.964,3.765,1.154
217,7.447,2.876,2.805,bbox,2.643,1.964,3.808,1.154
218,7.481,2.962,2.84,bbox,2.643,1.964,3.808,1.154
219,7.515,2.485,2.84,pose,2.643,2.028,3.808,1.154
220,7.55,3.002,2.876,bbox,2.643,2.099,3.808,1.186
221,7.584,2.965,2.962,bbox,2.643,2.099,3.808,1.186
222,7.618,2.354,2.962,pose,2.643,2.099,3.808,1.186
223,7.653,2.883,2.883,bbox,2.643,2.099,3.808,1.186
224,7.687,2.862,2.883,bbox,2.643,2.099,3.808,1.186
225,7.721,2.352,2.862,pose,2.643,2.099,3.808,1.186
226,7.756,2.839,2.839,bbox,2.643,2.099,3.808,1.186
227,7.79,2.831,2.839,bbox,2.643,2.099,3.808,1.186
228,7.824,2.169,2.831,pose,2.643,2.099,3.808,1.186
229,7.859,2.744,2.744,bbox,2.674,2.099,3.808,1.25
230,7.893,2.718,2.744,bbox,2.674,2.099,3.808,1.25
231,7.927,2.745,2.744,bbox,2.674,2.099,3.808,1.25
232,7.962,2.756,2.744,bbox,2.752,2.099,3.808,1.294
233,7.996,2.759,2.745,bbox,2.752,2.099,3.808,1.294
234,8.03,2.207,2.745,pose,2.752,2.099,3.808,1.294
235,8.065,2.745,2.745,bbox,2.752,2.099,3.808,1.397
236,8.099,2.752,2.752,bbox,2.752,2.099,3.808,1.397
237,8.133,2.139,2.745,pose,2.752,2.099,3.808,1.44
238,8.167,2.932,2.745,bbox,2.752,2.185,3.808,1.501
239,8.202,3.148,2.752,bbox,2.752,2.185,3.808,1.61
240,8.236,2.541,2.752,pose,2.752,2.185,3.808,1.61
241,8.27,3.36,2.932,bbox,2.752,2.237,3.808,1.729
242,8.305,3.426,3.148,bbox,2.752,2.268,3.808,1.729
243,8.339,2.756,3.148,pose,2.752,2.268,3.808,1.829
244,8.373,3.579,3.36,bbox,2.752,2.268,3.808,1.865
245,8.408,3.555,3.426,bbox,2.752,2.268,3.808,1.865
246,8.442,2.779,3.426,pose,2.752,2.268,3.808,1.898
247,8.476,3.44,3.44,bbox,2.752,2.268,3.808,1.898
248,8.511,3.337,3.44,bbox,2.752,2.268,3.808,1.898
249,8.545,2.5,3.337,pose,2.752,2.268,3.808,1.898
250,8.579,3.116,3.116,bbox,2.752,2.268,3.808,1.898
251,8.614,3.09,3.116,bbox,2.815,2.268,3.808,1.929
252,8.648,2.466,3.09,pose,2.815,2.268,3.808,1.929
253,8.682,2.963,2.963,bbox,2.856,2.268,3.808,1.929
254,8.717,2.906,2.963,bbox,2.894,2.268,3.808,1.929
255,8.751,2.463,2.906,pose,2.894,2.268,3.839,1.929
