frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
58,1.16,3.134,3.165,bbox,0.0,0.665,0.849,0.042,2.3317,5.3534,,,,
59,1.18,3.07,3.134,bbox,0.034,0.665,0.849,0.042,2.36,5.3383,,,,
60,1.2,2.427,3.07,pose,0.034,0.665,0.892,0.042,2.398,5.3367,0.9921,0.7051,0.6933,0.5783
61,1.22,3.04,3.04,bbox,0.078,0.665,0.892,0.042,2.4233,5.3328,,,,
62,1.24,2.977,3.04,bbox,0.116,0.665,0.892,0.042,2.4513,5.318,,,,
63,1.26,2.073,2.977,pose,0.116,0.665,0.892,0.042,2.4683,5.3081,1.073,0.9123,0.6572,0.601
64,1.28,2.931,2.931,bbox,0.169,0.665,0.927,0.042,2.4719,5.2886,,,,
65,1.3,2.986,2.977,bbox,0.169,0.665,0.927,0.042,2.4811,5.2794,,,,
66,1.32,2.044,2.931,pose,0.169,0.665,0.927,0.042,2.4877,5.2653,1.0773,0.971,0.6038,0.5675
67,1.34,2.999,2.931,bbox,0.169,0.665,0.966,0.042,2.4902,5.262,,,,
68,1.36,3.023,2.986,bbox,0.205,0.665,0.966,0.042,2.5021,5.2573,,,,
69,1.38,2.092,2.986,pose,0.205,0.665,0.966,0.042,2.503,5.253,1.0502,0.9561,0.5812,0.5202
70,1.4,3.072,2.999,bbox,0.205,0.665,0.966,0.042,2.5061,5.2524,,,,
71,1.42,3.063,3.023,bbox,0.205,0.665,0.966,0.042,2.5041,5.2513,,,,
72,1.44,2.081,3.023,pose,0.205,0.665,0.966,0.042,2.4946,5.2511,1.0636,0.9295,0.6123,0.5144
73,1.46,3.063,3.063,bbox,0.205,0.665,0.966,0.042,2.4796,5.2509,,,,
74,1.48,3.053,3.063,bbox,0.205,0.665,0.966,0.042,2.4731,5.2498,,,,
75,1.5,2.074,3.053,pose,0.205,0.665,0.966,0.042,2.4622,5.2513,1.0886,0.9485,0.6368,0.5729
76,1.52,3.013,3.013,bbox,0.205,0.665,0.966,0.042,2.4477,5.2567,,,,
77,1.54,3.004,3.013,bbox,0.205,0.665,0.966,0.042,2.4314,5.2529,,,,
78,1.56,1.849,3.004,pose,0.205,0.705,0.966,0.042,2.4117,5.26,1.0731,0.9738,0.6569,0.6454
79,1.58,2.603,2.603,bbox,0.205,0.705,0.966,0.042,2.3803,5.2881,,,,
80,1.6,2.656,2.656,bbox,0.205,0.741,0.966,0.042,2.3531,5.3234,,,,
81,1.62,1.957,2.603,pose,0.205,0.772,0.966,0.042,2.3398,5.3474,1.0013,1.0128,0.6626,0.6264
82,1.64,2.748,2.603,bbox,0.205,0.772,0.966,0.086,2.3321,5.3747,,,,
83,1.66,2.759,2.656,bbox,0.205,0.813,0.966,0.086,2.3255,5.3987,,,,
84,1.68,2.358,2.656,pose,0.205,0.813,0.966,0.137,2.3214,5.424,0.975,0.9894,0.6363,0.5887
85,1.7,3.29,2.748,bbox,0.205,0.813,0.966,0.137,2.3178,5.446,,,,
86,1.72,3.331,2.759,bbox,0.205,0.813,0.966,0.186,2.3132,5.4629,,,,
87,1.74,2.533,2.759,pose,0.205,0.813,0.966,0.186,2.3141,5.4695,0.985,1.0281,0.6184,0.5585
88,1.76,3.473,3.29,bbox,0.205,0.813,0.966,0.225,2.3145,5.4668,,,,
89,1.78,3.477,3.331,bbox,0.205,0.813,0.966,0.225,2.3171,5.4604,,,,
90,1.8,2.506,3.331,pose,0.205,0.813,0.966,0.225,2.3242,5.4662,0.9947,1.0249,0.6204,0.5486
91,1.82,3.309,3.309,bbox,0.205,0.813,0.966,0.225,2.3305,5.4683,,,,
92,1.84,3.3,3.309,bbox,0.205,0.813,0.966,0.225,2.3287,5.4611,,,,
93,1.86,2.414,3.3,pose,0.205,0.813,0.966,0.225,2.3398,5.4587,0.9575,1.0221,0.6517,0.564
94,1.88,3.304,3.3,bbox,0.205,0.813,0.966,0.225,2.3503,5.4574,,,,
95,1.9,3.259,3.3,bbox,0.205,0.813,0.966,0.225,2.3612,5.4449,,,,
96,1.92,2.433,3.259,pose,0.205,0.813,0.966,0.225,2.3846,5.4364,0.8862,0.9889,0.6993,0.5926
97,1.94,3.148,3.148,bbox,0.205,0.813,0.966,0.225,2.4053,5.4132,,,,
98,1.96,3.093,3.148,bbox,0.25,0.813,0.966,0.225,2.4304,5.3967,,,,
99,1.98,2.386,3.093,pose,0.25,0.813,1.015,0.225,2.4533,5.3704,0.7837,0.9309,0.7288,0.6294
100,2.0,2.95,2.95,bbox,0.296,0.813,1.015,0.225,2.4752,5.3302,,,,
101,2.02,2.907,2.95,bbox,0.296,0.813,1.058,0.225,2.4959,5.2972,,,,
102,2.04,2.399,2.907,pose,0.341,0.813,1.098,0.225,2.5189,5.275,0.6855,0.8293,0.7438,0.614
103,2.06,2.838,2.838,bbox,0.341,0.813,1.131,0.225,2.5318,5.268,,,,
104,2.08,2.841,2.841,bbox,0.385,0.813,1.131,0.225,2.5445,5.2785,,,,
105,2.1,2.392,2.838,pose,0.385,0.813,1.131,0.225,2.545,5.288,0.7206,0.8096,0.7047,0.6023
106,2.12,2.868,2.838,bbox,0.385,0.813,1.131,0.225,2.5468,5.2833,,,,
107,2.14,2.49,2.838,bbox,0.385,0.813,1.131,0.225,2.552,5.2628,,,,
108,2.16,1.928,2.49,pose,0.385,0.813,1.131,0.225,2.5638,5.2812,0.8191,0.8718,0.6772,0.563
109,2.18,2.479,2.479,bbox,0.418,0.813,1.131,0.225,2.5814,5.3538,,,,
110,2.2,2.393,2.479,bbox,0.418,0.813,1.131,0.225,2.591,5.2682,,,,
111,2.22,1.934,2.393,pose,0.418,0.813,1.131,0.225,2.6126,5.2992,0.9608,1.0307,0.6876,0.5609
112,2.24,2.776,2.393,bbox,0.457,0.813,1.131,0.225,2.6426,5.2124,,,,
113,2.26,2.686,2.479,bbox,0.457,0.813,1.131,0.225,2.6656,5.1235,,,,
114,2.28,1.756,2.393,pose,0.508,0.813,1.216,0.225,2.6909,5.048,1.0565,0.4717,0.6557,0.1505
115,2.3,2.619,2.619,bbox,0.508,0.813,1.305,0.225,2.7193,5.0215,,,,
116,2.32,2.286,2.619,bbox,0.557,0.813,1.38,0.225,2.7556,5.0101,,,,
117,2.34,1.561,2.286,pose,0.557,0.813,1.38,0.225,2.7766,4.9887,1.0027,0.4396,0.5876,-0.1243
118,2.36,2.212,2.212,bbox,0.621,0.813,1.418,0.225,2.7928,4.9681,,,,
119,2.38,2.152,2.212,bbox,0.621,0.813,1.418,0.225,2.8245,4.962,,,,
120,2.4,1.934,2.152,pose,0.658,0.813,1.46,0.225,2.8143,4.9556,0.2187,1.068,0.6275,0.4563
121,2.42,2.152,2.152,bbox,0.658,0.813,1.46,0.225,2.8156,4.9528,,,,
122,2.44,2.476,2.152,bbox,0.658,0.813,1.46,0.225,2.8023,4.9611,,,,
123,2.46,1.691,2.152,pose,0.658,0.813,1.46,0.225,2.783,4.9752,0.9499,1.0283,0.6461,0.4703
124,2.48,2.596,2.152,bbox,0.658,0.813,1.46,0.225,2.7635,5.0125,,,,
125,2.5,2.606,2.476,bbox,0.658,0.813,1.46,0.225,2.7441,5.0282,,,,
126,2.52,1.717,2.476,pose,0.658,0.813,1.46,0.269,2.7316,5.0595,0.9693,1.0037,0.6828,0.516
127,2.54,2.646,2.596,bbox,0.658,0.862,1.46,0.269,2.7142,5.084,,,,
128,2.56,2.513,2.596,bbox,0.658,0.862,1.46,0.269,2.7044,4.9898,,,,
129,2.58,2.654,2.606,bbox,0.658,0.862,1.46,0.316,2.6987,5.129,0.8971,,0.6861,
130,2.6,2.699,2.646,bbox,0.658,0.901,1.46,0.316,2.687,5.1816,,,,
131,2.62,2.735,2.654,bbox,0.658,0.901,1.46,0.386,2.7084,5.225,,,,
132,2.64,1.831,2.654,pose,0.658,0.901,1.46,0.439,2.7443,5.2732,0.9276,0.0426,0.6857,0.1983
133,2.66,2.493,2.654,bbox,0.658,0.901,1.46,0.482,2.7472,5.3151,,,,
134,2.68,2.695,2.695,bbox,0.658,0.901,1.46,0.53,2.7302,5.4147,,,,
135,2.7,2.096,2.493,pose,0.658,0.901,1.46,0.572,2.7142,5.4653,0.9409,0.9133,0.6486,0.5296
136,2.72,2.975,2.493,bbox,0.658,0.901,1.46,0.672,2.6683,5.4824,,,,
137,2.74,3.037,2.695,bbox,0.658,0.901,1.46,0.722,2.6576,5.4974,,,,
138,2.76,2.469,2.695,pose,0.658,0.937,1.46,0.722,2.6546,5.5058,0.9416,0.0916,0.6299,-0.0986
