frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
0,0.0,2.355,2.355,pose,0.0,0.0,0.0,0.0
1,0.017,2.926,2.64,bbox,0.0,0.0,0.048,0.0
2,0.033,2.921,2.921,bbox,0.0,0.0,0.097,0.0
3,0.05,2.367,2.644,pose,0.0,0.0,0.097,0.0
4,0.067,2.979,2.921,bbox,0.0,0.0,0.097,0.0
5,0.083,2.974,2.926,bbox,0.0,0.0,0.097,0.0
6,0.1,2.342,2.921,pose,0.0,0.0,0.097,0.0
7,0.117,2.953,2.953,bbox,0.0,0.0,0.097,0.0
8,0.133,2.955,2.955,bbox,0.0,0.0,0.097,0.0
9,0.15,2.292,2.953,pose,0.0,0.0,0.097,0.0
10,0.167,2.894,2.894,bbox,0.0,0.0,0.097,0.0
11,0.184,2.854,2.894,bbox,0.0,0.0,0.097,0.0
12,0.2,2.188,2.854,pose,0.0,0.0,0.097,0.0
13,0.217,2.795,2.795,bbox,0.0,0.0,0.097,0.0
14,0.234,2.734,2.795,bbox,0.0,0.0,0.097,0.0
15,0.25,2.11,2.734,pose,0.0,0.0,0.132,0.0
16,0.267,2.665,2.665,bbox,0.0,0.0,0.132,0.0
17,0.284,2.601,2.665,bbox,0.0,0.0,0.184,0.0
18,0.3,2.015,2.601,pose,0.0,0.0,0.184,0.0
19,0.317,2.525,2.525,bbox,0.0,0.0,0.184,0.0
20,0.334,2.499,2.525,bbox,0.0,0.0,0.184,0.0
21,0.35,1.975,2.499,pose,0.0,0.0,0.184,0.0
22,0.367,2.456,2.456,bbox,0.0,0.0,0.229,0.0
23,0.384,2.439,2.456,bbox,0.0,0.0,0.229,0.0
24,0.4,1.873,2.439,pose,0.0,0.0,0.229,0.0
25,0.417,2.419,2.419,bbox,0.0,0.0,0.229,0.0
26,0.434,2.422,2.422,bbox,0.0,0.0,0.229,0.0
27,0.45,1.75,2.419,pose,0.0,0.0,0.229,0.0
28,0.467,2.351,2.351,bbox,0.0,0.0,0.229,0.0
29,0.484,2.299,2.351,bbox,0.0,0.0,0.229,0.0
30,0.501,1.63,2.299,pose,0.0,0.0,0.229,0.0
31,0.517,2.282,2.282,bbox,0.0,0.0,0.296,0.0
32,0.534,2.267,2.282,bbox,0.048,0.0,0.296,0.0
33,0.551,1.613,2.267,pose,0.048,0.0,0.296,0.0
34,0.567,2.248,2.248,bbox,0.048,0.0,0.296,0.0
35,0.584,2.219,2.248,bbox,0.048,0.0,0.296,0.0
36,0.601,1.577,2.219,pose,0.048,0.0,0.296,0.0
37,0.617,2.19,2.19,bbox,0.048,0.0,0.296,0.0
38,0.634,2.165,2.19,bbox,0.048,0.0,0.296,0.0
39,0.651,1.571,2.165,pose,0.048,0.0,0.296,0.0
40,0.667,2.147,2.147,bbox,0.048,0.0,0.296,0.0
41,0.684,2.137,2.147,bbox,0.048,0.0,0.296,0.0
42,0.701,1.541,2.137,pose,0.048,0.0,0.296,0.0
43,0.717,2.128,2.128,bbox,0.048,0.0,0.296,0.0
44,0.734,2.126,2.128,bbox,0.048,0.0,0.296,0.0
45,0.751,1.548,2.126,pose,0.048,0.0,0.296,0.0
46,0.767,2.117,2.117,bbox,0.048,0.0,0.296,0.0
47,0.784,2.129,2.126,bbox,0.048,0.0,0.296,0.0
48,0.801,1.556,2.117,pose,0.048,0.0,0.296,0.0
49,0.817,2.147,2.117,bbox,0.048,0.0,0.296,0.0
50,0.834,2.155,2.129,bbox,0.048,0.0,0.296,0.0
51,0.851,1.605,2.129,pose,0.048,0.0,0.296,0.0
52,0.868,2.179,2.147,bbox,0.048,0.0,0.296,0.0
53,0.884,2.188,2.155,bbox,0.048,0.0,0.296,0.0
54,0.901,1.608,2.155,pose,0.048,0.0,0.296,0.0
55,0.918,2.175,2.175,bbox,0.048,0.0,0.296,0.0
56,0.934,2.198,2.179,bbox,0.048,0.0,0.296,0.0
57,0.951,1.598,2.175,pose,0.048,0.0,0.296,0.0
58,0.968,2.195,2.175,bbox,0.048,0.0,0.296,0.0
59,0.984,2.206,2.195,bbox,0.048,0.0,0.296,0.0
60,1.001,1.628,2.195,pose,0.048,0.0,0.296,0.0
61,1.018,2.217,2.195,bbox,0.048,0.0,0.296,0.0
62,1.034,2.228,2.206,bbox,0.048,0.0,0.296,0.0
63,1.051,1.669,2.206,pose,0.048,0.0,0.296,0.0
64,1.068,2.246,2.217,bbox,0.048,0.0,0.296,0.0
65,1.084,2.26,2.228,bbox,0.048,0.0,0.296,0.0
66,1.101,1.728,2.228,pose,0.048,0.0,0.296,0.0
67,1.118,2.258,2.246,bbox,0.048,0.0,0.296,0.0
68,1.134,2.266,2.258,bbox,0.048,0.0,0.296,0.0
69,1.151,1.764,2.258,pose,0.048,0.0,0.296,0.0
70,1.168,2.306,2.258,bbox,0.048,0.0,0.296,0.0
71,1.185,2.366,2.266,bbox,0.048,0.0,0.296,0.0
72,1.201,1.832,2.266,pose,0.048,0.032,0.296,0.0
73,1.218,2.503,2.306,bbox,0.048,0.067,0.296,0.044
74,1.235,2.501,2.366,bbox,0.048,0.067,0.296,0.044
75,1.251,1.998,2.366,pose,0.048,0.067,0.296,0.044
76,1.268,2.483,2.483,bbox,0.048,0.067,0.296,0.044
77,1.285,2.544,2.501,bbox,0.048,0.067,0.296,0.044
78,1.301,2.084,2.483,pose,0.048,0.067,0.296,0.044
79,1.318,2.476,2.476,bbox,0.048,0.067,0.296,0.044
80,1.335,2.478,2.478,bbox,0.096,0.067,0.296,0.044
81,1.351,2.064,2.476,pose,0.096,0.115,0.296,0.044
82,1.368,2.485,2.476,bbox,0.132,0.115,0.296,0.044
83,1.385,2.484,2.478,bbox,0.132,0.115,0.296,0.044
84,1.401,2.075,2.478,pose,0.132,0.115,0.296,0.044
85,1.418,2.5,2.484,bbox,0.132,0.115,0.296,0.044
86,1.435,2.514,2.485,bbox,0.132,0.115,0.296,0.044
87,1.451,2.091,2.484,pose,0.132,0.115,0.296,0.044
88,1.468,2.543,2.5,bbox,0.132,0.115,0.296,0.044
89,1.485,2.561,2.514,bbox,0.132,0.115,0.296,0.044
90,1.502,2.045,2.514,pose,0.132,0.115,0.296,0.044
91,1.518,2.535,2.535,bbox,0.132,0.115,0.296,0.044
92,1.535,2.531,2.535,bbox,0.132,0.115,0.296,0.044
93,1.552,1.976,2.531,pose,0.132,0.115,0.296,0.044
94,1.568,2.545,2.531,bbox,0.132,0.115,0.296,0.044
95,1.585,2.55,2.535,bbox,0.132,0.115,0.296,0.044
96,1.602,1.953,2.531,pose,0.132,0.115,0.296,0.044
97,1.618,2.552,2.545,bbox,0.132,0.115,0.296,0.044
98,1.635,2.558,2.55,bbox,0.132,0.115,0.296,0.044
99,1.652,1.932,2.55,pose,0.132,0.115,0.296,0.044
100,1.668,2.568,2.552,bbox,0.132,0.115,0.296,0.044
101,1.685,2.563,2.558,bbox,0.132,0.115,0.296,0.044
102,1.702,1.876,2.558,pose,0.132,0.115,0.296,0.044
103,1.718,2.519,2.519,bbox,0.132,0.115,0.296,0.044
104,1.735,2.478,2.519,bbox,0.132,0.115,0.296,0.044
105,1.752,1.797,2.478,pose,0.132,0.115,0.296,0.044
106,1.768,2.444,2.444,bbox,0.132,0.115,0.296,0.044
107,1.785,2.431,2.444,bbox,0.132,0.115,0.296,0.044
108,1.802,1.729,2.431,pose,0.132,0.115,0.296,0.044
109,1.818,2.372,2.372,bbox,0.132,0.115,0.328,0.044
110,1.835,2.359,2.372,bbox,0.132,0.115,0.328,0.044
111,1.852,1.716,2.359,pose,0.132,0.115,0.328,0.044
112,1.869,2.319,2.319,bbox,0.132,0.115,0.328,0.044
113,1.885,2.3,2.319,bbox,0.132,0.115,0.328,0.044
114,1.902,1.719,2.3,pose,0.132,0.115,0.328,0.044
115,1.919,2.265,2.265,bbox,0.132,0.115,0.328,0.044
116,1.935,2.257,2.265,bbox,0.132,0.115,0.328,0.044
117,1.952,1.721,2.257,pose,0.132,0.115,0.328,0.044
118,1.969,2.269,2.257,bbox,0.132,0.115,0.328,0.044
119,1.985,2.272,2.265,bbox,0.132,0.115,0.328,0.044
120,2.002,1.728,2.257,pose,0.132,0.115,0.328,0.044
121,2.019,2.307,2.269,bbox,0.132,0.115,0.328,0.044
122,2.035,2.342,2.272,bbox,0.132,0.115,0.328,0.044
123,2.052,1.711,2.272,pose,0.132,0.155,0.328,0.044
124,2.069,2.314,2.307,bbox,0.132,0.155,0.328,0.044
125,2.085,2.292,2.307,bbox,0.132,0.155,0.328,0.044
126,2.102,1.72,2.292,pose,0.132,0.155,0.328,0.044
127,2.119,2.231,2.231,bbox,0.132,0.155,0.328,0.044
128,2.135,2.218,2.231,bbox,0.132,0.155,0.328,0.044
129,2.152,1.722,2.218,pose,0.132,0.155,0.328,0.044
130,2.169,2.235,2.218,bbox,0.172,0.155,0.328,0.044
131,2.186,2.233,2.231,bbox,0.172,0.155,0.328,0.044
132,2.202,1.743,2.218,pose,0.172,0.155,0.328,0.044
133,2.219,2.238,2.233,bbox,0.172,0.155,0.328,0.044
134,2.236,2.262,2.235,bbox,0.172,0.155,0.328,0.044
135,2.252,1.824,2.233,pose,0.172,0.155,0.328,0.044
136,2.269,2.326,2.238,bbox,0.172,0.155,0.328,0.078
137,2.286,2.393,2.262,bbox,0.172,0.155,0.328,0.078
138,2.302,1.915,2.262,pose,0.172,0.155,0.328,0.113
139,2.319,2.473,2.326,bbox,0.172,0.155,0.328,0.113
140,2.336,2.512,2.393,bbox,0.172,0.155,0.328,0.113
141,2.352,1.912,2.393,pose,0.172,0.155,0.328,0.113
142,2.369,2.573,2.473,bbox,0.172,0.155,0.328,0.113
143,2.386,2.603,2.512,bbox,0.172,0.155,0.328,0.113
144,2.402,1.863,2.512,pose,0.172,0.155,0.328,0.113
145,2.419,2.651,2.573,bbox,0.172,0.155,0.328,0.113
146,2.436,2.634,2.603,bbox,0.172,0.155,0.328,0.113
147,2.452,1.771,2.603,pose,0.172,0.155,0.328,0.113
148,2.469,2.695,2.634,bbox,0.172,0.155,0.328,0.113
149,2.486,2.59,2.634,bbox,0.172,0.155,0.328,0.113
150,2.502,1.706,2.59,pose,0.172,0.155,0.328,0.113
151,2.519,2.534,2.534,bbox,0.172,0.155,0.328,0.113
152,2.536,2.513,2.534,bbox,0.221,0.155,0.328,0.113
153,2.553,1.69,2.513,pose,0.221,0.155,0.328,0.113
154,2.569,2.506,2.506,bbox,0.265,0.155,0.328,0.113
155,2.586,2.502,2.506,bbox,0.265,0.155,0.328,0.113
156,2.603,1.719,2.502,pose,0.265,0.155,0.328,0.113
157,2.619,2.514,2.502,bbox,0.265,0.155,0.328,0.151
158,2.636,2.543,2.506,bbox,0.265,0.155,0.328,0.151
159,2.653,1.851,2.502,pose,0.265,0.155,0.328,0.183
160,2.669,2.576,2.514,bbox,0.265,0.155,0.328,0.232
161,2.686,2.594,2.543,bbox,0.265,0.155,0.328,0.232
162,2.703,1.978,2.543,pose,0.265,0.155,0.328,0.232
163,2.719,2.679,2.576,bbox,0.265,0.155,0.328,0.232
164,2.736,2.681,2.594,bbox,0.265,0.155,0.328,0.232
165,2.753,1.953,2.594,pose,0.265,0.155,0.328,0.268
166,2.769,2.617,2.617,bbox,0.265,0.155,0.328,0.312
167,2.786,2.583,2.617,bbox,0.265,0.155,0.328,0.312
168,2.803,1.945,2.583,pose,0.297,0.155,0.328,0.312
169,2.819,2.514,2.514,bbox,0.297,0.155,0.328,0.312
170,2.836,2.475,2.514,bbox,0.328,0.155,0.328,0.312
171,2.853,1.927,2.475,pose,0.328,0.155,0.328,0.312
172,2.87,2.437,2.437,bbox,0.387,0.155,0.328,0.312
173,2.886,2.422,2.437,bbox,0.387,0.155,0.328,0.312
174,2.903,1.917,2.422,pose,0.387,0.155,0.328,0.312
175,2.92,2.41,2.41,bbox,0.435,0.155,0.328,0.312
176,2.936,2.395,2.41,bbox,0.435,0.155,0.328,0.312
177,2.953,1.901,2.395,pose,0.435,0.155,0.328,0.312
178,2.97,2.387,2.387,bbox,0.435,0.155,0.328,0.312
179,2.986,2.351,2.387,bbox,0.435,0.155,0.328,0.312
180,3.003,1.902,2.351,pose,0.435,0.155,0.328,0.312
181,3.02,2.394,2.351,bbox,0.435,0.155,0.328,0.356
182,3.036,2.419,2.387,bbox,0.435,0.155,0.328,0.356
183,3.053,1.935,2.351,pose,0.435,0.155,0.328,0.387
184,3.07,2.538,2.394,bbox,0.435,0.155,0.328,0.445
185,3.086,2.594,2.419,bbox,0.435,0.155,0.328,0.445
186,3.103,1.972,2.419,pose,0.435,0.155,0.328,0.445
187,3.12,2.625,2.538,bbox,0.435,0.155,0.328,0.475
188,3.136,2.64,2.594,bbox,0.435,0.155,0.328,0.475
189,3.153,1.921,2.594,pose,0.435,0.155,0.328,0.475
190,3.17,2.615,2.615,bbox,0.435,0.155,0.328,0.535
191,3.187,2.617,2.617,bbox,0.435,0.155,0.328,0.535
192,3.203,1.883,2.615,pose,0.435,0.155,0.328,0.535
193,3.22,2.589,2.589,bbox,0.435,0.155,0.328,0.535
194,3.237,2.578,2.589,bbox,0.435,0.155,0.328,0.535
195,3.253,1.848,2.578,pose,0.435,0.155,0.328,0.535
196,3.27,2.53,2.53,bbox,0.435,0.155,0.328,0.535
197,3.287,2.528,2.53,bbox,0.435,0.155,0.328,0.535
198,3.303,1.832,2.528,pose,0.435,0.155,0.328,0.535
199,3.32,2.481,2.481,bbox,0.435,0.155,0.328,0.535
200,3.337,2.474,2.481,bbox,0.435,0.155,0.328,0.535
201,3.353,1.837,2.474,pose,0.435,0.155,0.328,0.535
202,3.37,2.472,2.472,bbox,0.435,0.155,0.328,0.535
203,3.387,2.483,2.474,bbox,0.435,0.155,0.328,0.535
204,3.403,1.86,2.472,pose,0.435,0.155,0.328,0.535
205,3.42,2.483,2.472,bbox,0.435,0.155,0.328,0.595
206,3.437,2.545,2.483,bbox,0.435,0.155,0.328,0.595
207,3.453,1.974,2.483,pose,0.435,0.155,0.328,0.639
208,3.47,2.589,2.483,bbox,0.509,0.155,0.328,0.639
209,3.487,2.546,2.545,bbox,0.509,0.155,0.328,0.639
210,3.504,1.972,2.545,pose,0.509,0.155,0.328,0.639
211,3.52,2.574,2.546,bbox,0.509,0.155,0.328,0.69
212,3.537,2.585,2.574,bbox,0.509,0.155,0.328,0.69
213,3.554,1.976,2.546,pose,0.509,0.155,0.328,0.69
214,3.57,2.589,2.574,bbox,0.509,0.155,0.328,0.69
215,3.587,2.578,2.578,bbox,0.509,0.155,0.328,0.69
216,3.604,1.954,2.578,pose,0.509,0.155,0.328,0.69
217,3.62,2.542,2.542,bbox,0.509,0.155,0.328,0.69
218,3.637,2.555,2.555,bbox,0.509,0.155,0.328,0.69
219,3.654,1.933,2.542,pose,0.509,0.155,0.328,0.69
220,3.67,2.548,2.542,bbox,0.509,0.155,0.328,0.69
221,3.687,2.548,2.548,bbox,0.509,0.155,0.328,0.69
222,3.704,2.012,2.548,pose,0.509,0.155,0.328,0.69
223,3.72,2.556,2.548,bbox,0.509,0.155,0.328,0.69
224,3.737,2.554,2.548,bbox,0.509,0.155,0.328,0.69
225,3.754,2.003,2.548,pose,0.509,0.155,0.328,0.69
226,3.77,2.604,2.554,bbox,0.509,0.155,0.328,0.727
227,3.787,2.642,2.556,bbox,0.509,0.155,0.328,0.727
228,3.804,2.15,2.554,pose,0.509,0.155,0.328,0.727
229,3.82,2.726,2.604,bbox,0.509,0.155,0.328,0.727
230,3.837,2.748,2.642,bbox,0.509,0.155,0.328,0.757
231,3.854,2.284,2.642,pose,0.509,0.155,0.328,0.757
232,3.871,2.78,2.726,bbox,0.509,0.155,0.328,0.757
233,3.887,2.816,2.748,bbox,0.509,0.155,0.328,0.757
234,3.904,2.452,2.748,pose,0.509,0.155,0.328,0.757
235,3.921,2.832,2.78,bbox,0.509,0.155,0.328,0.757
236,3.937,2.834,2.816,bbox,0.509,0.155,0.328,0.757
237,3.954,2.655,2.816,pose,0.509,0.155,0.328,0.757
238,3.971,2.88,2.832,bbox,0.509,0.155,0.328,0.757
239,3.987,2.894,2.834,bbox,0.509,0.155,0.328,0.757
240,4.004,2.557,2.834,pose,0.509,0.155,0.328,0.757
241,4.021,2.869,2.869,bbox,0.509,0.155,0.328,0.757
242,4.037,2.867,2.869,bbox,0.509,0.155,0.328,0.757
243,4.054,2.465,2.867,pose,0.509,0.155,0.328,0.757
244,4.071,2.833,2.833,bbox,0.509,0.155,0.328,0.757
245,4.087,2.831,2.833,bbox,0.509,0.155,0.328,0.757
246,4.104,2.227,2.831,pose,0.509,0.155,0.328,0.757
247,4.121,2.824,2.824,bbox,0.509,0.186,0.328,0.757
248,4.137,2.83,2.83,bbox,0.509,0.186,0.328,0.757
249,4.154,2.229,2.824,pose,0.509,0.186,0.363,0.757
250,4.171,2.845,2.824,bbox,0.509,0.186,0.363,0.757
251,4.188,2.837,2.83,bbox,0.509,0.186,0.363,0.757
252,4.204,2.209,2.83,pose,0.509,0.186,0.363,0.757
253,4.221,2.884,2.837,bbox,0.509,0.186,0.408,0.757
254,4.238,2.901,2.845,bbox,0.509,0.186,0.408,0.757
255,4.254,2.201,2.837,pose,0.509,0.186,0.408,0.757
256,4.271,2.947,2.884,bbox,0.509,0.186,0.408,0.757
257,4.288,2.947,2.901,bbox,0.509,0.186,0.408,0.757
258,4.304,2.2,2.901,pose,0.509,0.186,0.408,0.757
259,4.321,2.918,2.918,bbox,0.509,0.186,0.408,0.757
260,4.338,2.905,2.918,bbox,0.509,0.186,0.408,0.757
261,4.354,2.18,2.905,pose,0.509,0.186,0.454,0.757
262,4.371,2.873,2.873,bbox,0.509,0.186,0.454,0.757
263,4.388,2.858,2.873,bbox,0.509,0.186,0.454,0.757
264,4.404,2.15,2.858,pose,0.509,0.186,0.454,0.757
265,4.421,2.821,2.821,bbox,0.509,0.186,0.454,0.757
266,4.438,2.819,2.821,bbox,0.509,0.186,0.454,0.757
267,4.454,2.17,2.819,pose,0.509,0.186,0.489,0.757
268,4.471,2.776,2.776,bbox,0.509,0.186,0.489,0.757
269,4.488,2.819,2.819,bbox,0.509,0.186,0.489,0.757
270,4.505,2.266,2.776,pose,0.509,0.186,0.489,0.757
271,4.521,2.8,2.776,bbox,0.509,0.186,0.489,0.757
272,4.538,2.772,2.776,bbox,0.509,0.186,0.52,0.757
273,4.555,2.347,2.772,pose,0.509,0.186,0.52,0.788
