frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m
93,1.86,2.414,3.3,pose,0.291,0.53,0.711,0.159
94,1.88,3.304,3.3,bbox,0.291,0.53,0.711,0.159
95,1.9,3.259,3.3,bbox,0.291,0.53,0.711,0.159
96,1.92,2.433,3.259,pose,0.291,0.53,0.711,0.159
97,1.94,3.148,3.148,bbox,0.291,0.53,0.711,0.159
98,1.96,3.093,3.148,bbox,0.291,0.53,0.711,0.159
99,1.98,2.386,3.093,pose,0.291,0.53,0.711,0.159
100,2.0,2.95,2.95,bbox,0.337,0.53,0.743,0.159
101,2.02,2.907,2.95,bbox,0.337,0.53,0.743,0.159
102,2.04,2.399,2.907,pose,0.337,0.53,0.743,0.159
103,2.06,2.838,2.838,bbox,0.383,0.53,0.812,0.159
104,2.08,2.841,2.841,bbox,0.383,0.53,0.847,0.159
105,2.1,2.392,2.838,pose,0.383,0.53,0.847,0.159
106,2.12,2.868,2.838,bbox,0.421,0.53,0.847,0.159
107,2.14,2.49,2.838,bbox,0.421,0.53,0.847,0.159
108,2.16,1.928,2.49,pose,0.421,0.53,0.847,0.159
109,2.18,2.479,2.479,bbox,0.421,0.53,0.847,0.222
110,2.2,2.393,2.479,bbox,0.421,0.53,0.91,0.222
111,2.22,1.934,2.393,pose,0.421,0.53,0.91,0.222
112,2.24,2.776,2.393,bbox,0.453,0.53,0.91,0.222
113,2.26,2.686,2.479,bbox,0.453,0.53,0.942,0.222
114,2.28,1.756,2.393,pose,0.453,0.53,1.004,0.222
115,2.3,2.619,2.619,bbox,0.511,0.53,1.056,0.222
116,2.32,2.286,2.619,bbox,0.511,0.53,1.1,0.222
117,2.34,1.561,2.286,pose,0.511,0.53,1.202,0.222
118,2.36,2.212,2.212,bbox,0.566,0.53,1.202,0.222
119,2.38,2.152,2.212,bbox,0.602,0.53,1.202,0.222
120,2.4,1.934,2.152,pose,0.602,0.53,1.202,0.222
121,2.42,2.152,2.152,bbox,0.64,0.53,1.244,0.222
122,2.44,2.476,2.152,bbox,0.64,0.53,1.244,0.222
123,2.46,1.691,2.152,pose,0.64,0.53,1.244,0.222
124,2.48,2.596,2.152,bbox,0.64,0.575,1.244,0.281
125,2.5,2.606,2.476,bbox,0.64,0.575,1.244,0.281
126,2.52,1.717,2.476,pose,0.64,0.575,1.244,0.281
127,2.54,2.646,2.596,bbox,0.64,0.609,1.244,0.343
128,2.56,2.513,2.596,bbox,0.64,0.609,1.305,0.343
129,2.58,2.654,2.606,bbox,0.64,0.609,1.305,0.404
130,2.6,2.699,2.646,bbox,0.64,0.609,1.305,0.453
131,2.62,2.735,2.654,bbox,0.64,0.609,1.305,0.453
132,2.64,1.831,2.654,pose,0.64,0.609,1.305,0.504
133,2.66,2.493,2.654,bbox,0.64,0.609,1.305,0.504
134,2.68,2.695,2.695,bbox,0.64,0.609,1.305,0.504
135,2.7,2.096,2.493,pose,0.64,0.609,1.305,0.596
136,2.72,2.975,2.493,bbox,0.64,0.651,1.305,0.701
137,2.74,3.037,2.695,bbox,0.64,0.651,1.305,0.764
138,2.76,2.469,2.695,pose,0.64,0.651,1.305,0.764
139,2.78,3.061,2.975,bbox,0.64,0.651,1.305,0.764
140,2.8,3.039,3.037,bbox,0.64,0.651,1.305,0.764
141,2.82,2.236,3.037,pose,0.64,0.651,1.305,0.764
142,2.84,3.134,3.039,bbox,0.64,0.651,1.305,0.764
143,2.86,3.162,3.061,bbox,0.64,0.651,1.305,0.764
144,2.88,2.404,3.039,pose,0.64,0.651,1.305,0.802
145,2.9,3.108,3.108,bbox,0.64,0.651,1.305,0.873
146,2.92,3.085,3.108,bbox,0.64,0.651,1.305,0.873
147,2.94,2.523,3.085,pose,0.64,0.651,1.305,0.873
148,2.96,3.006,3.006,bbox,0.64,0.651,1.305,0.914
149,2.98,2.974,3.006,bbox,0.64,0.651,1.305,0.914
150,3.0,2.592,2.974,pose,0.64,0.651,1.305,0.954
151,3.02,2.932,2.932,bbox,0.671,0.651,1.305,1.017
152,3.04,2.932,2.932,bbox,0.711,0.651,1.305,1.017
153,3.06,2.603,2.932,pose,0.711,0.651,1.305,1.017
154,3.08,2.997,2.932,bbox,0.769,0.651,1.305,1.093
155,3.1,3.016,2.932,bbox,0.769,0.651,1.305,1.126
156,3.12,2.571,2.932,pose,0.769,0.651,1.305,1.126
157,3.14,3.055,2.997,bbox,0.803,0.651,1.305,1.126
158,3.16,3.076,3.016,bbox,0.803,0.651,1.305,1.17
159,3.18,2.439,3.016,pose,0.803,0.651,1.305,1.17
160,3.2,3.109,3.055,bbox,0.803,0.651,1.305,1.17
161,3.22,3.15,3.076,bbox,0.803,0.651,1.305,1.203
162,3.24,2.357,3.076,pose,0.803,0.651,1.305,1.203
163,3.26,2.749,2.749,bbox,0.853,0.651,1.305,1.203
164,3.28,2.9,2.9,bbox,0.853,0.651,1.305,1.203
165,3.3,2.126,2.749,pose,0.853,0.651,1.305,1.203
166,3.32,3.083,2.749,bbox,0.889,0.651,1.305,1.203
167,3.34,3.149,2.9,bbox,0.889,0.651,1.305,1.203
