frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,2.13,2.13,2.98,pose,0.0,0.0,0.0,0.0,2.1068,4.5021,0.8687,0.755,0.484,0.5329
1,0.04,3.076,2.603,3.076,bbox,0.0,0.0,0.0,0.035,2.0774,4.5722,,,,
2,0.08,3.136,3.076,3.136,bbox,0.0,0.0,0.0,0.07,2.0508,4.6081,,,,
3,0.12,3.188,3.106,3.188,bbox,0.0,0.043,0.0,0.07,2.0229,4.621,0.9246,,0.5693,
4,0.16,3.269,3.136,3.269,bbox,0.0,0.043,0.0,0.07,1.9532,4.6008,,,,
5,0.2,3.333,3.188,3.333,bbox,0.0,0.084,0.0,0.07,1.8751,4.5702,,,,
6,0.24,2.73,3.188,3.431,pose,0.0,0.154,0.0,0.07,1.8279,4.5835,0.8355,0.8139,0.593,0.4809
7,0.28,3.486,3.269,3.486,bbox,0.0,0.232,0.0,0.07,1.8002,4.6231,,,,
8,0.32,3.509,3.333,3.509,bbox,0.0,0.279,0.0,0.07,1.7897,4.6574,,,,
9,0.36,2.744,3.333,3.577,pose,0.0,0.279,0.0,0.121,1.7807,4.7213,0.8419,0.8499,0.555,0.5575
10,0.4,3.65,3.486,3.65,bbox,0.0,0.317,0.0,0.155,1.7781,4.8055,,,,
11,0.44,3.683,3.509,3.683,bbox,0.0,0.317,0.0,0.219,1.783,4.8665,,,,
12,0.48,2.898,3.509,3.618,pose,0.0,0.317,0.0,0.303,1.7857,4.901,0.8294,0.7427,0.6091,0.5689
13,0.52,3.568,3.568,3.568,bbox,0.0,0.317,0.0,0.364,1.7906,4.9175,,,,
14,0.56,3.579,3.579,3.579,bbox,0.0,0.317,0.0,0.399,1.7903,4.9161,,,,
15,0.6,3.276,3.568,3.587,pose,0.0,0.317,0.0,0.399,1.799,4.9143,0.7532,0.3363,0.6354,0.5248
16,0.64,3.64,3.568,3.64,bbox,0.0,0.317,0.0,0.399,1.812,4.9145,,,,
17,0.68,3.715,3.579,3.715,bbox,0.0,0.317,0.0,0.399,1.8301,4.9242,,,,
18,0.72,3.08,3.579,3.695,pose,0.0,0.317,0.0,0.399,1.8396,4.9265,0.814,0.642,0.5858,0.5834
19,0.76,3.704,3.64,3.704,bbox,0.04,0.317,0.0,0.399,1.8572,4.9512,,,,
20,0.8,3.673,3.673,3.673,bbox,0.04,0.317,0.0,0.399,1.8971,4.9331,,,,
21,0.84,2.89,3.673,3.618,pose,0.04,0.317,0.0,0.399,1.9239,4.901,0.9976,0.5267,0.5254,0.5892
22,0.88,3.602,3.602,3.602,bbox,0.107,0.317,0.0,0.399,1.936,4.8767,,,,
23,0.92,3.671,3.671,3.671,bbox,0.107,0.317,0.0,0.399,1.9408,4.9013,,,,
24,0.96,2.755,3.602,3.652,pose,0.146,0.317,0.0,0.399,1.939,4.8673,1.0153,0.6214,0.45,0.543
25,1.0,3.626,3.602,3.626,bbox,0.146,0.317,0.0,0.399,1.9337,4.8168,,,,
26,1.04,3.561,3.602,3.561,bbox,0.146,0.317,0.034,0.399,1.9322,4.7823,,,,
27,1.08,2.574,3.561,3.551,pose,0.146,0.317,0.084,0.399,1.9197,4.7789,1.0047,0.7856,0.5424,0.5113
28,1.12,3.544,3.544,3.544,bbox,0.146,0.317,0.084,0.399,1.9116,4.7871,,,,
29,1.16,3.546,3.546,3.546,bbox,0.146,0.317,0.084,0.399,1.8862,4.7994,,,,
30,1.2,2.605,3.544,3.528,pose,0.146,0.317,0.084,0.399,1.8278,4.81,0.9463,0.7801,0.5857,0.5326
31,1.24,3.544,3.544,3.544,bbox,0.146,0.367,0.084,0.399,1.7866,4.8234,,,,
32,1.28,3.554,3.544,3.554,bbox,0.146,0.425,0.084,0.399,1.7747,4.8266,,,,
33,1.32,2.734,3.544,3.577,pose,0.146,0.467,0.084,0.399,1.7655,4.8246,0.9578,0.7342,0.5539,0.5733
34,1.36,3.65,3.544,3.65,bbox,0.146,0.467,0.084,0.399,1.7536,4.8389,,,,
35,1.4,3.679,3.554,3.679,bbox,0.146,0.467,0.084,0.399,1.7486,4.8566,,,,
36,1.44,2.807,3.554,3.643,pose,0.146,0.5,0.084,0.399,1.7418,4.8511,0.9622,0.7159,0.5732,0.5469
37,1.48,3.59,3.59,3.59,bbox,0.146,0.5,0.084,0.433,1.7274,4.852,,,,
38,1.52,3.529,3.59,3.529,bbox,0.146,0.5,0.084,0.433,1.7112,4.8563,,,,
39,1.56,2.741,3.529,3.493,pose,0.146,0.5,0.084,0.433,1.7054,4.8594,0.8977,0.7155,0.6662,0.5907
40,1.6,3.451,3.451,3.451,bbox,0.146,0.542,0.084,0.433,1.6907,4.8614,,,,
41,1.64,3.403,3.451,3.403,bbox,0.146,0.542,0.084,0.433,1.68,4.8344,,,,
42,1.68,2.925,3.403,3.371,pose,0.146,0.542,0.084,0.433,1.6865,4.7939,0.6685,0.5926,0.677,0.6392
43,1.72,3.417,3.403,3.417,bbox,0.146,0.542,0.084,0.433,1.6687,4.7909,,,,
44,1.76,3.404,3.404,3.404,bbox,0.146,0.573,0.141,0.433,1.6734,4.7583,,,,
45,1.8,2.977,3.403,3.425,pose,0.146,0.573,0.141,0.433,1.6584,4.7523,0.7479,0.568,0.6024,0.5915
46,1.84,3.477,3.404,3.477,bbox,0.146,0.573,0.141,0.433,1.6403,4.7866,,,,
47,1.88,3.419,3.417,3.419,bbox,0.146,0.573,0.172,0.433,1.6474,4.7636,,,,
48,1.92,2.431,3.404,3.305,pose,0.146,0.573,0.172,0.433,1.6995,4.7103,1.0083,0.7909,0.6159,0.5898
49,1.96,3.22,3.22,3.22,bbox,0.146,0.573,0.172,0.433,1.7523,4.6769,,,,
50,2.0,3.185,3.22,3.185,bbox,0.146,0.573,0.225,0.433,1.7852,4.636,,,,
