frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
54,1.802,2.515,3.181,3.16,pose,0.6,0.069,0.143,0.131,2.4877,5.4807,0.7949,0.5247,0.8101,0.5571
55,1.835,3.082,3.082,3.082,bbox,0.6,0.069,0.179,0.131,2.5409,5.4583,,,,
56,1.869,3.042,3.082,3.042,bbox,0.6,0.069,0.179,0.131,2.574,5.4397,,,,
57,1.902,2.439,3.042,3.003,pose,0.67,0.069,0.216,0.131,2.5967,5.408,0.8269,0.5258,0.7829,0.5623
58,1.935,2.999,2.999,2.999,bbox,0.703,0.069,0.216,0.131,2.6246,5.3888,,,,
59,1.969,2.982,2.999,2.982,bbox,0.703,0.069,0.267,0.131,2.6554,5.3737,,,,
60,2.002,2.427,2.982,2.917,pose,0.754,0.069,0.267,0.131,2.6895,5.3446,0.8205,0.5714,0.7368,0.4898
61,2.035,2.86,2.86,2.86,bbox,0.785,0.069,0.301,0.131,2.7247,5.3194,,,,
62,2.069,2.811,2.86,2.811,bbox,0.819,0.069,0.301,0.131,2.7506,5.2945,,,,
63,2.102,2.154,2.811,2.729,pose,0.854,0.069,0.355,0.131,2.795,5.2575,0.6637,0.7793,0.7684,0.5013
64,2.135,2.606,2.606,2.606,bbox,0.854,0.069,0.355,0.131,2.8469,5.2055,,,,
65,2.169,2.515,2.606,2.515,bbox,0.924,0.069,0.417,0.131,2.8959,5.1549,,,,
66,2.202,2.073,2.515,2.412,pose,0.976,0.069,0.469,0.131,2.9253,5.1104,0.5322,0.6569,0.7992,0.5061
67,2.236,2.347,2.347,2.347,bbox,1.025,0.069,0.52,0.131,2.9605,5.0864,,,,
68,2.269,2.298,2.347,2.298,bbox,1.025,0.069,0.564,0.131,2.9768,5.0719,,,,
69,2.302,1.948,2.298,2.277,pose,1.09,0.069,0.564,0.131,2.9905,5.0614,0.6239,0.5943,0.7837,0.5395
70,2.336,2.282,2.282,2.282,bbox,1.09,0.069,0.603,0.131,2.9998,5.0711,,,,
71,2.369,2.305,2.298,2.305,bbox,1.12,0.069,0.603,0.131,3.0114,5.0859,,,,
72,2.402,1.96,2.282,2.334,pose,1.12,0.069,0.603,0.131,3.0108,5.1076,0.6516,0.6584,0.7286,0.5515
73,2.436,2.352,2.282,2.352,bbox,1.12,0.069,0.603,0.131,3.0092,5.1162,,,,
74,2.469,2.37,2.305,2.37,bbox,1.12,0.069,0.603,0.167,2.9996,5.118,,,,
75,2.502,1.99,2.305,2.41,pose,1.12,0.069,0.603,0.167,2.9835,5.1231,0.6546,0.671,0.7059,0.5396
76,2.536,2.422,2.352,2.422,bbox,1.12,0.069,0.603,0.167,2.9785,5.1241,,,,
77,2.569,2.422,2.37,2.422,bbox,1.12,0.069,0.603,0.167,2.9746,5.121,,,,
78,2.603,1.931,2.37,2.422,pose,1.12,0.069,0.603,0.167,2.9697,5.12,0.6653,0.7184,0.7075,0.543
79,2.636,2.408,2.408,2.408,bbox,1.12,0.069,0.603,0.167,2.9547,5.1083,,,,
80,2.669,2.389,2.408,2.389,bbox,1.12,0.069,0.603,0.167,2.9546,5.0923,,,,
81,2.703,1.783,2.389,2.382,pose,1.12,0.105,0.603,0.167,2.9436,5.0639,0.6668,0.796,0.6813,0.5696
82,2.736,2.339,2.339,2.339,bbox,1.12,0.105,0.603,0.167,2.939,5.0134,,,,
83,2.769,2.306,2.339,2.306,bbox,1.12,0.105,0.646,0.167,2.9384,4.9747,,,,
84,2.803,1.754,2.306,2.304,pose,1.12,0.105,0.697,0.167,2.9384,4.9585,0.7229,0.6778,0.6741,0.5501
85,2.836,2.292,2.292,2.292,bbox,1.12,0.105,0.736,0.167,2.9443,4.9492,,,,
86,2.87,2.29,2.292,2.29,bbox,1.12,0.105,0.736,0.167,2.9511,4.948,,,,
87,2.903,1.707,2.29,2.308,pose,1.12,0.105,0.736,0.167,2.9582,4.9507,0.7984,0.6518,0.667,0.5398
88,2.936,2.331,2.29,2.331,bbox,1.12,0.105,0.736,0.167,2.971,4.9486,,,,
89,2.97,2.307,2.292,2.307,bbox,1.12,0.105,0.736,0.167,2.9802,4.935,,,,
90,3.003,1.624,2.29,2.27,pose,1.12,0.105,0.736,0.167,3.0046,4.9221,0.8393,0.6964,0.6076,0.5443
91,3.036,2.216,2.216,2.216,bbox,1.12,0.105,0.775,0.167,3.0455,4.9026,,,,
92,3.07,2.183,2.216,2.183,bbox,1.17,0.105,0.775,0.167,3.0905,4.8946,,,,
93,3.103,1.476,2.183,2.157,pose,1.21,0.105,0.808,0.167,3.1404,4.8949,0.9462,0.7033,0.5148,0.5317
94,3.136,2.157,2.157,2.157,bbox,1.255,0.105,0.808,0.167,3.1746,4.893,,,,
95,3.17,2.162,2.162,2.162,bbox,1.305,0.105,0.808,0.167,3.182,4.895,,,,
96,3.203,1.474,2.157,2.215,pose,1.34,0.105,0.808,0.167,3.1851,4.8999,0.2039,0.7106,0.4296,0.5636
97,3.237,2.261,2.157,2.261,bbox,1.34,0.105,0.808,0.167,3.187,4.9138,,,,
98,3.27,2.319,2.162,2.319,bbox,1.34,0.105,0.808,0.167,3.1907,4.9505,,,,
99,3.303,1.257,2.162,2.393,pose,1.34,0.105,0.808,0.167,3.1978,4.9911,0.4031,0.7503,0.4161,0.5627
100,3.337,2.468,2.261,2.468,bbox,1.34,0.105,0.808,0.215,3.1974,5.0329,,,,
101,3.37,2.558,2.319,2.558,bbox,1.34,0.105,0.808,0.256,3.2011,5.0879,,,,
102,3.403,2.061,2.319,2.628,pose,1.34,0.105,0.808,0.297,3.1963,5.1255,0.8877,0.6806,0.3004,0.5836
103,3.437,2.684,2.468,2.684,bbox,1.34,0.105,0.808,0.352,3.2048,5.1504,,,,
104,3.47,2.735,2.558,2.735,bbox,1.34,0.105,0.808,0.39,3.2195,5.1797,,,,
105,3.504,2.216,2.558,2.744,pose,1.37,0.105,0.808,0.39,3.2398,5.2023,0.8994,0.6241,0.3117,0.5255
106,3.537,2.707,2.684,2.707,bbox,1.37,0.105,0.808,0.444,3.2578,5.2138,,,,
107,3.57,2.603,2.684,2.603,bbox,1.405,0.105,0.808,0.444,3.2772,5.2059,,,,
108,3.604,1.982,2.603,2.473,pose,1.405,0.105,0.808,0.444,3.2957,5.1794,0.916,0.6848,0.3817,0.5102
109,3.637,2.387,2.387,2.387,bbox,1.442,0.105,0.808,0.444,3.3015,5.1522,,,,
110,3.67,2.254,2.387,2.254,bbox,1.442,0.105,0.808,0.444,3.3402,5.1134,,,,
111,3.704,1.603,2.254,2.143,pose,1.442,0.105,0.808,0.444,3.3381,5.0559,0.9394,0.8383,0.4183,0.5764
112,3.737,2.07,2.07,2.07,bbox,1.5,0.105,0.874,0.444,3.3348,5.0149,,,,
113,3.77,2.027,2.07,2.027,bbox,1.5,0.105,0.931,0.444,3.3282,5.0012,,,,
114,3.804,1.448,2.027,1.939,pose,1.5,0.105,0.973,0.444,3.3334,4.9757,0.9856,0.7477,0.4707,0.5961
115,3.837,1.889,1.889,1.889,bbox,1.5,0.105,0.973,0.444,3.3496,4.9842,,,,
116,3.871,1.873,1.889,1.873,bbox,1.5,0.105,0.973,0.444,3.3633,4.9997,,,,
117,3.904,1.164,1.873,1.858,pose,1.5,0.105,0.973,0.444,3.3978,4.9938,1.0965,0.6906,0.4599,0.6423
118,3.937,1.804,1.804,1.804,bbox,1.5,0.105,1.003,0.444,3.4156,4.9681,,,,
119,3.971,1.755,1.804,1.755,bbox,1.563,0.105,1.003,0.444,3.4339,4.952,,,,
120,4.004,0.958,1.755,1.711,pose,1.563,0.105,1.003,0.444,3.4801,4.9369,1.1695,0.5927,0.5591,0.6305
121,4.037,1.703,1.703,1.703,bbox,1.599,0.105,1.035,0.444,3.5022,4.9375,,,,
122,4.071,1.745,1.745,1.745,bbox,1.645,0.105,1.035,0.444,3.5161,4.9622,,,,
123,4.104,0.999,1.703,1.801,pose,1.645,0.105,1.035,0.444,3.5278,5.0006,0.9666,0.5291,0.5692,0.5817
124,4.137,1.848,1.703,1.848,bbox,1.681,0.105,1.035,0.444,3.5338,5.0302,,,,
125,4.171,1.906,1.745,1.906,bbox,1.681,0.105,1.035,0.493,3.5084,5.0192,,,,
126,4.204,0.794,1.745,1.848,pose,1.681,0.105,1.035,0.493,3.5039,4.9611,0.9541,0.7126,0.6086,0.4835
127,4.238,1.736,1.736,1.736,bbox,1.681,0.105,1.035,0.493,3.4911,4.8853,,,,
128,4.271,1.682,1.736,1.682,bbox,1.681,0.105,1.075,0.493,3.4489,4.8291,,,,
129,4.304,0.502,1.682,1.625,pose,1.681,0.105,1.151,0.493,3.4125,4.8026,0.9809,0.9022,0.6453,0.4928
130,4.338,1.606,1.606,1.606,bbox,1.681,0.172,1.207,0.493,3.396,4.7932,,,,
131,4.371,1.563,1.606,1.563,bbox,1.681,0.209,1.207,0.493,3.3799,4.7586,,,,
132,4.404,0.483,1.563,1.514,pose,1.681,0.209,1.243,0.493,3.3646,4.7088,0.9511,0.809,0.7334,0.4551
133,4.438,1.476,1.476,1.476,bbox,1.681,0.241,1.277,0.493,3.3358,4.6599,,,,
134,4.471,1.431,1.476,1.431,bbox,1.681,0.241,1.327,0.493,3.3109,4.6036,,,,
135,4.505,0.578,1.431,1.391,pose,1.681,0.286,1.376,0.493,3.2886,4.5403,0.8198,0.6417,0.714,0.4995
136,4.538,1.353,1.353,1.353,bbox,1.681,0.286,1.432,0.493,3.2733,4.4845,,,,
137,4.571,1.31,1.353,1.31,bbox,1.681,0.333,1.496,0.493,3.2662,4.4303,,,,
138,4.605,0.621,1.31,1.292,pose,1.681,0.333,1.551,0.493,3.2637,4.3992,0.8069,0.4652,0.7299,0.5623
139,4.638,1.295,1.295,1.295,bbox,1.681,0.333,1.606,0.493,3.2648,4.3726,,,,
140,4.671,1.281,1.295,1.281,bbox,1.681,0.333,1.637,0.493,3.2648,4.3495,,,,
141,4.705,0.682,1.281,1.28,pose,1.681,0.333,1.637,0.493,3.265,4.3342,0.7884,0.3293,0.6933,0.6141
142,4.738,1.265,1.265,1.265,bbox,1.681,0.333,1.686,0.493,3.2701,4.3193,,,,
143,4.771,1.25,1.265,1.25,bbox,1.681,0.333,1.686,0.493,3.2691,4.3125,,,,
144,4.805,0.666,1.25,1.236,pose,1.681,0.333,1.717,0.493,3.2705,4.3092,0.7951,0.277,0.7054,0.6463
145,4.838,1.223,1.223,1.223,bbox,1.681,0.333,1.717,0.493,3.271,4.3032,,,,
146,4.872,1.217,1.223,1.217,bbox,1.681,0.333,1.717,0.493,3.2639,4.302,,,,
