frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
62,2.069,3.131,3.131,3.131,bbox,0.533,0.282,0.621,0.433,1.335,4.1285,,,,
63,2.102,2.064,3.131,3.048,pose,0.533,0.282,0.621,0.433,1.3451,4.1218,1.1444,0.886,0.732,0.4557
64,2.135,3.018,3.018,3.018,bbox,0.533,0.282,0.663,0.433,1.3266,4.1068,,,,
65,2.169,2.987,3.018,2.987,bbox,0.533,0.282,0.663,0.433,1.3139,4.0894,,,,
66,2.202,2.254,2.987,2.994,pose,0.533,0.282,0.663,0.433,1.2646,4.0804,0.9314,0.8276,0.7809,0.4876
67,2.236,3.008,2.987,3.008,bbox,0.533,0.282,0.702,0.433,1.2471,4.0828,,,,
68,2.269,2.948,2.987,2.948,bbox,0.533,0.351,0.702,0.433,1.2704,4.0782,,,,
69,2.302,2.484,2.948,2.884,pose,0.533,0.351,0.702,0.433,1.3015,4.0678,0.6223,0.7032,0.8461,0.5346
70,2.336,2.805,2.805,2.805,bbox,0.533,0.351,0.702,0.433,1.3614,4.0395,,,,
71,2.369,2.748,2.805,2.748,bbox,0.564,0.351,0.702,0.433,1.3906,4.0134,,,,
72,2.402,2.517,2.748,2.717,pose,0.624,0.351,0.752,0.433,1.402,4.0036,0.6722,0.468,0.8052,0.591
73,2.436,2.77,2.748,2.77,bbox,0.624,0.351,0.752,0.433,1.4083,4.0438,,,,
74,2.469,2.803,2.77,2.803,bbox,0.664,0.351,0.752,0.433,1.4161,4.072,,,,
75,2.502,2.406,2.748,2.878,pose,0.664,0.351,0.752,0.433,1.4165,4.105,0.8892,0.5642,0.7202,0.58
76,2.536,2.962,2.77,2.962,bbox,0.664,0.351,0.752,0.465,1.4208,4.1404,,,,
77,2.569,3.014,2.803,3.014,bbox,0.664,0.351,0.752,0.498,1.4392,4.1789,,,,
78,2.603,2.254,2.803,3.074,pose,0.664,0.351,0.752,0.534,1.4414,4.2019,1.0275,0.776,0.6275,0.5433
79,2.636,3.077,2.962,3.077,bbox,0.701,0.351,0.752,0.572,1.4384,4.1958,,,,
80,2.669,3.104,3.014,3.104,bbox,0.701,0.351,0.752,0.572,1.4264,4.1835,,,,
81,2.703,2.2,3.014,3.04,pose,0.701,0.351,0.752,0.572,1.3894,4.1611,1.1469,0.8133,0.6935,0.5089
82,2.736,3.047,3.047,3.047,bbox,0.701,0.351,0.752,0.572,1.3522,4.1301,,,,
83,2.769,2.809,3.047,2.809,bbox,0.701,0.4,0.752,0.572,1.3298,4.117,,,,
84,2.803,2.07,2.809,2.848,pose,0.701,0.437,0.801,0.572,1.291,4.1115,1.1473,0.7836,0.7169,0.5447
85,2.836,2.818,2.809,2.818,bbox,0.701,0.437,0.801,0.572,1.2501,4.0975,,,,
86,2.87,2.902,2.818,2.902,bbox,0.701,0.498,0.801,0.572,1.2038,4.0818,,,,
87,2.903,2.269,2.809,2.99,pose,0.701,0.539,0.833,0.572,1.1678,4.0525,1.1729,0.658,0.7001,0.5905
88,2.936,3.079,2.818,3.079,bbox,0.701,0.585,0.833,0.572,1.1447,4.038,,,,
89,2.97,3.111,2.902,3.111,bbox,0.701,0.621,0.878,0.572,1.124,4.0347,,,,
90,3.003,2.485,2.902,3.124,pose,0.701,0.621,0.878,0.572,1.1573,4.0809,1.0126,0.5863,0.7117,0.5929
91,3.036,3.084,3.079,3.084,bbox,0.701,0.621,0.878,0.572,1.2128,4.0991,,,,
