time_s,confidence,min_distance_m,separation_m,audio_support,signals
22.97,0.901,1.19,2.7,0,approach+separated
41.3,0.799,1.61,2.4,0,approach+separated
46.1,0.413,2.03,1.24,0,approach+separated
81.53,1.0,2.58,3.91,0,approach+separated
105.93,0.394,1.78,1.18,0,approach+separated
113.73,1.0,1.06,3.84,0,approach+separated
128.9,1.0,1.77,4.19,0,approach+separated
137.03,0.349,0.5,1.05,0,approach+separated
148.83,0.589,3.74,1.77,0,approach+separated
159.9,0.362,1.02,1.09,0,approach+separated
163.83,1.0,1.11,3.05,0,approach+separated
168.57,0.408,3.22,1.22,0,approach+separated
180.3,0.922,2.39,2.77,0,approach+separated
185.97,1.0,0.89,3.58,0,approach+separated
