frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,2.653,2.653,pose,0.0,0.0,0.0,0.0,2.9473,6.2033,0.8111,0.6864,0.6969,0.7001
1,0.02,3.245,2.949,bbox,0.0,0.0,0.0,0.0,2.9474,6.2098,,,,
2,0.04,3.259,3.245,bbox,0.0,0.0,0.0,0.0,2.9505,6.2219,,,,
3,0.06,2.766,3.005,pose,0.0,0.0,0.0,0.0,2.9541,6.2449,0.7997,0.6222,0.6556,0.7091
4,0.08,3.336,3.245,bbox,0.0,0.0,0.0,0.0,2.9571,6.2568,,,,
5,0.1,3.374,3.259,bbox,0.0,0.0,0.0,0.042,2.9528,6.2653,,,,
6,0.12,2.951,3.259,pose,0.0,0.0,0.0,0.042,2.9499,6.2542,0.7881,0.5492,0.6575,0.6635
7,0.14,3.495,3.336,bbox,0.0,0.0,0.0,0.042,2.9404,5.2231,,,,
8,0.16,3.457,3.374,bbox,0.0,0.0,0.0,0.042,2.9308,6.264,,,,
9,0.18,3.099,3.374,pose,0.0,0.0,0.0,0.042,2.9159,6.2536,0.816,0.4757,0.6768,0.6246
10,0.2,3.464,3.457,bbox,0.0,0.0,0.0,0.042,2.8992,6.2513,,,,
11,0.22,3.465,3.464,bbox,0.0,0.031,0.0,0.042,2.8916,6.2527,,,,
12,0.24,3.156,3.457,pose,0.0,0.031,0.0,0.042,2.8723,6.2563,0.8464,0.4116,0.7006,0.6061
13,0.26,3.494,3.464,bbox,0.0,0.031,0.0,0.042,2.8554,6.2557,,,,
14,0.28,3.511,3.465,bbox,0.0,0.075,0.0,0.042,2.8387,6.2552,,,,
15,0.3,3.156,3.465,pose,0.0,0.075,0.0,0.042,2.7951,6.2528,0.8789,0.4546,0.7159,0.5871
16,0.32,3.577,3.494,bbox,0.0,0.109,0.0,0.042,2.766,6.2503,,,,
17,0.34,3.574,3.511,bbox,0.0,0.152,0.0,0.042,2.7317,6.2354,,,,
18,0.36,3.166,3.511,pose,0.0,0.152,0.0,0.042,2.6857,6.2289,0.8676,0.5601,0.6801,0.6066
19,0.38,3.635,3.574,bbox,0.0,0.216,0.0,0.042,2.6501,6.2207,,,,
20,0.4,3.654,3.577,bbox,0.0,0.262,0.0,0.042,2.6108,6.203,,,,
21,0.42,3.012,3.574,pose,0.0,0.297,0.0,0.042,2.5894,6.1834,0.9655,0.687,0.6402,0.6339
22,0.44,3.709,3.635,bbox,0.0,0.336,0.042,0.042,2.5711,6.17,,,,
23,0.46,3.731,3.654,bbox,0.0,0.336,0.042,0.042,2.5519,6.144,,,,
24,0.48,2.879,3.654,pose,0.0,0.376,0.075,0.042,2.5356,6.1075,1.0489,0.8378,0.5988,0.6364
25,0.5,3.731,3.709,bbox,0.0,0.376,0.075,0.042,2.523,6.0724,,,,
26,0.52,3.733,3.731,bbox,0.0,0.412,0.137,0.042,2.5055,6.0552,,,,
27,0.54,2.806,3.731,pose,0.0,0.412,0.173,0.042,2.4956,6.0378,1.0925,0.9261,0.5815,0.6328
28,0.56,3.778,3.731,bbox,0.0,0.442,0.173,0.042,2.489,6.0218,,,,
29,0.58,3.795,3.733,bbox,0.0,0.442,0.207,0.042,2.4844,6.0149,,,,
30,0.6,2.825,3.733,pose,0.0,0.442,0.207,0.042,2.4665,6.0057,1.0958,0.9904,0.6392,0.599
31,0.62,3.786,3.778,bbox,0.0,0.442,0.207,0.042,2.4649,5.9949,,,,
32,0.64,2.077,3.778,bbox,0.0,0.481,0.239,0.042,2.4536,3.3644,,,,
33,0.66,,,,0.0,0.481,0.239,0.042,,,,,,
34,0.68,,,,0.0,0.481,0.239,0.042,,,,,,
35,0.7,,,,0.0,0.481,0.239,0.042,,,,,,
36,0.72,,,,0.0,0.481,0.239,0.042,,,,,,
37,0.74,,,,0.0,0.481,0.239,0.042,,,,,,
38,0.76,,,,0.0,0.481,0.239,0.042,,,,,,
39,0.78,,,,0.0,0.481,0.239,0.042,,,,,,
40,0.8,,,,0.0,0.481,0.239,0.042,,,,,,
41,0.82,,,,0.0,0.481,0.239,0.042,,,,,,
42,0.84,,,,0.0,0.481,0.239,0.042,,,,,,
43,0.86,,,,0.0,0.481,0.239,0.042,,,,,,
44,0.88,2.152,2.825,bbox,0.0,0.481,0.239,0.042,2.2822,3.377,,,,
45,0.9,2.106,2.152,pose,0.0,0.481,0.4,0.042,2.2764,3.3764,0.2149,0.4656,0.6853,0.3734
46,0.92,2.187,2.152,bbox,0.0,0.644,0.4,0.042,2.2709,3.376,,,,
47,0.94,3.35,2.152,bbox,0.0,0.644,0.4,0.042,2.2696,5.5289,,,,
48,0.96,3.568,2.187,pose,0.0,0.644,0.4,0.042,2.2666,5.5221,0.246,0.3535,0.6563,0.6947
49,0.98,2.205,2.205,bbox,0.0,0.644,0.4,0.042,2.2601,3.3743,,,,
50,1.0,2.198,2.205,bbox,0.0,0.644,0.4,0.042,2.2644,3.3712,,,,
51,1.02,1.909,2.205,pose,0.0,0.644,0.4,0.042,2.2679,3.3689,0.3613,0.4928,0.6288,0.4026
52,1.04,2.185,2.198,bbox,0.0,0.644,0.4,0.042,2.2689,3.3653,,,,
53,1.06,2.18,2.185,bbox,0.0,0.644,0.4,0.042,2.2766,3.3528,,,,
54,1.08,3.292,2.185,pose,0.0,0.644,0.4,0.042,2.2809,5.3919,0.5187,0.3445,0.6308,0.5939
55,1.1,3.2,2.185,bbox,0.0,0.644,0.4,0.042,2.2881,5.3964,,,,
56,1.12,3.165,3.165,bbox,0.0,0.644,0.4,0.184,2.3018,5.3834,,,,
57,1.14,2.896,3.165,pose,0.0,0.644,0.4,0.184,2.316,5.3749,0.7691,0.4927,0.6867,0.5534
58,1.16,3.134,3.165,bbox,0.0,0.644,0.4,0.184,2.3317,5.3534,,,,
59,1.18,3.07,3.134,bbox,0.034,0.644,0.4,0.184,2.36,5.3383,,,,
60,1.2,2.427,3.07,pose,0.034,0.644,0.4,0.184,2.398,5.3367,0.9921,0.7051,0.6933,0.5783
61,1.22,3.04,3.04,bbox,0.078,0.644,0.445,0.184,2.4233,5.3328,,,,
62,1.24,2.977,3.04,bbox,0.116,0.644,0.445,0.184,2.4513,5.318,,,,
63,1.26,2.073,2.977,pose,0.116,0.644,0.445,0.184,2.4683,5.3081,1.073,0.9123,0.6572,0.601
64,1.28,2.931,2.931,bbox,0.169,0.644,0.445,0.184,2.4719,5.2886,,,,
65,1.3,1.938,2.931,bbox,0.169,0.644,0.475,0.184,2.4811,3.2436,,,,
66,1.32,1.944,2.073,bbox,0.169,0.644,0.475,0.184,2.4877,3.2482,1.0773,,0.6038,
67,1.34,1.963,1.963,bbox,0.169,0.644,0.645,0.184,2.4902,3.2551,,,,
68,1.36,1.958,1.958,bbox,0.205,0.644,0.645,0.184,2.5021,3.2613,,,,
69,1.38,2.092,1.958,pose,0.205,0.644,0.645,0.184,2.503,5.253,1.0502,0.9561,0.5812,0.5202
70,1.4,3.072,1.963,bbox,0.205,0.644,0.645,0.184,2.5061,5.2524,,,,
71,1.42,3.063,2.092,bbox,0.205,0.644,0.645,0.34,2.5041,5.2513,,,,
72,1.44,2.081,2.092,pose,0.205,0.644,0.645,0.34,2.4946,5.2511,1.0636,0.9295,0.6123,0.5144
73,1.46,1.978,2.092,bbox,0.205,0.644,0.645,0.34,2.4796,3.286,,,,
74,1.48,1.96,2.081,bbox,0.205,0.644,0.645,0.34,2.4731,3.2861,,,,
75,1.5,2.074,2.074,pose,0.205,0.644,0.645,0.34,2.4622,5.2513,1.0886,0.9485,0.6368,0.5729
76,1.52,1.955,1.978,bbox,0.205,0.644,0.795,0.34,2.4477,3.2786,,,,
77,1.54,1.963,1.963,bbox,0.205,0.644,0.795,0.34,2.4314,3.2837,,,,
78,1.56,1.993,1.963,bbox,0.205,0.684,0.795,0.34,2.4117,3.2886,1.0731,,0.6569,
79,1.58,,,,0.205,0.684,0.795,0.34,,,,,,
80,1.6,,,,0.205,0.684,0.795,0.34,,,,,,
81,1.62,,,,0.205,0.684,0.795,0.34,,,,,,
82,1.64,,,,0.205,0.684,0.795,0.34,,,,,,
83,1.66,2.127,1.993,bbox,0.205,0.684,0.795,0.34,2.3255,3.2959,,,,
