frame,time_s,distance_raw_m,distance_smooth_m,distance_bbox_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
0,0.0,1.284,1.284,1.16,pose,0.0,0.0,0.0,0.0,1.27,2.018,0.2957,0.0157,0.8383,0.4807
1,0.017,1.152,1.218,1.152,bbox,0.0,0.0,0.0,0.0,1.2635,2.0111,,,,
2,0.033,1.147,1.152,1.147,bbox,0.0,0.0,0.0,0.0,1.257,2.0038,,,,
3,0.05,1.203,1.178,1.135,pose,0.0,0.0,0.0,0.0,1.2488,1.9907,0.3881,0.0055,0.8471,0.4845
4,0.067,1.137,1.152,1.137,bbox,0.0,0.0,0.0,0.0,1.2381,1.9837,,,,
5,0.083,1.127,1.147,1.127,bbox,0.0,0.0,0.0,0.0,1.2302,1.9722,,,,
6,0.1,1.144,1.144,1.125,pose,0.0,0.032,0.034,0.0,1.2245,1.961,0.4337,0.0098,0.8191,0.4909
7,0.117,1.121,1.137,1.121,bbox,0.0,0.032,0.034,0.0,1.2161,1.9518,,,,
8,0.133,1.111,1.127,1.111,bbox,0.0,0.032,0.034,0.0,1.2076,1.9371,,,,
9,0.15,1.172,1.127,1.111,pose,0.0,0.032,0.066,0.0,1.1994,1.9299,0.4527,0.0086,0.8512,0.4986
10,0.167,1.103,1.121,1.103,bbox,0.0,0.062,0.066,0.0,1.1934,1.9227,,,,
11,0.184,1.094,1.111,1.094,bbox,0.0,0.062,0.066,0.0,1.1901,1.9128,,,,
12,0.2,1.103,1.103,1.082,pose,0.0,0.062,0.066,0.0,1.186,1.9094,0.4568,0.0188,0.8744,0.5016
13,0.217,1.071,1.103,1.071,bbox,0.0,0.062,0.105,0.0,1.1819,1.901,,,,
14,0.234,1.062,1.094,1.062,bbox,0.0,0.062,0.105,0.0,1.1725,1.8906,,,,
15,0.25,1.087,1.087,1.053,pose,0.0,0.062,0.105,0.0,1.1638,1.8798,0.4972,0.0111,0.8615,0.5107
16,0.267,1.04,1.071,1.04,bbox,0.0,0.098,0.105,0.0,1.158,1.8718,,,,
17,0.284,1.029,1.062,1.029,bbox,0.0,0.098,0.138,0.0,1.1539,1.8649,,,,
18,0.3,1.079,1.062,1.02,pose,0.0,0.098,0.138,0.0,1.1484,1.8539,0.4613,0.0194,0.8846,0.5062
19,0.317,1.019,1.04,1.019,bbox,0.0,0.098,0.138,0.0,1.136,1.8416,,,,
20,0.334,1.01,1.029,1.01,bbox,0.0,0.098,0.138,0.0,1.1308,1.8305,,,,
21,0.35,1.085,1.029,1.002,pose,0.0,0.134,0.176,0.0,1.1195,1.8177,0.3315,0.0157,0.8563,0.5264
22,0.367,0.996,1.019,0.996,bbox,0.0,0.134,0.176,0.0,1.1121,1.8044,,,,
23,0.384,0.983,1.01,0.983,bbox,0.0,0.134,0.176,0.0,1.0891,1.7875,,,,
24,0.4,1.101,1.01,0.979,pose,0.0,0.134,0.214,0.0,1.0871,1.7824,0.3095,0.0209,0.8652,0.53
25,0.417,0.973,0.996,0.973,bbox,0.0,0.181,0.214,0.0,1.0792,1.7703,,,,
26,0.434,0.972,0.983,0.972,bbox,0.0,0.181,0.214,0.0,1.0665,1.7604,,,,
27,0.45,1.102,0.983,0.975,pose,0.0,0.181,0.248,0.0,1.0553,1.7514,0.3732,0.0284,0.8894,0.5366
28,0.467,0.973,0.973,0.973,bbox,0.0,0.181,0.248,0.0,1.0439,1.736,,,,
29,0.484,0.977,0.973,0.977,bbox,0.0,0.215,0.248,0.0,1.0283,1.7286,,,,
30,0.501,1.085,0.977,0.983,pose,0.0,0.215,0.282,0.0,1.0132,1.7221,0.3566,0.0131,0.8864,0.5251
31,0.517,0.987,0.987,0.987,bbox,0.0,0.215,0.282,0.0,0.9963,1.7144,,,,
32,0.534,0.995,0.987,0.995,bbox,0.0,0.257,0.282,0.0,0.9799,1.7074,,,,
33,0.551,1.081,0.995,0.988,pose,0.0,0.257,0.282,0.0,0.9692,1.6978,0.294,0.0185,0.8431,0.5403
34,0.567,0.982,0.995,0.982,bbox,0.0,0.29,0.282,0.0,0.9556,1.6839,,,,
35,0.584,0.986,0.987,0.986,bbox,0.0,0.29,0.32,0.0,0.9398,1.6748,,,,
36,0.601,1.049,0.995,0.991,pose,0.0,0.29,0.32,0.0,0.9248,1.6685,0.3495,0.0307,0.8835,0.5408
37,0.617,0.989,0.989,0.989,bbox,0.0,0.33,0.32,0.0,0.9059,1.6608,,,,
38,0.634,0.999,0.989,0.999,bbox,0.0,0.33,0.32,0.0,0.8908,1.6487,,,,
39,0.651,1.026,0.999,1.005,pose,0.0,0.364,0.357,0.0,0.8721,1.6427,0.3371,0.0196,0.8261,0.5514
40,0.667,0.999,0.999,0.999,bbox,0.0,0.364,0.357,0.0,0.8643,1.6306,,,,
41,0.684,0.994,0.999,0.994,bbox,0.0,0.398,0.357,0.0,0.8528,1.6166,,,,
42,0.701,1.027,0.999,0.993,pose,0.0,0.398,0.387,0.0,0.8408,1.6094,0.3537,0.0144,0.8563,0.5579
43,0.717,0.999,0.999,0.999,bbox,0.0,0.398,0.387,0.0,0.8237,1.6025,,,,
44,0.734,1.007,0.999,1.007,bbox,0.0,0.429,0.387,0.0,0.8106,1.5974,,,,
45,0.751,1.085,1.007,1.018,pose,0.0,0.429,0.387,0.0,0.7934,1.5894,0.3539,0.0225,0.9039,0.5524
46,0.767,1.044,1.027,1.044,bbox,0.0,0.459,0.421,0.0,0.7642,1.5818,,,,
47,0.784,1.05,1.044,1.05,bbox,0.0,0.459,0.421,0.0,0.7523,1.5723,,,,
