frame,time_s,distance_raw_m,distance_smooth_m,method,f1_advance_m,f1_retreat_m,f2_advance_m,f2_retreat_m,f1_pos_m,f2_pos_m,f1_stance_m,f2_stance_m,f1_hip_height_m,f2_hip_height_m
67,2.233,4.52,4.631,bbox,0.822,0.32,0.441,0.069,3.3617,8.2265,,,,
68,2.267,4.47,4.629,bbox,0.822,0.365,0.441,0.069,3.4115,8.2157,,,,
69,2.3,,,,0.822,0.365,0.441,0.069,,,,,,
70,2.333,,,,0.822,0.365,0.441,0.069,,,,,,
71,2.367,,,,0.822,0.365,0.441,0.069,,,,,,
72,2.4,,,,0.822,0.365,0.441,0.069,,,,,,
73,2.433,,,,0.822,0.365,0.441,0.069,,,,,,
74,2.467,,,,0.822,0.365,0.441,0.069,,,,,,
75,2.5,,,,0.822,0.365,0.441,0.069,,,,,,
76,2.533,,,,0.822,0.365,0.441,0.069,,,,,,
77,2.567,,,,0.822,0.365,0.441,0.069,,,,,,
78,2.6,,,,0.822,0.365,0.441,0.069,,,,,,
79,2.633,,,,0.822,0.365,0.441,0.069,,,,,,
80,2.667,,,,0.822,0.365,0.441,0.069,,,,,,
81,2.7,4.248,4.52,bbox,0.822,0.422,0.441,0.069,3.6945,8.0352,,0.214,,0.6233
82,2.733,,,,0.822,0.422,0.441,0.069,,,,,,
83,2.767,4.212,4.47,bbox,0.822,0.472,0.441,0.069,3.6982,8.0489,,,,
84,2.8,4.162,4.248,bbox,0.822,0.622,0.441,0.238,3.7278,8.0629,0.0549,,0.7276,
85,2.833,,,,0.822,0.622,0.441,0.238,,,,,,
86,2.867,4.194,4.212,bbox,0.822,0.622,0.441,0.238,3.7633,8.1256,,,,
87,2.9,,,,0.822,0.622,0.441,0.238,,,,,,
88,2.933,,,,0.822,0.622,0.441,0.238,,,,,,
89,2.967,,,,0.822,0.622,0.441,0.238,,,,,,
90,3.0,,,,0.822,0.622,0.441,0.238,,,,,,
91,3.033,,,,0.822,0.622,0.441,0.238,,,,,,
92,3.067,4.187,4.194,bbox,0.822,0.655,0.441,0.238,3.859,8.1584,,,,
93,3.1,4.211,4.194,bbox,0.822,0.69,0.504,0.238,3.8279,8.1716,0.0257,,0.7654,
94,3.133,4.316,4.194,bbox,0.822,0.69,0.537,0.238,3.7903,8.2024,,,,
95,3.167,4.401,4.211,bbox,0.822,0.69,0.537,0.238,3.7893,8.2389,,,,
96,3.2,4.436,4.316,bbox,0.822,0.69,0.581,0.238,3.7876,8.244,0.1461,,0.712,
97,3.233,,,,0.822,0.69,0.581,0.238,,,,,,
98,3.267,,,,0.822,0.69,0.581,0.238,,,,,,
99,3.3,4.517,4.401,bbox,0.822,0.69,0.581,0.238,3.7044,8.2074,0.443,,0.699,
